年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,1.180000,1.190000,-,1.920000,-,-,-,5.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,1.150000,1.160000,-,1.640000,-,-,-,5.310000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,5.980000,6.010000,8.300000,1.660000,7.830000,5.220000,8.210000,8.250000,8.950000,1.280000,2.020000,9.830000,10.160000,8.010000,2.510000,9.130000,10.670000,11.610000,5.680000,3.540000,10.440000,13.040000,3.480000,-
2001,7.140000,7.210000,8.300000,6.930000,7.900000,4.070000,9.120000,8.650000,8.810000,2.310000,9.900000,7.650000,3.660000,9.370000,3.630000,10.670000,10.470000,9.110000,6.030000,2.470000,8.860000,9.510000,3.550000,-
2002,6.270000,6.300000,8.430000,2.120000,5.930000,3.320000,10.260000,7.230000,9.430000,9.260000,8.950000,10.760000,7.260000,7.810000,2.910000,2.760000,15.090000,9.840000,6.980000,7.800000,9.020000,10.380000,4.930000,0.390000
2003,6.320000,6.370000,6.250000,2.380000,7.650000,3.430000,9.720000,7.090000,10.450000,10.370000,9.810000,11.330000,8.430000,8.850000,1.850000,1.880000,10.890000,10.000000,7.070000,10.130000,10.100000,11.900000,3.530000,0.500000
2004,7.190000,7.260000,8.220000,2.830000,7.990000,3.810000,12.490000,6.120000,10.750000,9.520000,11.110000,13.860000,11.370000,11.330000,1.960000,2.460000,11.300000,10.250000,7.410000,10.370000,9.150000,13.470000,3.500000,0.310000
2005,7.450000,7.520000,8.830000,2.930000,8.390000,7.410000,11.410000,5.760000,10.390000,10.130000,9.880000,12.580000,13.330000,11.740000,2.110000,2.760000,12.100000,10.900000,8.290000,10.730000,10.370000,13.270000,4.470000,0.470000
2006,7.840000,7.900000,9.710000,3.070000,8.800000,8.060000,12.240000,6.810000,11.290000,10.310000,11.820000,13.220000,12.350000,12.510000,2.180000,2.680000,3.850000,10.720000,10.060000,9.270000,11.340000,12.220000,4.350000,0.560000
2007,8.230000,8.300000,11.280000,3.100000,8.930000,8.020000,13.830000,7.960000,11.710000,9.500000,12.830000,12.710000,10.020000,12.040000,2.040000,2.720000,3.980000,10.470000,8.810000,10.100000,10.920000,12.720000,4.560000,0.610000
2008,7.850000,7.910000,8.720000,2.950000,8.780000,9.170000,12.380000,8.310000,10.320000,9.730000,9.030000,12.990000,11.230000,11.340000,2.020000,2.460000,3.220000,10.690000,8.410000,10.090000,10.280000,12.020000,4.410000,0.970000
2009,7.640000,7.730000,9.600000,2.870000,9.130000,9.440000,12.500000,9.360000,9.400000,8.830000,1.680000,10.080000,9.660000,9.380000,3.210000,2.460000,3.410000,10.450000,8.210000,7.700000,10.920000,10.630000,3.260000,0.800000
2010,6.950000,7.000000,2.510000,2.930000,9.490000,9.620000,12.220000,5.860000,2.270000,9.080000,1.720000,11.400000,11.520000,12.440000,8.660000,10.860000,3.350000,11.770000,8.730000,9.460000,12.290000,12.360000,4.280000,0.780000
2011,7.160000,7.230000,8.130000,2.870000,8.360000,8.550000,5.030000,4.030000,10.110000,2.350000,9.240000,11.910000,12.230000,11.380000,11.100000,13.100000,11.760000,11.520000,8.310000,9.520000,12.870000,12.410000,3.230000,0.750000
2012,7.690000,7.750000,8.340000,2.910000,8.610000,8.650000,5.400000,4.200000,11.130000,10.280000,9.870000,12.000000,13.470000,12.510000,14.660000,13.300000,12.270000,12.110000,8.280000,10.820000,12.910000,14.040000,3.770000,0.800000
2013,7.430000,7.490000,8.170000,2.850000,8.920000,7.780000,5.390000,4.180000,10.370000,9.380000,9.990000,11.310000,11.000000,10.990000,14.200000,12.880000,12.780000,11.180000,8.250000,10.400000,13.020000,13.720000,3.750000,0.910000
2014,7.500000,7.560000,7.830000,2.930000,7.820000,8.220000,5.010000,4.340000,10.490000,9.910000,10.490000,11.440000,11.770000,11.440000,15.150000,14.270000,12.900000,11.280000,8.750000,10.230000,11.980000,12.820000,3.960000,1.100000
