年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,0.073446,0.075744,0.112575,0.162437,0.049215,0.157252,0.031858,0.207547,0.057576,0.031863,0.083893,0.060284,0.041985,0.029851,0.015238,0.034483,0.012563,0.234783,0.044534,0.085575,0.346535,0.056522,0.002227,0.052632
1999,0.047880,0.049662,0.089149,0.139957,0.059025,0.032898,0.018453,0.067318,0.073446,0.036990,0.177778,0.115686,0.018738,0.017256,0.005220,0.026869,0.031546,0.061135,-,0.075000,0.038462,0.054217,0.001534,-
2000,0.063882,0.066359,0.128706,0.114754,0.118371,0.054162,0.028794,0.047108,0.168539,0.041742,0.071429,0.150000,0.055285,0.021784,0.020608,0.137097,0.014760,0.087248,0.058824,0.054711,0.245763,0.048387,0.001721,0.033333
2001,0.075636,0.080490,0.159248,0.110565,0.121881,0.082353,0.040669,0.070346,0.029268,0.187166,0.083333,0.116766,0.032193,0.016915,0.018916,0.094972,0.103448,0.090278,0.126761,0.097436,0.104839,0.037333,0.002433,-
2002,0.064709,0.067834,0.136000,0.071429,0.115159,0.085417,0.073874,0.046043,0.039352,0.021277,0.126866,0.231481,0.054726,0.023199,0.038119,0.117555,0.004815,0.053435,0.024793,0.060086,0.080808,0.030905,0.007657,-
2003,0.115251,0.116877,0.255416,0.107209,0.168403,0.305085,0.105960,0.136765,0.058380,0.012842,0.321739,0.172996,0.032520,0.068681,0.467742,0.038288,0.008000,0.090000,0.097561,0.072115,0.081081,0.040346,0.008065,0.102564
2004,0.107548,0.108360,0.153101,0.077899,0.159794,0.489796,0.094037,0.102510,0.048193,0.067961,0.212500,0.266667,0.036697,0.099415,0.308511,0.044444,0.010256,0.051948,0.043478,0.203822,0.056180,0.036313,0.068966,-
2005,0.130570,0.131905,0.160455,0.052257,0.207692,0.500000,0.093596,0.063492,0.027972,0.241935,0.285714,0.165775,0.062500,0.160494,0.082192,0.079365,0.017699,0.301370,0.078125,0.141935,0.071429,0.137255,-,-
2006,0.137581,0.139350,0.164331,0.058333,0.219718,0.418605,0.086022,0.176796,0.064748,0.129310,0.209302,0.158192,0.051282,0.126984,0.152542,0.056180,0.018868,0.196078,0.069767,0.102362,0.246575,0.379310,-,-
2007,0.152712,0.154190,0.171362,0.042071,0.229333,0.339207,0.149573,0.215447,0.149254,0.072165,0.536585,0.264286,0.058333,0.173913,0.272727,0.162791,0.015385,0.222222,0.080000,0.162162,0.050000,0.073171,0.058824,-
2008,0.140333,0.138743,0.117825,0.058252,0.211221,0.291925,0.131579,0.250000,0.132353,0.081633,0.264706,0.153846,0.055276,0.212963,0.375000,0.135802,0.017241,0.205882,0.047619,0.063492,0.129630,0.133333,0.250000,0.263158
2009,0.158337,0.159566,0.180147,0.123506,0.091286,0.677419,0.232704,0.186441,0.298851,0.151899,0.371429,0.206897,0.108108,0.148148,0.333333,0.081967,0.011628,0.178571,0.024390,0.117647,0.120000,0.129032,0.105263,0.050000
2010,0.178866,0.180851,0.181818,0.072034,0.133621,1.010000,0.212329,0.175573,0.160714,0.136986,0.233333,0.212598,0.025157,0.243902,0.333333,0.108108,0.083799,0.391304,0.025000,0.181818,0.145455,0.076923,-,-
2011,0.217269,0.219053,0.407643,0.090395,0.311594,0.826087,0.484848,0.214286,0.109091,0.160000,0.172414,0.161290,0.037975,0.083333,0.416667,0.152542,0.059603,0.166667,0.085714,0.229167,0.018519,-,0.142857,-
2012,0.271919,0.273252,0.250000,0.167883,0.290598,0.461538,0.912281,0.244444,0.207547,0.073529,0.432432,0.403509,0.086331,0.108108,0.357143,0.192982,0.179487,0.040000,0.178571,0.121951,0.270270,0.043478,0.071429,1.000000
2013,0.193660,0.193728,0.141593,0.140845,0.133333,0.297619,0.307692,0.465909,0.102041,0.153846,0.034483,0.308411,0.045455,0.288660,0.222222,0.160000,0.163265,0.041667,0.052632,0.142857,-,0.151515,0.142857,0.500000
2014,0.259704,0.263799,0.255556,0.277228,0.252427,0.525000,0.295238,0.222222,0.180000,0.120000,0.418182,0.397959,0.135417,0.204380,0.447368,0.223881,0.122449,0.240000,0.428571,0.304348,0.244444,0.240000,-,-
