年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,34.942772,34.990891,42.440880,48.105998,35.523380,21.541306,18.150996,43.716451,25.744720,25.891461,30.351669,34.625892,23.796863,15.990321,17.645585,14.252011,15.906502,58.767725,77.505647,57.781607,70.617180,72.260930,-,132.678785
1999,29.258777,29.336085,41.890579,42.035495,32.313310,22.049510,18.610328,14.827910,32.236192,39.454736,44.656334,39.890960,18.350105,16.050978,7.089716,18.685887,20.090891,33.694283,-,49.523080,11.138943,53.014338,-,-
2000,32.995967,33.039396,41.249854,30.258411,55.492129,25.398937,31.572186,21.358378,101.054623,34.345377,12.505505,25.227709,38.689174,22.824782,14.222639,14.312412,12.167596,19.737324,44.815668,31.022742,68.455922,71.523757,18.946032,-
2001,36.076974,36.089524,37.335536,28.028838,58.359414,23.048621,27.637932,35.552741,15.037836,286.677509,5.355503,16.764938,18.461169,12.105479,19.543916,29.720070,32.658127,16.978673,99.029511,79.549289,13.481904,48.673097,36.104342,-
2002,29.559494,29.513646,30.061925,14.405786,42.749874,24.427051,31.884076,20.459162,32.261325,37.820683,21.401705,42.582750,46.163363,17.492409,30.201846,77.111959,4.093521,8.507103,21.655099,25.561849,15.955474,52.248554,51.772786,-
2003,34.038535,34.142559,49.467209,15.942322,45.923869,46.047662,26.421326,27.323778,45.288292,26.316771,49.925602,22.790967,24.036484,25.618588,87.281485,12.155032,-,8.531210,43.313716,38.280345,10.502905,40.930156,-,-
2004,24.330110,24.318900,33.854090,12.572363,27.754317,30.720181,15.065703,15.277113,21.608283,47.488864,21.399033,37.217004,25.954524,12.184613,35.768162,11.086653,8.277889,2.855939,32.597889,56.081032,10.391675,48.153944,31.888009,-
2005,23.405446,23.485225,35.192462,6.489978,37.499883,37.148904,16.113832,7.266006,15.153614,46.564641,14.278231,20.512135,39.048663,29.929896,8.968578,7.784269,8.345225,40.204064,54.260243,38.262183,10.287510,36.897510,-,-
2006,20.636665,20.712390,29.851653,7.240002,29.539939,26.775071,10.188637,19.224958,32.537537,26.932707,12.500781,15.964361,20.515250,17.786048,12.601918,3.348506,-,14.438327,54.267015,23.007311,35.648400,69.844596,-,-
2007,17.366684,17.434303,15.333551,3.421070,38.480249,21.175747,16.056571,14.117524,36.923451,14.234687,26.782151,20.537098,18.710439,19.255076,18.096501,6.729826,8.517579,14.522114,32.577711,23.046490,10.078207,11.000314,-,-
2008,13.218716,12.835745,7.861898,5.711901,26.710129,11.088030,10.686427,13.733479,34.733529,12.010882,14.278575,9.896132,7.508424,20.698991,29.088899,7.889987,8.592745,14.604190,21.540350,7.698466,17.404147,14.628759,60.198535,507.588447
2009,12.912506,12.924632,8.303726,4.970986,7.619110,28.518016,16.540342,7.942323,47.695081,19.720851,10.693843,13.712186,31.997681,9.678742,12.768515,3.394667,-,-,10.553087,5.146018,14.688638,14.607763,-,101.657009
2010,13.309740,13.370706,7.720994,4.974934,9.545719,32.928477,14.403073,7.214526,19.520426,17.579893,10.688405,15.268615,3.783168,20.826854,14.665928,4.555422,56.134896,26.479584,10.355826,23.302328,9.674326,10.983962,-,-
2011,12.417263,12.433463,12.029970,5.692880,15.938775,18.069524,21.862271,8.291346,4.349968,15.524093,3.561958,9.194257,5.718109,12.576779,11.098882,9.205783,39.218848,5.920286,20.610589,20.940736,2.394074,-,9.938036,-
2012,12.290309,12.267203,3.818856,3.380793,9.397878,10.094803,43.101097,6.482832,21.794659,9.600301,24.867094,29.198123,9.587700,15.443506,7.465019,8.125504,22.000167,-,51.020408,-,9.466078,-,9.216845,93.388121
2013,8.096067,8.011709,2.026796,3.731523,4.418063,5.569423,13.280731,10.794209,-,11.380027,1.770648,21.572638,3.855726,35.241471,5.644658,8.183655,22.169361,-,10.037994,2.659338,-,11.068232,17.106884,85.197018
2014,10.425731,10.486919,1.767287,6.680484,10.238032,10.329252,10.617143,3.597854,10.902355,9.362279,26.485716,21.642621,11.633126,35.381998,15.180093,10.586971,22.257290,2.997202,49.466259,34.759777,16.270159,11.075117,-,-
