年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,1.740000,1.740000,0.580000,1.150000,1.430000,1.290000,1.450000,1.490000,2.770000,3.780000,2.730000,0.880000,3.550000,1.720000,3.490000,1.200000,4.340000,5.320000,3.630000,1.560000,2.110000,1.550000,1.830000,3.270000
1999,1.540000,1.540000,0.490000,1.050000,1.190000,1.260000,1.770000,1.130000,3.020000,2.720000,2.330000,0.870000,2.890000,1.830000,3.420000,1.240000,4.130000,3.160000,1.880000,1.970000,1.470000,1.780000,1.450000,-
2000,31.760000,31.780000,8.380000,76.190000,17.860000,42.080000,36.760000,27.820000,22.880000,21.800000,22.420000,10.700000,16.120000,34.790000,20.940000,12.880000,26.900000,42.570000,30.470000,41.570000,70.900000,97.200000,25.380000,2.900000
2001,37.270000,37.250000,12.100000,77.260000,20.410000,52.330000,39.420000,33.950000,24.680000,27.720000,28.890000,17.770000,20.010000,41.860000,24.790000,36.870000,77.770000,42.800000,34.550000,48.400000,53.990000,92.520000,48.990000,5.120000
2002,48.770000,48.780000,26.130000,90.390000,28.560000,59.110000,47.640000,61.530000,43.080000,18.150000,24.420000,22.550000,31.740000,51.460000,26.400000,51.750000,71.430000,44.160000,43.910000,48.070000,74.280000,110.460000,47.390000,18.210000
2003,66.040000,66.090000,43.830000,92.160000,35.190000,88.200000,75.000000,79.390000,46.570000,26.580000,33.480000,49.450000,67.940000,70.110000,36.620000,59.390000,92.340000,65.580000,51.710000,63.640000,88.820000,112.670000,48.110000,60.900000
2004,72.830000,72.880000,52.160000,85.390000,47.900000,102.680000,75.480000,89.410000,85.850000,27.850000,37.780000,57.480000,69.340000,57.080000,36.660000,68.240000,94.840000,78.160000,40.830000,76.360000,98.330000,112.660000,54.830000,36.200000
2005,79.810000,79.890000,60.400000,86.230000,52.430000,117.150000,84.750000,92.690000,88.840000,32.130000,40.600000,67.750000,83.640000,62.300000,51.840000,68.160000,92.480000,92.250000,51.010000,76.630000,114.760000,110.350000,51.400000,35.310000
2006,80.110000,80.210000,50.510000,86.710000,59.300000,121.640000,77.230000,93.020000,92.380000,55.030000,44.210000,74.180000,83.230000,61.560000,54.660000,71.280000,86.510000,85.570000,53.810000,77.190000,124.230000,116.220000,46.690000,11.140000
2007,79.950000,80.050000,60.670000,82.070000,70.700000,110.720000,75.450000,95.220000,90.890000,68.690000,43.410000,71.830000,80.340000,56.520000,45.720000,68.000000,74.630000,83.370000,51.320000,75.990000,114.340000,116.920000,46.530000,10.860000
2008,81.390000,81.490000,64.250000,76.570000,82.740000,98.190000,74.560000,101.050000,100.370000,77.100000,48.380000,77.370000,80.980000,62.140000,49.090000,61.940000,79.390000,89.490000,59.190000,83.440000,102.930000,128.210000,51.350000,9.150000
2009,87.010000,87.100000,59.060000,84.850000,91.740000,102.590000,73.580000,109.780000,108.270000,97.640000,63.320000,85.910000,80.670000,69.510000,59.490000,74.590000,85.710000,107.720000,69.890000,90.700000,117.890000,125.030000,63.480000,-
2010,101.940000,102.080000,57.190000,104.480000,107.020000,170.450000,78.630000,108.260000,116.100000,117.460000,74.410000,92.590000,86.090000,81.090000,67.810000,104.300000,89.990000,109.600000,78.460000,84.940000,144.690000,115.490000,62.910000,-
2011,107.300000,107.430000,58.720000,109.380000,128.330000,180.890000,78.890000,112.870000,123.390000,129.210000,82.660000,90.220000,90.310000,84.990000,77.220000,107.130000,85.210000,117.260000,94.020000,88.360000,128.830000,113.580000,73.840000,5.570000
2012,111.940000,112.100000,65.940000,103.680000,132.050000,179.670000,87.420000,140.270000,126.280000,115.510000,77.710000,87.070000,94.640000,87.870000,83.450000,100.330000,94.030000,113.000000,90.160000,87.060000,116.040000,110.410000,71.970000,-
2013,126.800000,127.050000,83.850000,107.600000,146.290000,200.050000,103.530000,154.520000,131.080000,144.960000,89.020000,106.320000,100.170000,104.080000,98.720000,112.360000,102.130000,125.440000,81.290000,101.620000,134.680000,111.010000,67.620000,-
2014,143.670000,143.950000,101.070000,114.970000,163.300000,213.470000,119.620000,180.820000,137.420000,146.090000,95.830000,140.810000,109.310000,117.160000,107.280000,134.810000,122.430000,145.190000,87.090000,109.640000,156.560000,108.830000,82.790000,21.830000
