年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,44244.000000,5624.000000,-,1222.000000,1114.000000,5614.000000,10503.000000,5004.000000,193.000000,2521.000000,3016.000000,-,1626.000000,990.000000,2260.000000,2270.000000,252.000000,1065.000000,363.000000,607.000000,-,-,-
1999,-,49920.000000,6375.000000,-,1511.000000,1106.000000,6677.000000,13546.000000,5953.000000,191.000000,2572.000000,2523.000000,-,1477.000000,986.000000,2346.000000,2264.000000,173.000000,1282.000000,398.000000,540.000000,-,-,-
2000,-,52456.000000,5364.000000,-,1555.000000,1002.000000,7430.000000,14765.000000,6003.000000,192.000000,2555.000000,2935.000000,-,1442.000000,968.000000,3183.000000,2431.000000,482.000000,1257.000000,370.000000,522.000000,-,-,-
2001,56711.000000,54776.000000,6380.000000,-,1903.000000,899.000000,5863.000000,16197.000000,6366.000000,192.000000,2552.000000,3284.000000,-,1358.000000,968.000000,3299.000000,3073.000000,302.000000,1255.000000,355.000000,530.000000,-,1701.000000,234.000000
2002,55163.000000,53291.000000,7553.000000,-,1854.000000,995.000000,2464.000000,18328.000000,5706.000000,338.000000,2525.000000,2631.000000,-,1274.000000,970.000000,3285.000000,2846.000000,308.000000,1279.000000,377.000000,558.000000,-,1872.000000,-
2003,53056.000000,51202.000000,6937.000000,-,1863.000000,945.000000,1233.000000,20160.000000,5589.000000,341.000000,1661.000000,1575.000000,-,1275.000000,976.000000,3406.000000,2542.000000,308.000000,1250.000000,604.000000,537.000000,-,1854.000000,-
2004,54252.000000,52376.000000,8351.000000,-,1269.000000,950.000000,1228.000000,21423.000000,5828.000000,334.000000,1263.000000,1929.000000,-,781.000000,976.000000,3182.000000,2398.000000,322.000000,1040.000000,545.000000,557.000000,-,1823.000000,53.000000
2005,54495.000000,52892.000000,8331.000000,-,1452.000000,614.000000,1232.000000,21471.000000,5967.000000,28.000000,3318.000000,1750.000000,-,781.000000,973.000000,2539.000000,2005.000000,319.000000,1040.000000,512.000000,560.000000,-,1551.000000,52.000000
2006,53819.000000,51996.000000,8350.000000,-,1508.000000,575.000000,2449.000000,19518.000000,5707.000000,28.000000,3459.000000,1026.000000,-,781.000000,913.000000,2657.000000,1930.000000,319.000000,1646.000000,514.000000,616.000000,-,1771.000000,52.000000
2007,52047.000000,50009.000000,7472.000000,-,1851.000000,31.000000,2456.000000,19196.000000,4327.000000,48.000000,4155.000000,1300.000000,-,900.000000,690.000000,2636.000000,1915.000000,328.000000,1628.000000,443.000000,633.000000,-,1990.000000,48.000000
2008,62694.000000,61754.000000,14943.000000,-,1865.000000,703.000000,849.000000,22016.000000,4224.000000,157.000000,3841.000000,1301.000000,-,1352.000000,877.000000,2554.000000,1807.000000,461.000000,4178.000000,-,626.000000,-,887.000000,53.000000
2009,61332.000000,60099.000000,14919.000000,-,1871.000000,704.000000,2138.000000,19535.000000,4755.000000,160.000000,3520.000000,1119.000000,-,1280.000000,885.000000,2258.000000,1823.000000,335.000000,4178.000000,-,619.000000,-,1183.000000,50.000000
2010,63518.000000,59222.000000,15706.000000,-,1970.000000,993.000000,2141.000000,17411.000000,5370.000000,161.000000,2532.000000,1208.000000,-,1260.000000,890.000000,2191.000000,1788.000000,335.000000,4629.000000,-,637.000000,-,4242.000000,54.000000
2011,64358.000000,59983.000000,15678.000000,-,1895.000000,896.000000,1698.000000,18426.000000,5244.000000,246.000000,2779.000000,1211.000000,-,1277.000000,862.000000,2146.000000,1837.000000,324.000000,4824.000000,-,640.000000,-,4321.000000,54.000000
2012,60371.000000,55990.000000,15234.000000,-,1047.000000,626.000000,1192.000000,16520.000000,5095.000000,308.000000,2838.000000,1220.000000,-,1264.000000,817.000000,2174.000000,1840.000000,324.000000,4889.000000,-,602.000000,-,4328.000000,53.000000
2013,60557.000000,57388.000000,17322.000000,-,936.000000,731.000000,1170.000000,16094.000000,5018.000000,1002.000000,2745.000000,1218.000000,-,990.000000,728.000000,2281.000000,1060.000000,366.000000,5146.000000,-,581.000000,-,3115.000000,54.000000
2014,69257.000000,64020.000000,21744.000000,-,1302.000000,165.000000,1147.000000,16088.000000,5697.000000,1002.000000,2659.000000,1236.000000,-,2034.000000,681.000000,2285.000000,1959.000000,322.000000,5125.000000,-,574.000000,-,4801.000000,436.000000
