年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,4.963491,0.085497,-,-,1.924353,4.611378,1.065150,-,-,0.039651,15.034430,-,16.345904,24.764509,1.616132,0.084531,-,1.512402,-,32.888704,-,-,-
1999,-,5.544322,0.794148,-,-,0.131492,4.126754,4.601835,-,-,-,16.969618,-,14.639332,24.646280,1.759154,0.056465,8.933333,0.730379,-,33.865248,-,-,-
2000,-,4.293963,0.861759,-,-,-,3.322511,0.269641,-,-,-,18.434881,-,13.502506,24.868203,1.657331,0.056899,0.086957,0.736763,-,33.124721,-,-,-
2001,4.451325,4.163732,0.734600,-,-,0.083056,4.231017,0.021606,-,-,-,18.335428,-,13.000657,24.626866,0.170635,0.025164,0.093458,0.948814,-,32.094897,-,19.310345,1.894737
2002,4.409849,4.101179,0.655984,-,-,0.078125,4.731786,0.018902,-,-,-,20.418552,-,12.424712,24.515747,0.054954,0.025747,0.096525,0.858529,-,31.453362,-,19.594831,-
2003,3.543647,3.180629,0.753336,-,-,0.081169,3.031912,0.019566,-,-,-,5.447109,-,12.427151,24.269564,0.040624,0.029019,0.096525,1.574699,-,31.680937,-,20.533881,-
2004,5.089412,4.768429,0.647070,-,-,0.083542,11.645457,0.018893,-,-,-,4.646809,-,19.661922,24.073534,0.034048,0.029753,0.138122,1.849334,0.000000,30.045586,-,20.534796,0.000000
2005,5.667579,5.182415,0.649592,-,-,-,11.146828,0.018810,-,-,-,11.875210,-,19.960756,24.263840,0.047210,-,0.142857,1.848831,-,30.233511,-,28.263841,-
2006,5.184163,4.637431,0.176730,-,-,-,6.534061,0.028085,-,-,-,21.447929,-,19.960756,22.755488,0.038245,-,0.141243,1.590776,-,27.911647,-,27.241594,-
2007,5.409636,4.839791,0.569464,-,-,-,6.625060,-,-,-,-,21.188044,-,22.999686,22.382733,0.039166,-,0.141044,1.729061,-,27.287319,-,26.121522,-
2008,4.384530,4.131988,0.217615,-,-,-,4.899851,0.445814,-,-,-,21.171595,-,21.885636,24.553212,0.039612,-,-,1.111917,-,25.564804,-,30.598670,-
2009,4.624125,4.395267,0.152130,-,-,0.099108,9.706137,0.501970,-,-,-,22.307090,-,20.193591,24.086902,0.039358,-,-,1.111917,-,14.066852,-,21.634615,-
2010,4.665341,4.423204,0.145372,-,-,0.076336,9.682228,-,0.010666,-,-,22.569788,-,22.354694,24.187215,0.029389,-,-,0.618453,-,13.644689,-,10.900196,0.669643
2011,4.704272,4.435545,0.210345,-,-,0.069396,9.475895,0.433379,-,-,-,22.010050,-,22.570076,25.424816,0.019720,-,-,1.153292,-,13.720930,-,11.538462,-
2012,4.554062,4.335460,0.124724,-,-,0.070126,8.354631,0.470995,-,-,-,22.305864,-,22.568807,25.468775,0.019639,-,-,0.911458,-,13.293944,-,10.393764,-
2013,4.596599,4.275322,0.112142,-,-,0.119190,8.720000,0.345428,-,-,-,22.647528,-,18.901876,23.252859,0.019469,-,-,1.152503,-,13.265306,-,15.740495,-
2014,4.782324,4.464238,0.089402,-,-,0.495050,7.286041,0.273241,-,-,-,15.397727,-,29.343961,23.930458,0.019465,-,-,1.164980,-,12.282497,-,12.497800,-
