年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,1809.000000,1786.000000,224.000000,205.000000,134.000000,175.000000,131.000000,260.000000,39.000000,42.000000,60.000000,89.000000,45.000000,56.000000,49.000000,69.000000,25.000000,41.000000,14.000000,38.000000,28.000000,29.000000,13.000000,10.000000
1999,1808.000000,1783.000000,225.000000,198.000000,135.000000,166.000000,136.000000,256.000000,39.000000,44.000000,64.000000,89.000000,48.000000,57.000000,52.000000,64.000000,26.000000,45.000000,15.000000,29.000000,30.000000,29.000000,14.000000,11.000000
2000,1904.000000,1880.000000,225.000000,194.000000,135.000000,177.000000,142.000000,263.000000,38.000000,47.000000,68.000000,96.000000,61.000000,64.000000,53.000000,76.000000,34.000000,54.000000,17.000000,33.000000,33.000000,29.000000,14.000000,10.000000
2001,1956.000000,1927.000000,219.000000,198.000000,149.000000,182.000000,142.000000,267.000000,38.000000,47.000000,73.000000,95.000000,61.000000,66.000000,52.000000,80.000000,35.000000,55.000000,17.000000,41.000000,33.000000,34.000000,16.000000,13.000000
2002,1992.000000,1962.000000,225.000000,216.000000,152.000000,175.000000,147.000000,263.000000,38.000000,57.000000,68.000000,96.000000,60.000000,67.000000,51.000000,81.000000,35.000000,53.000000,17.000000,42.000000,36.000000,33.000000,17.000000,13.000000
2003,2033.000000,2002.000000,229.000000,208.000000,157.000000,184.000000,151.000000,258.000000,40.000000,60.000000,76.000000,98.000000,66.000000,71.000000,50.000000,82.000000,36.000000,58.000000,21.000000,41.000000,37.000000,33.000000,18.000000,13.000000
2004,2049.000000,2015.000000,244.000000,209.000000,162.000000,176.000000,161.000000,255.000000,40.000000,50.000000,59.000000,105.000000,72.000000,58.000000,55.000000,90.000000,29.000000,62.000000,24.000000,46.000000,38.000000,34.000000,18.000000,16.000000
2005,2070.000000,2035.000000,254.000000,242.000000,157.000000,179.000000,154.000000,253.000000,40.000000,52.000000,52.000000,93.000000,76.000000,62.000000,53.000000,93.000000,33.000000,55.000000,23.000000,46.000000,36.000000,34.000000,21.000000,14.000000
2006,2110.000000,2077.000000,282.000000,239.000000,160.000000,182.000000,165.000000,244.000000,40.000000,52.000000,51.000000,88.000000,81.000000,61.000000,57.000000,97.000000,40.000000,50.000000,22.000000,46.000000,37.000000,35.000000,21.000000,12.000000
2007,2160.000000,2132.000000,283.000000,262.000000,157.000000,188.000000,165.000000,247.000000,40.000000,56.000000,49.000000,112.000000,88.000000,62.000000,56.000000,88.000000,46.000000,44.000000,26.000000,41.000000,38.000000,35.000000,21.000000,7.000000
2008,2179.000000,2150.000000,279.000000,260.000000,165.000000,186.000000,166.000000,235.000000,50.000000,58.000000,51.000000,115.000000,92.000000,63.000000,58.000000,90.000000,47.000000,45.000000,29.000000,39.000000,39.000000,35.000000,21.000000,8.000000
2009,2198.000000,2165.000000,287.000000,260.000000,166.000000,189.000000,164.000000,245.000000,50.000000,61.000000,54.000000,115.000000,89.000000,60.000000,55.000000,87.000000,48.000000,48.000000,28.000000,39.000000,38.000000,35.000000,23.000000,10.000000
2010,2173.000000,2141.000000,257.000000,260.000000,166.000000,192.000000,168.000000,242.000000,48.000000,60.000000,64.000000,113.000000,92.000000,60.000000,58.000000,91.000000,41.000000,46.000000,28.000000,34.000000,38.000000,35.000000,23.000000,9.000000
2011,2191.000000,2153.000000,261.000000,261.000000,163.000000,194.000000,174.000000,221.000000,51.000000,64.000000,66.000000,117.000000,92.000000,61.000000,57.000000,96.000000,41.000000,49.000000,29.000000,36.000000,37.000000,35.000000,26.000000,12.000000
2012,2307.000000,2272.000000,278.000000,260.000000,165.000000,205.000000,192.000000,237.000000,53.000000,65.000000,68.000000,117.000000,93.000000,72.000000,59.000000,113.000000,52.000000,53.000000,29.000000,37.000000,37.000000,36.000000,23.000000,12.000000
2013,2336.000000,2296.000000,272.000000,257.000000,162.000000,210.000000,192.000000,256.000000,55.000000,65.000000,70.000000,121.000000,92.000000,73.000000,62.000000,111.000000,51.000000,58.000000,29.000000,36.000000,38.000000,36.000000,28.000000,12.000000
2014,2374.000000,2329.000000,276.000000,260.000000,161.000000,217.000000,194.000000,269.000000,53.000000,65.000000,76.000000,118.000000,95.000000,69.000000,63.000000,112.000000,52.000000,60.000000,30.000000,37.000000,38.000000,36.000000,29.000000,16.000000
