年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,831781.000000,24341.000000,-,6309.000000,3094.000000,70743.000000,336999.000000,91581.000000,2825.000000,1742.000000,31537.000000,1039.000000,34170.000000,47768.000000,62490.000000,10069.000000,5881.000000,25983.000000,55647.000000,19562.000000,1.000000,-,-
1999,-,868877.000000,19325.000000,-,10068.000000,3060.000000,70537.000000,367230.000000,106116.000000,3563.000000,2548.000000,30451.000000,1089.000000,37371.000000,49067.000000,55261.000000,9016.000000,3465.000000,19910.000000,57566.000000,23233.000000,1.000000,-,-
2000,-,823632.000000,20669.000000,-,9166.000000,4277.000000,62322.000000,356643.000000,64672.000000,3828.000000,3230.000000,29840.000000,859.000000,38212.000000,51724.000000,60298.000000,8756.000000,3100.000000,21285.000000,60076.000000,24674.000000,1.000000,-,-
2001,798250.000000,796414.000000,27617.000000,-,9004.000000,3557.000000,66159.000000,288927.000000,62650.000000,3038.000000,2226.000000,32635.000000,716.000000,59163.000000,60594.000000,58900.000000,8971.000000,4508.000000,24216.000000,56591.000000,26941.000000,1.000000,909.000000,927.000000
2002,852471.000000,850822.000000,36693.000000,-,8207.000000,2857.000000,82576.000000,295894.000000,85762.000000,2631.000000,2264.000000,30562.000000,662.000000,62231.000000,61919.000000,66941.000000,7042.000000,5530.000000,30098.000000,45206.000000,23746.000000,1.000000,683.000000,966.000000
2003,946677.000000,945232.000000,41704.000000,-,7550.000000,3205.000000,90608.000000,343820.000000,107340.000000,3110.000000,1848.000000,34704.000000,561.000000,64283.000000,61457.000000,76329.000000,8344.000000,6800.000000,33746.000000,39382.000000,20440.000000,1.000000,642.000000,803.000000
2004,826596.000000,825122.000000,24808.000000,-,7027.000000,2941.000000,85988.000000,264482.000000,109444.000000,2196.000000,1238.000000,33420.000000,493.000000,50196.000000,63653.000000,70997.000000,8876.000000,5661.000000,28907.000000,38482.000000,26312.000000,1.000000,672.000000,802.000000
2005,823488.917380,822115.917380,25251.245000,-,6565.763000,1870.716100,82413.220000,260190.007280,122616.424000,1640.304000,1324.402000,33629.900000,465.980000,45358.683000,62417.061000,75404.104000,9672.739000,6879.469000,27592.700000,37691.200000,21132.000000,-,703.000000,670.000000
2006,825328.974540,824020.552540,15733.742000,-,6692.742000,1513.252300,77029.317660,298749.310980,99329.219000,1827.300000,1890.776000,29332.920000,284.992000,66195.422200,62246.414000,71679.284400,10231.227000,10541.783000,20579.800000,38272.150000,11890.900000,-,787.218000,521.204000
2007,975428.506830,974102.506830,13211.270000,-,6355.266000,1289.030000,73022.296320,468229.694810,93269.164000,3476.335000,1691.276000,29407.200000,319.650000,57378.564000,63880.099000,75070.896700,11036.591000,11617.754000,18381.830000,36841.890000,9623.700000,-,694.000000,632.000000
2008,907978.860000,906756.990000,12940.350000,-,5229.530000,1453.720000,64567.560000,401991.000000,98780.410000,3146.010000,1450.930000,28210.880000,293.910000,80655.800000,62353.910000,74797.970000,8504.450000,7424.820000,8391.160000,35640.700000,10923.880000,-,584.250000,637.620000
2009,705366.157880,704001.991780,13156.648000,-,3517.906000,1378.250600,58375.447800,227274.201240,103740.971000,2008.455000,1669.501000,27466.790000,214.350000,69031.821000,51593.701140,68775.328000,6163.580000,5984.710000,10605.803000,46095.978000,6948.550000,-,687.419100,676.747000
2010,59341836.016320,59115034.289030,14524.268000,-,2423.808100,1295.561900,64051.257400,238553.668010,95025.715200,5086.269000,1536.895000,28353.380000,155.000000,81610.636000,65876.836680,61026.665270,7205.458000,9172.851000,9676.460220,44055.180000,4743.775000,-,572.052200,767.997000
2011,809460.431530,808232.564130,31525.712340,-,1680.377000,1101.073100,77943.314300,277419.073870,75996.887790,3045.840000,1343.697700,25748.870000,130.595000,76474.062000,63528.842430,73503.436400,6603.061300,10624.542700,7645.412200,68941.873000,4975.893000,-,491.328400,736.539000
2012,830411.986060,829275.606060,32051.764600,-,2288.378000,1797.360300,98391.475400,292796.855620,61121.280980,3127.952000,1570.749000,23628.850000,167.856000,63080.435000,71200.712920,83760.035300,5962.722700,11755.003000,5801.971740,64947.952000,5824.251500,-,508.588000,627.792000
2013,825840.321450,824861.554950,24343.732480,-,1896.320800,1239.983000,92787.974780,327599.014490,46139.967300,3519.445000,1489.177000,23113.484000,134.647000,55462.234000,75427.647470,81554.361340,5796.886390,10424.935600,8142.876300,60969.880000,4818.988000,-,465.716500,513.050000
2014,910910.894770,909760.934270,23426.885700,-,1779.336200,1770.880220,91578.650200,390520.705010,51490.114360,6042.930000,1245.527090,21630.000000,131.253000,57435.285040,77377.088740,80785.499350,7160.689730,10977.061230,10008.986400,71892.720000,4507.322000,-,404.634500,745.326000
