年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,57442693.000000,2844962.000000,-,433301.000000,311772.000000,5023927.000000,16037034.000000,3284219.000000,168733.000000,222177.000000,2409000.000000,106145.000000,2792952.000000,6216542.000000,8416066.000000,792315.000000,411449.000000,2392852.000000,3373291.000000,2205889.000000,67.000000,-,-
1999,-,51321236.000000,3151310.000000,-,603018.000000,319950.000000,4529685.000000,11181941.000000,4158323.000000,72586.000000,229947.000000,2199456.000000,124645.000000,2396350.000000,4668761.000000,8172397.000000,759635.000000,191132.000000,2309663.000000,3594381.000000,2658029.000000,27.000000,-,-
2000,-,52601398.000000,3357736.000000,-,541013.000000,303614.000000,4017350.000000,11335132.000000,3108327.000000,282937.000000,235241.000000,2547824.000000,70933.000000,3644336.000000,5463222.000000,7985964.000000,781774.000000,203257.000000,2501253.000000,3232958.000000,2988501.000000,26.000000,-,-
2001,52156377.000000,51897057.000000,2968461.000000,-,473551.000000,323927.000000,3790736.000000,9490250.000000,3159553.000000,293224.000000,166804.000000,2166644.000000,59406.000000,5636059.000000,5417839.000000,7338021.000000,761865.000000,300326.000000,3110190.000000,3293055.000000,3147118.000000,28.000000,113034.000000,146286.000000
2002,54955325.000000,54709611.000000,3942075.000000,-,428775.000000,263325.000000,4198455.000000,9028958.000000,3331758.000000,238333.000000,231921.000000,2683557.000000,48949.000000,5912428.000000,6321497.000000,8294318.000000,637131.000000,356214.000000,3662654.000000,2395064.000000,2734187.000000,12.000000,69593.000000,176121.000000
2003,59715864.000000,59470150.000000,3691953.000000,-,441486.000000,262722.000000,4780457.000000,9203204.000000,4104855.000000,380015.000000,269858.000000,3170722.000000,43022.000000,5683771.000000,5934018.000000,10433628.000000,720354.000000,458961.000000,4668264.000000,2898978.000000,2323867.000000,15.000000,69593.000000,176121.000000
2004,59696170.000000,59447632.000000,4907789.000000,-,398137.000000,262601.000000,5511878.000000,8418047.000000,4214601.000000,253958.000000,160733.000000,3316157.000000,42369.000000,3935218.000000,5968326.000000,11016504.000000,828274.000000,455241.000000,3850328.000000,2855596.000000,3051863.000000,12.000000,85171.000000,163367.000000
2005,57371290.047980,57094179.047980,3016625.288000,-,375514.389750,188593.987870,5238035.904500,7207084.908930,4264449.540970,168232.530000,219823.133070,3443399.400000,41660.650000,4032254.011850,6952749.030160,11983019.523880,925139.614000,517868.482000,3919505.400000,2232859.400000,2367363.853000,-,87120.000000,189991.000000
2006,54571123.059500,54349784.744300,1772089.442780,-,403667.938500,126273.656590,4772536.655780,8928373.753700,4266173.280360,168790.400000,260897.448000,2516342.650000,19254.639000,4914444.410860,6709288.100350,10383085.158380,1194360.619000,660396.883000,3262273.600000,2722058.200000,1269477.908000,-,128876.519100,92461.796100
2007,59607597.849210,59390527.849210,1178243.300000,-,374824.684000,111599.177830,5643624.831800,12731346.357000,4194717.836340,216863.471000,254399.276000,2607820.400000,28953.800000,5036051.823990,6637192.156210,12151584.727670,1059270.288000,575767.309800,2807105.950000,2741757.750000,1009404.709000,-,119569.000000,97501.000000
2008,60985488.870000,60770772.000000,851389.000000,-,585644.000000,186805.000000,5402387.000000,13220121.000000,5416367.000000,207707.000000,137393.000000,2656735.000000,29286.000000,6456278.000000,4830549.000000,12370505.000000,1173204.000000,553711.000000,1521257.000000,4032473.000000,1138961.000000,-,98531.090000,116185.780000
2009,55885889.945350,55649517.090850,801626.387000,-,420896.017100,175745.521400,5516840.644270,10155360.104020,5975523.927540,172679.904000,178928.435640,2445519.200000,17607.850000,6556672.899000,4279823.789700,10181106.965180,693261.255000,662604.612000,1770059.071500,4905030.640000,740229.867500,-,125283.454500,111089.400000
2010,59341836.016320,59115034.289030,782557.739110,1561.145500,364657.479050,222106.412470,5932577.894130,9241045.649110,4758051.319460,294979.480000,158656.727480,3065397.724080,35076.554880,9484235.690300,6072148.202700,9361477.471510,723388.982000,747564.703000,1753361.963500,5585472.300000,530716.850750,-,100517.717290,126284.010000
2011,70758800.285550,70527046.288550,1369586.208080,8187.829650,267031.266100,187702.459000,8236565.827760,11553695.594800,4148582.107600,261436.309200,138304.216830,3442679.364240,32911.190870,9783547.457710,6299111.869070,12339275.238570,773217.924300,720226.239200,1531949.624840,8807927.250000,625108.310730,-,99950.067000,131803.930000
2012,67697533.855070,67489545.245070,2209822.109000,4190.777000,324712.979440,298321.714670,8095907.137610,12656471.048480,4325141.640990,256384.971000,178380.891100,1967318.668000,29522.262010,5404700.681930,6410496.038890,13835810.791890,746500.772500,779673.391000,1209058.486060,8061363.840000,695767.043500,-,110211.120000,97777.490000
2013,69748199.225950,69561874.273450,2001131.235880,2896.209100,358149.556410,200438.932560,9526913.512660,13372737.705230,3295308.017010,287430.087640,278844.382810,2039909.057770,24943.491740,5679267.875980,7063543.640550,12716892.579100,774510.712410,567049.554600,1506556.058000,9254103.700000,611247.964000,-,108728.292500,77596.660000
2014,75006293.496460,74793906.493960,1707366.719840,3011.000000,278245.394460,324594.697610,9825171.738340,14956078.215870,3770343.786100,582588.786720,232855.579440,1797945.260000,22631.127280,5508255.286000,8498433.259530,13438047.945190,849644.377040,499167.240880,1530662.423660,10185118.500000,783745.156000,-,79878.487500,132508.515000
