年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,58.071115,58.247968,49.079075,87.586876,70.156047,73.211285,55.395557,68.951696,11.810013,26.233184,40.168971,-,107.126611,32.049307,-,54.039238,40.177491,67.784394,-,148.943662,89.912054,190.000000,-,-
1999,62.388493,62.579552,48.059415,98.547636,75.490070,79.434238,62.854656,70.208193,46.204934,29.174380,41.331558,-,89.107445,30.291262,-,53.907037,42.875592,71.005155,19.762846,172.766323,96.544715,192.028986,4.109589,-
2000,66.610299,66.758780,46.465317,101.978597,81.288679,83.324644,65.646853,82.351761,55.800063,28.991906,38.838839,-,125.031766,45.983104,-,57.988960,45.344130,67.389853,43.775100,159.564475,91.346154,182.577252,20.512821,-
2001,70.974641,71.165133,53.732829,103.599010,82.804775,89.135351,72.221268,80.383424,59.829060,30.391139,41.936312,-,131.698113,49.056916,-,63.599712,47.886109,74.460769,56.992084,155.201342,113.855422,248.191979,7.033639,-
2002,74.256818,74.459921,58.010294,104.947493,85.439755,93.014109,78.607810,85.519247,62.595187,36.310609,43.792668,-,138.102372,53.108289,-,66.532374,48.852041,77.683800,63.648469,130.492730,129.332644,244.701087,12.771739,-
2003,77.441304,77.630641,59.844865,111.308703,86.789625,97.477611,82.109635,86.632487,68.588918,41.734019,41.717949,-,149.023535,55.295316,-,70.996217,52.872063,75.668708,89.719626,133.712429,132.586558,250.196078,15.116279,-
2004,78.857371,79.070320,57.842060,118.692922,84.759388,100.500159,85.582647,87.268757,69.756406,48.031496,38.006231,-,149.574313,60.349441,-,76.760946,55.835432,84.741407,64.175563,134.610872,127.414634,226.481258,12.365591,-
2005,81.882093,82.120440,62.916716,116.567925,85.906824,105.453846,89.770709,88.399906,70.816517,48.356959,37.444210,-,166.739659,66.191223,-,79.529536,58.789625,84.738462,61.702128,144.734848,145.846868,246.733043,13.571429,-
2006,86.163767,86.428719,65.469546,129.469702,87.878459,108.982500,94.805918,88.651345,79.515076,49.267462,31.825796,-,178.753056,71.096713,-,91.410274,62.814292,88.221860,60.997442,144.556047,154.958476,254.809555,13.800905,-
2007,87.319203,87.561319,66.873329,125.741376,88.513727,110.484170,95.116624,90.573248,87.745840,51.410343,30.438778,-,182.096475,69.969231,-,92.538930,63.528915,87.628225,76.806084,140.084550,170.799273,260.566852,13.349515,-
2008,88.036818,88.284720,66.127950,123.862617,91.505632,109.879936,98.059816,90.557744,86.777100,52.043929,29.588719,-,192.379399,75.339716,-,92.542869,65.000000,87.886435,61.699346,138.685304,169.772727,265.421687,10.487805,-
2009,90.096948,90.377101,69.608553,122.693316,92.053115,119.058312,101.639723,92.885810,77.734020,55.860113,29.285381,-,195.012938,74.666460,-,94.246650,68.079585,91.416586,62.433862,140.822662,183.589512,249.912841,13.800425,-
2010,89.788162,90.060795,69.631602,122.626315,93.813218,110.516039,105.323338,90.606077,78.770784,52.645581,30.055788,-,198.636577,77.305303,-,94.993252,71.704745,93.126815,74.882075,133.808630,198.440367,251.004016,16.424116,-
2011,90.981918,91.285223,67.603924,128.915437,93.905130,114.133423,106.556201,92.310958,79.025788,67.553499,45.834254,-,196.221057,79.468972,-,89.368729,75.311292,95.090851,64.945055,130.605505,176.015391,243.530765,15.090909,-
2012,92.077199,92.373780,69.275148,127.347850,96.401567,117.147233,104.440920,93.898126,80.753740,63.362832,35.481024,-,197.269925,77.455090,-,93.671541,69.154639,97.410799,63.405797,132.189482,190.325306,296.529412,18.563923,-
2013,93.529517,93.826183,67.492529,129.855303,96.700693,118.661646,103.145282,95.279348,83.545738,67.937411,36.338330,-,194.476933,80.014652,-,94.673856,75.816716,98.138958,60.941476,132.897527,224.753257,296.164236,19.669118,-
2014,93.310519,93.639076,68.023706,124.917040,98.523705,119.658066,103.210563,95.409723,85.827815,63.616378,44.704179,-,202.233460,80.590302,-,94.357328,78.808477,97.772426,64.763996,130.066271,201.731602,319.114583,17.480315,6.349206
