年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,59342.000000,58681.000000,1860.000000,14095.000000,1704.000000,4180.000000,7555.000000,5852.000000,2424.000000,903.000000,1687.000000,3461.000000,2034.000000,1688.000000,2063.000000,3047.000000,1921.000000,1157.000000,503.000000,858.000000,867.000000,822.000000,661.000000,-
2004,56470.000000,55986.000000,1979.000000,12059.000000,2759.000000,3690.000000,6831.000000,6269.000000,2608.000000,736.000000,1294.000000,3289.000000,1638.000000,1450.000000,1982.000000,3051.000000,2121.000000,1110.000000,451.000000,926.000000,991.000000,752.000000,484.000000,-
2005,55164.000000,54812.000000,3999.000000,9407.000000,2590.000000,3707.000000,6459.000000,5781.000000,2579.000000,1017.000000,1266.000000,2236.000000,1481.000000,1424.000000,1942.000000,3243.000000,2313.000000,2005.000000,603.000000,1023.000000,976.000000,761.000000,352.000000,-
2006,53461.000000,53158.000000,2386.000000,10242.000000,3858.000000,3728.000000,6150.000000,4814.000000,2607.000000,812.000000,1203.000000,2119.000000,1648.000000,1123.000000,1800.000000,3356.000000,2430.000000,1878.000000,663.000000,763.000000,821.000000,757.000000,303.000000,-
2007,47798.000000,47467.000000,1897.000000,10041.000000,3385.000000,3204.000000,5706.000000,4935.000000,2204.000000,834.000000,924.000000,1112.000000,1678.000000,1079.000000,1606.000000,3453.000000,1768.000000,1232.000000,347.000000,691.000000,705.000000,666.000000,331.000000,-
2008,45680.000000,45088.000000,1403.000000,9857.000000,2360.000000,3199.000000,5411.000000,4784.000000,1975.000000,1125.000000,753.000000,1260.000000,1758.000000,1037.000000,1248.000000,3507.000000,1625.000000,1238.000000,346.000000,892.000000,621.000000,689.000000,337.000000,255.000000
2009,42845.000000,42283.000000,1670.000000,7352.000000,2256.000000,3016.000000,5335.000000,4877.000000,1779.000000,976.000000,1061.000000,1112.000000,1632.000000,977.000000,1183.000000,3762.000000,1375.000000,1417.000000,322.000000,897.000000,638.000000,646.000000,335.000000,227.000000
2010,46938.000000,46354.000000,1176.000000,7873.000000,6354.000000,3041.000000,5420.000000,4945.000000,1834.000000,683.000000,1206.000000,1020.000000,1600.000000,946.000000,1331.000000,3659.000000,1359.000000,1375.000000,316.000000,984.000000,679.000000,553.000000,361.000000,223.000000
2011,40227.000000,39575.000000,1239.000000,7127.000000,3263.000000,1923.000000,4558.000000,4580.000000,1975.000000,480.000000,952.000000,1238.000000,1259.000000,756.000000,1408.000000,3706.000000,1135.000000,1499.000000,266.000000,914.000000,683.000000,614.000000,444.000000,208.000000
2012,38542.000000,37913.000000,816.000000,7031.000000,2508.000000,1706.000000,4038.000000,4390.000000,2042.000000,474.000000,1633.000000,1375.000000,848.000000,628.000000,1427.000000,3779.000000,1431.000000,1296.000000,228.000000,946.000000,516.000000,801.000000,397.000000,232.000000
2013,40945.000000,40277.000000,1025.000000,7132.000000,2310.000000,2070.000000,4284.000000,4150.000000,2005.000000,860.000000,1211.000000,1190.000000,901.000000,722.000000,1239.000000,5783.000000,1792.000000,976.000000,244.000000,850.000000,586.000000,947.000000,437.000000,231.000000
2014,37878.000000,37098.000000,970.000000,6910.000000,1965.000000,1875.000000,4032.000000,3842.000000,1361.000000,788.000000,1534.000000,1111.000000,1332.000000,531.000000,942.000000,4324.000000,1599.000000,1259.000000,295.000000,873.000000,707.000000,848.000000,480.000000,300.000000
