年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,39027.000000,38993.000000,4470.000000,9109.000000,2117.000000,4290.000000,3160.000000,5575.000000,563.000000,607.000000,677.000000,1687.000000,743.000000,1227.000000,697.000000,1475.000000,254.000000,384.000000,76.000000,569.000000,587.000000,726.000000,34.000000,-
1999,40322.000000,40293.000000,5007.000000,9347.000000,2205.000000,4337.000000,3280.000000,5982.000000,581.000000,567.000000,707.000000,1660.000000,741.000000,1014.000000,722.000000,1383.000000,283.000000,388.000000,90.000000,611.000000,616.000000,772.000000,29.000000,-
2000,43641.000000,43610.000000,5812.000000,9731.000000,2476.000000,4724.000000,3579.000000,6390.000000,671.000000,588.000000,748.000000,1755.000000,794.000000,1006.000000,819.000000,1635.000000,305.000000,426.000000,94.000000,588.000000,666.000000,803.000000,31.000000,-
2001,47130.000000,47099.000000,6373.000000,10181.000000,2777.000000,5141.000000,3702.000000,6616.000000,736.000000,722.000000,813.000000,2063.000000,867.000000,1226.000000,902.000000,1712.000000,292.000000,454.000000,103.000000,651.000000,906.000000,862.000000,31.000000,-
2002,49752.000000,49716.000000,7095.000000,10339.000000,3004.000000,5520.000000,3970.000000,6888.000000,756.000000,766.000000,861.000000,2177.000000,952.000000,1346.000000,919.000000,1659.000000,318.000000,487.000000,109.000000,647.000000,1003.000000,900.000000,36.000000,-
2003,51447.000000,51388.000000,7286.000000,10453.000000,3218.000000,6043.000000,4121.000000,7184.000000,763.000000,802.000000,906.000000,2313.000000,1034.000000,1345.000000,928.000000,1696.000000,350.000000,547.000000,86.000000,655.000000,866.000000,792.000000,57.000000,2.000000
2004,52685.000000,52621.000000,7337.000000,10799.000000,3422.000000,6058.000000,4360.000000,6950.000000,832.000000,853.000000,978.000000,2407.000000,1071.000000,1381.000000,965.000000,1711.000000,388.000000,615.000000,87.000000,687.000000,911.000000,809.000000,62.000000,2.000000
2005,55802.000000,55734.000000,7810.000000,11215.000000,3684.000000,6567.000000,4720.000000,7214.000000,869.000000,892.000000,1056.000000,2635.000000,1168.000000,1433.000000,987.000000,1774.000000,412.000000,680.000000,82.000000,716.000000,968.000000,852.000000,68.000000,-
2006,57976.000000,57901.000000,8553.000000,11206.000000,4025.000000,6968.000000,4779.000000,7454.000000,907.000000,937.000000,1088.000000,2754.000000,1188.000000,1484.000000,985.000000,1797.000000,415.000000,690.000000,81.000000,725.000000,985.000000,880.000000,71.000000,4.000000
2007,59061.000000,58985.000000,8778.000000,10907.000000,4204.000000,7345.000000,4848.000000,7667.000000,920.000000,996.000000,1071.000000,2853.000000,1185.000000,1500.000000,1012.000000,1811.000000,410.000000,720.000000,78.000000,762.000000,1020.000000,898.000000,72.000000,4.000000
2008,58834.000000,58753.000000,8924.000000,10527.000000,4265.000000,7617.000000,4862.000000,7726.000000,892.000000,979.000000,993.000000,2887.000000,1180.000000,1456.000000,1014.000000,1659.000000,383.000000,687.000000,63.000000,769.000000,963.000000,907.000000,77.000000,4.000000
2009,58524.000000,58432.000000,8657.000000,10377.000000,4283.000000,7736.000000,4743.000000,7752.000000,903.000000,994.000000,986.000000,2747.000000,1211.000000,1436.000000,978.000000,1807.000000,392.000000,682.000000,72.000000,790.000000,968.000000,918.000000,85.000000,7.000000
2010,60222.000000,60125.000000,8889.000000,10561.000000,4437.000000,8073.000000,4908.000000,8037.000000,915.000000,1073.000000,1016.000000,2737.000000,1251.000000,1459.000000,995.000000,1843.000000,409.000000,687.000000,74.000000,788.000000,1025.000000,948.000000,89.000000,8.000000
2011,63274.000000,63162.000000,9598.000000,10936.000000,4688.000000,8439.000000,5055.000000,8395.000000,942.000000,1164.000000,1081.000000,2886.000000,1334.000000,1496.000000,1035.000000,1927.000000,441.000000,710.000000,79.000000,825.000000,1120.000000,1011.000000,104.000000,8.000000
2012,64024.000000,63913.000000,9942.000000,10738.000000,4848.000000,8494.000000,5103.000000,8570.000000,964.000000,1225.000000,1109.000000,2857.000000,1354.000000,1486.000000,1050.000000,1902.000000,442.000000,721.000000,95.000000,818.000000,1182.000000,1013.000000,103.000000,8.000000
2013,65280.000000,65164.000000,10236.000000,11021.000000,5133.000000,8394.000000,5130.000000,8760.000000,984.000000,1274.000000,1133.000000,2896.000000,1388.000000,1504.000000,1069.000000,1916.000000,438.000000,686.000000,98.000000,833.000000,1247.000000,1024.000000,108.000000,8.000000
2014,66678.000000,66556.000000,10266.000000,11422.000000,5352.000000,8582.000000,5260.000000,8909.000000,1001.000000,1338.000000,1117.000000,2948.000000,1382.000000,1505.000000,1092.000000,1928.000000,449.000000,700.000000,103.000000,838.000000,1322.000000,1042.000000,114.000000,8.000000
