年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,124564.000000,124294.000000,10025.000000,21493.000000,10919.000000,12509.000000,9673.000000,16495.000000,4097.000000,1742.000000,2987.000000,5293.000000,3200.000000,2104.000000,1482.000000,4928.000000,1276.000000,8083.000000,481.000000,2231.000000,2067.000000,3209.000000,233.000000,37.000000
1999,122937.000000,122703.000000,10319.000000,20940.000000,11303.000000,13622.000000,9972.000000,16235.000000,3749.000000,1882.000000,3135.000000,5266.000000,2801.000000,2359.000000,1784.000000,5729.000000,1271.000000,4511.000000,463.000000,2211.000000,1966.000000,3185.000000,203.000000,31.000000
2000,126476.000000,126220.000000,9432.000000,21096.000000,11827.000000,14347.000000,10325.000000,16646.000000,4037.000000,1894.000000,3415.000000,5565.000000,3502.000000,2590.000000,2625.000000,5458.000000,1287.000000,4232.000000,463.000000,2136.000000,1831.000000,3512.000000,206.000000,50.000000
2001,127676.000000,127357.000000,9741.000000,21321.000000,12249.000000,15200.000000,10359.000000,16646.000000,3812.000000,1873.000000,3112.000000,5442.000000,2805.000000,2776.000000,2797.000000,5472.000000,1314.000000,4310.000000,475.000000,2498.000000,1861.000000,3294.000000,252.000000,67.000000
2002,133398.000000,133073.000000,10088.000000,22080.000000,12532.000000,16118.000000,10407.000000,17488.000000,3919.000000,1957.000000,3125.000000,5539.000000,2880.000000,3095.000000,3284.000000,5901.000000,1310.000000,4424.000000,468.000000,2559.000000,2444.000000,3455.000000,256.000000,69.000000
2003,136331.000000,135996.000000,10209.000000,22328.000000,12921.000000,16844.000000,10806.000000,18263.000000,4005.000000,2090.000000,3053.000000,5808.000000,2886.000000,2933.000000,3403.000000,5638.000000,1431.000000,4270.000000,481.000000,2567.000000,2523.000000,3537.000000,266.000000,69.000000
2004,143343.000000,143017.000000,10913.000000,22663.000000,13981.000000,17667.000000,11668.000000,19950.000000,4016.000000,2175.000000,3209.000000,6004.000000,3119.000000,3091.000000,3620.000000,5808.000000,1379.000000,4626.000000,497.000000,2611.000000,2431.000000,3589.000000,258.000000,68.000000
2005,146382.000000,145999.000000,12210.000000,21841.000000,14366.000000,18057.000000,11949.000000,20216.000000,4055.000000,2269.000000,3386.000000,6682.000000,3139.000000,3065.000000,3549.000000,6049.000000,1410.000000,4631.000000,536.000000,2539.000000,2364.000000,3686.000000,339.000000,44.000000
2006,148962.000000,148613.000000,12731.000000,21791.000000,14433.000000,18777.000000,12115.000000,20336.000000,4164.000000,2265.000000,3322.000000,7400.000000,3228.000000,3155.000000,3475.000000,6101.000000,1417.000000,4546.000000,536.000000,2626.000000,2361.000000,3834.000000,305.000000,44.000000
2007,150628.000000,150282.000000,13231.000000,22478.000000,14068.000000,19131.000000,12160.000000,20336.000000,4310.000000,2257.000000,3378.000000,7293.000000,3257.000000,3424.000000,3396.000000,5976.000000,1472.000000,4477.000000,538.000000,2669.000000,2507.000000,3924.000000,299.000000,47.000000
2008,152901.000000,152563.000000,14366.000000,23262.000000,14138.000000,19028.000000,12155.000000,20275.000000,4238.000000,2266.000000,3601.000000,7986.000000,3278.000000,3552.000000,2868.000000,5902.000000,1542.000000,4438.000000,536.000000,2660.000000,2413.000000,4059.000000,302.000000,36.000000
2009,156740.000000,156444.000000,15553.000000,23781.000000,14348.000000,19550.000000,12276.000000,20617.000000,4221.000000,2390.000000,3661.000000,7900.000000,3328.000000,3815.000000,3280.000000,6010.000000,1581.000000,4438.000000,530.000000,2659.000000,2457.000000,4049.000000,260.000000,36.000000
2010,158922.000000,158604.000000,15966.000000,24220.000000,14661.000000,19557.000000,12098.000000,20922.000000,4250.000000,2385.000000,3655.000000,7990.000000,3444.000000,4056.000000,3404.000000,6129.000000,1605.000000,4562.000000,544.000000,2619.000000,2525.000000,4012.000000,269.000000,49.000000
2011,160472.000000,160148.000000,16451.000000,24666.000000,14654.000000,20150.000000,11929.000000,20964.000000,4330.000000,2324.000000,3638.000000,7950.000000,3396.000000,4003.000000,3398.000000,6182.000000,1646.000000,4548.000000,540.000000,2680.000000,2608.000000,4091.000000,269.000000,55.000000
2012,160900.000000,160576.000000,16629.000000,24817.000000,14681.000000,20146.000000,11954.000000,20981.000000,4274.000000,2334.000000,3515.000000,7847.000000,3425.000000,4005.000000,3369.000000,6267.000000,1661.000000,4502.000000,531.000000,2812.000000,2660.000000,4166.000000,269.000000,55.000000
2013,159422.000000,159097.000000,16267.000000,24241.000000,14788.000000,20194.000000,12023.000000,20776.000000,4196.000000,2324.000000,3316.000000,7759.000000,3314.000000,3983.000000,3440.000000,6093.000000,1565.000000,4509.000000,547.000000,2877.000000,2741.000000,4144.000000,270.000000,55.000000
2014,161491.000000,161014.000000,16998.000000,24899.000000,14926.000000,20626.000000,12377.000000,20958.000000,3888.000000,2336.000000,3422.000000,7697.000000,3295.000000,4008.000000,3394.000000,5854.000000,1555.000000,4489.000000,547.000000,2940.000000,2834.000000,3971.000000,422.000000,55.000000
