年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,4968.000000,4968.000000,358.000000,256.000000,206.000000,350.000000,490.000000,522.000000,191.000000,155.000000,237.000000,410.000000,212.000000,367.000000,255.000000,408.000000,115.000000,148.000000,82.000000,120.000000,67.000000,19.000000,-,-
1999,5245.000000,5209.000000,366.000000,258.000000,212.000000,387.000000,544.000000,537.000000,198.000000,157.000000,254.000000,438.000000,215.000000,375.000000,272.000000,423.000000,119.000000,149.000000,82.000000,122.000000,82.000000,19.000000,36.000000,-
2000,5497.000000,5453.000000,370.000000,279.000000,219.000000,398.000000,579.000000,611.000000,205.000000,158.000000,265.000000,462.000000,228.000000,386.000000,278.000000,428.000000,123.000000,150.000000,83.000000,122.000000,87.000000,22.000000,44.000000,-
2001,5584.000000,5534.000000,372.000000,297.000000,223.000000,414.000000,587.000000,624.000000,208.000000,158.000000,264.000000,450.000000,237.000000,389.000000,285.000000,432.000000,123.000000,150.000000,83.000000,124.000000,88.000000,26.000000,50.000000,-
2002,5735.000000,5673.000000,377.000000,316.000000,225.000000,432.000000,599.000000,662.000000,211.000000,159.000000,266.000000,463.000000,239.000000,392.000000,287.000000,437.000000,127.000000,151.000000,84.000000,126.000000,92.000000,28.000000,62.000000,-
2003,5960.000000,5880.000000,392.000000,346.000000,225.000000,484.000000,610.000000,694.000000,216.000000,163.000000,275.000000,471.000000,247.000000,395.000000,287.000000,443.000000,129.000000,154.000000,84.000000,135.000000,98.000000,32.000000,70.000000,10.000000
2004,6047.000000,5962.000000,384.000000,352.000000,227.000000,505.000000,617.000000,696.000000,220.000000,166.000000,272.000000,485.000000,249.000000,398.000000,304.000000,440.000000,133.000000,157.000000,85.000000,137.000000,99.000000,36.000000,70.000000,15.000000
2005,6150.000000,6054.000000,393.000000,359.000000,227.000000,516.000000,625.000000,710.000000,226.000000,171.000000,272.000000,495.000000,251.000000,402.000000,305.000000,445.000000,135.000000,159.000000,85.000000,138.000000,102.000000,38.000000,78.000000,18.000000
2006,6275.000000,6176.000000,400.000000,370.000000,223.000000,537.000000,641.000000,727.000000,228.000000,173.000000,276.000000,506.000000,253.000000,404.000000,317.000000,448.000000,136.000000,160.000000,87.000000,140.000000,108.000000,42.000000,80.000000,19.000000
2007,6402.000000,6298.000000,412.000000,380.000000,230.000000,567.000000,655.000000,734.000000,229.000000,173.000000,276.000000,510.000000,253.000000,408.000000,328.000000,451.000000,142.000000,162.000000,89.000000,142.000000,111.000000,46.000000,84.000000,20.000000
2008,6410.000000,6302.000000,414.000000,351.000000,234.000000,570.000000,668.000000,719.000000,230.000000,173.000000,276.000000,514.000000,255.000000,418.000000,329.000000,453.000000,143.000000,163.000000,89.000000,142.000000,111.000000,50.000000,88.000000,20.000000
2009,6443.000000,6331.000000,422.000000,333.000000,238.000000,573.000000,670.000000,721.000000,233.000000,174.000000,276.000000,519.000000,256.000000,418.000000,338.000000,454.000000,144.000000,166.000000,89.000000,142.000000,111.000000,54.000000,92.000000,20.000000
2010,6518.000000,6403.000000,432.000000,336.000000,239.000000,573.000000,673.000000,731.000000,236.000000,176.000000,278.000000,528.000000,265.000000,418.000000,342.000000,454.000000,146.000000,168.000000,91.000000,144.000000,111.000000,62.000000,95.000000,20.000000
2011,6650.000000,6534.000000,437.000000,360.000000,239.000000,597.000000,670.000000,774.000000,236.000000,177.000000,279.000000,533.000000,270.000000,420.000000,350.000000,456.000000,147.000000,173.000000,91.000000,144.000000,114.000000,67.000000,96.000000,20.000000
2012,6692.000000,6574.000000,441.000000,355.000000,239.000000,593.000000,672.000000,792.000000,237.000000,176.000000,279.000000,542.000000,272.000000,422.000000,353.000000,457.000000,152.000000,174.000000,91.000000,144.000000,114.000000,69.000000,98.000000,20.000000
2013,6723.000000,6602.000000,442.000000,347.000000,239.000000,594.000000,675.000000,807.000000,236.000000,182.000000,279.000000,542.000000,272.000000,423.000000,355.000000,459.000000,153.000000,174.000000,91.000000,144.000000,114.000000,74.000000,101.000000,20.000000
2014,6761.000000,6636.000000,444.000000,343.000000,242.000000,598.000000,677.000000,811.000000,239.000000,186.000000,279.000000,543.000000,275.000000,429.000000,357.000000,460.000000,153.000000,175.000000,91.000000,144.000000,115.000000,75.000000,105.000000,20.000000
