年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,4212.000000,4212.000000,335.000000,213.000000,207.000000,341.000000,441.000000,453.000000,179.000000,116.000000,160.000000,247.000000,212.000000,217.000000,255.000000,301.000000,112.000000,139.000000,81.000000,121.000000,64.000000,18.000000,-,-
1999,4334.000000,4334.000000,335.000000,260.000000,285.000000,372.000000,479.000000,335.000000,141.000000,131.000000,161.000000,327.000000,212.000000,205.000000,272.000000,326.000000,105.000000,139.000000,80.000000,57.000000,94.000000,18.000000,-,-
2000,4326.000000,4326.000000,458.000000,217.000000,248.000000,319.000000,477.000000,284.000000,143.000000,119.000000,168.000000,286.000000,220.000000,207.000000,278.000000,371.000000,89.000000,139.000000,79.000000,122.000000,87.000000,15.000000,-,-
2001,4357.000000,4357.000000,475.000000,214.000000,254.000000,298.000000,477.000000,276.000000,142.000000,127.000000,157.000000,339.000000,232.000000,203.000000,285.000000,367.000000,89.000000,137.000000,79.000000,107.000000,83.000000,16.000000,-,-
2002,4243.000000,4241.000000,457.000000,119.000000,273.000000,399.000000,491.000000,263.000000,157.000000,129.000000,211.000000,232.000000,224.000000,151.000000,287.000000,361.000000,102.000000,118.000000,78.000000,83.000000,90.000000,16.000000,2.000000,-
2003,4084.000000,4079.000000,323.000000,86.000000,230.000000,415.000000,469.000000,293.000000,130.000000,130.000000,218.000000,320.000000,204.000000,123.000000,287.000000,366.000000,106.000000,115.000000,80.000000,98.000000,69.000000,17.000000,5.000000,-
2004,3898.000000,3893.000000,379.000000,79.000000,271.000000,326.000000,427.000000,233.000000,105.000000,135.000000,187.000000,287.000000,211.000000,143.000000,266.000000,376.000000,65.000000,146.000000,78.000000,88.000000,74.000000,17.000000,5.000000,-
2005,4073.000000,4068.000000,349.000000,99.000000,252.000000,336.000000,498.000000,270.000000,153.000000,129.000000,190.000000,335.000000,213.000000,142.000000,266.000000,379.000000,62.000000,130.000000,83.000000,97.000000,66.000000,19.000000,5.000000,-
2006,3998.000000,3988.000000,478.000000,136.000000,150.000000,352.000000,421.000000,278.000000,154.000000,133.000000,162.000000,336.000000,181.000000,139.000000,257.000000,382.000000,62.000000,109.000000,79.000000,78.000000,82.000000,19.000000,10.000000,-
2007,3995.000000,3985.000000,503.000000,49.000000,207.000000,343.000000,443.000000,255.000000,149.000000,137.000000,173.000000,352.000000,180.000000,148.000000,262.000000,364.000000,60.000000,109.000000,82.000000,62.000000,88.000000,19.000000,9.000000,1.000000
2008,3813.000000,3797.000000,327.000000,34.000000,214.000000,377.000000,459.000000,223.000000,148.000000,134.000000,180.000000,371.000000,181.000000,120.000000,263.000000,354.000000,60.000000,102.000000,83.000000,62.000000,86.000000,19.000000,15.000000,1.000000
2009,3980.000000,3963.000000,534.000000,83.000000,216.000000,391.000000,412.000000,247.000000,120.000000,129.000000,170.000000,295.000000,190.000000,109.000000,260.000000,361.000000,60.000000,123.000000,85.000000,64.000000,95.000000,19.000000,17.000000,-
2010,3867.000000,3852.000000,460.000000,62.000000,208.000000,382.000000,439.000000,231.000000,126.000000,134.000000,171.000000,320.000000,175.000000,131.000000,253.000000,342.000000,60.000000,90.000000,87.000000,64.000000,86.000000,31.000000,13.000000,2.000000
2011,3736.000000,3716.000000,329.000000,61.000000,222.000000,382.000000,382.000000,247.000000,139.000000,136.000000,233.000000,320.000000,183.000000,106.000000,248.000000,353.000000,60.000000,90.000000,77.000000,50.000000,63.000000,35.000000,18.000000,2.000000
2012,3930.000000,3913.000000,427.000000,55.000000,215.000000,341.000000,450.000000,259.000000,134.000000,207.000000,229.000000,328.000000,204.000000,116.000000,245.000000,330.000000,45.000000,83.000000,70.000000,63.000000,74.000000,38.000000,15.000000,2.000000
2013,3433.000000,3416.000000,246.000000,19.000000,198.000000,310.000000,428.000000,226.000000,123.000000,142.000000,233.000000,277.000000,165.000000,120.000000,233.000000,338.000000,48.000000,63.000000,65.000000,63.000000,81.000000,38.000000,15.000000,2.000000
2014,3489.000000,3475.000000,262.000000,17.000000,335.000000,311.000000,367.000000,222.000000,104.000000,151.000000,233.000000,271.000000,165.000000,119.000000,231.000000,328.000000,57.000000,70.000000,65.000000,63.000000,67.000000,37.000000,12.000000,2.000000
