年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,15082.000000,15082.000000,1322.000000,5896.000000,1682.000000,1129.000000,898.000000,1540.000000,109.000000,651.000000,198.000000,443.000000,112.000000,160.000000,147.000000,126.000000,23.000000,76.000000,4.000000,77.000000,424.000000,65.000000,-,-
1999,16328.000000,16328.000000,1346.000000,6423.000000,1743.000000,1290.000000,946.000000,1639.000000,97.000000,688.000000,198.000000,474.000000,120.000000,249.000000,152.000000,137.000000,23.000000,76.000000,4.000000,92.000000,558.000000,73.000000,-,-
2000,17077.000000,17077.000000,1289.000000,6842.000000,1743.000000,1350.000000,1022.000000,1588.000000,86.000000,800.000000,207.000000,510.000000,133.000000,268.000000,172.000000,150.000000,23.000000,71.000000,4.000000,103.000000,639.000000,77.000000,-,-
2001,17932.000000,17932.000000,1686.000000,7444.000000,1783.000000,1204.000000,1012.000000,1662.000000,83.000000,800.000000,207.000000,473.000000,123.000000,261.000000,166.000000,134.000000,25.000000,93.000000,3.000000,79.000000,602.000000,92.000000,-,-
2002,17761.000000,17761.000000,1654.000000,6889.000000,1851.000000,1263.000000,1006.000000,1639.000000,83.000000,1005.000000,246.000000,484.000000,114.000000,264.000000,172.000000,139.000000,30.000000,89.000000,3.000000,79.000000,677.000000,74.000000,-,-
2003,19003.000000,19003.000000,1667.000000,7048.000000,2466.000000,1423.000000,1118.000000,1774.000000,91.000000,834.000000,278.000000,516.000000,141.000000,272.000000,186.000000,146.000000,34.000000,78.000000,3.000000,69.000000,781.000000,78.000000,-,-
2004,20723.000000,20723.000000,2105.000000,7353.000000,2683.000000,1500.000000,1259.000000,1870.000000,90.000000,1099.000000,287.000000,533.000000,141.000000,302.000000,188.000000,152.000000,38.000000,90.000000,1.000000,61.000000,889.000000,82.000000,-,-
2005,21395.000000,21395.000000,2072.000000,7710.000000,2681.000000,1517.000000,1366.000000,1908.000000,101.000000,1167.000000,303.000000,532.000000,147.000000,334.000000,181.000000,154.000000,39.000000,96.000000,1.000000,73.000000,933.000000,80.000000,-,-
2006,21752.000000,21752.000000,2171.000000,7661.000000,2682.000000,1627.000000,1377.000000,1890.000000,101.000000,1206.000000,303.000000,542.000000,144.000000,345.000000,184.000000,153.000000,30.000000,102.000000,1.000000,71.000000,1081.000000,81.000000,-,-
2007,22503.000000,22503.000000,2193.000000,8069.000000,2688.000000,1697.000000,1433.000000,1914.000000,100.000000,1228.000000,303.000000,568.000000,150.000000,341.000000,182.000000,156.000000,25.000000,97.000000,1.000000,72.000000,1205.000000,81.000000,-,-
2008,22710.000000,22710.000000,2231.000000,8092.000000,2593.000000,1780.000000,1505.000000,1922.000000,106.000000,1196.000000,376.000000,584.000000,154.000000,335.000000,180.000000,161.000000,33.000000,94.000000,1.000000,74.000000,1206.000000,87.000000,-,-
2009,25777.000000,25777.000000,2751.000000,8803.000000,2873.000000,2210.000000,1759.000000,2192.000000,144.000000,1258.000000,446.000000,724.000000,168.000000,379.000000,253.000000,214.000000,34.000000,134.000000,3.000000,91.000000,1234.000000,107.000000,-,-
2010,27891.000000,27891.000000,3014.000000,9139.000000,3307.000000,2491.000000,1881.000000,2331.000000,163.000000,1423.000000,492.000000,806.000000,191.000000,406.000000,270.000000,230.000000,32.000000,132.000000,8.000000,101.000000,1367.000000,107.000000,-,-
2011,29450.000000,29446.000000,3205.000000,9523.000000,3505.000000,2761.000000,1837.000000,2481.000000,179.000000,1161.000000,669.000000,858.000000,203.000000,419.000000,272.000000,239.000000,34.000000,138.000000,7.000000,111.000000,1732.000000,112.000000,4.000000,-
2012,30448.000000,30444.000000,3338.000000,9817.000000,3588.000000,2904.000000,1843.000000,2578.000000,191.000000,1188.000000,686.000000,900.000000,210.000000,461.000000,297.000000,246.000000,35.000000,140.000000,7.000000,108.000000,1787.000000,120.000000,4.000000,-
2013,31217.000000,31211.000000,3468.000000,9989.000000,3621.000000,2954.000000,1859.000000,2664.000000,205.000000,1252.000000,756.000000,947.000000,222.000000,466.000000,302.000000,252.000000,41.000000,143.000000,8.000000,111.000000,1833.000000,118.000000,6.000000,-
2014,32639.000000,32633.000000,3661.000000,10495.000000,3734.000000,3066.000000,1915.000000,2781.000000,199.000000,1338.000000,803.000000,986.000000,232.000000,473.000000,329.000000,269.000000,44.000000,151.000000,10.000000,120.000000,1910.000000,117.000000,5.000000,1.000000
