年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,164354.000000,164252.000000,21317.000000,24971.000000,14526.000000,27007.000000,8601.000000,18159.000000,1679.000000,2334.000000,3295.000000,10308.000000,2750.000000,2603.000000,1426.000000,3886.000000,1145.000000,1645.000000,233.000000,2594.000000,3924.000000,1867.000000,102.000000,-
1999,148520.000000,148421.000000,17587.000000,23526.000000,13386.000000,24119.000000,7664.000000,17937.000000,1954.000000,2375.000000,3279.000000,8270.000000,2455.000000,2224.000000,1739.000000,3576.000000,1054.000000,1636.000000,257.000000,2672.000000,4229.000000,1589.000000,98.000000,1.000000
2000,144398.000000,144295.000000,17765.000000,22433.000000,12829.000000,27238.000000,7041.000000,15504.000000,1912.000000,2412.000000,4057.000000,7975.000000,2877.000000,2460.000000,1627.000000,3252.000000,798.000000,1534.000000,128.000000,2833.000000,4048.000000,1759.000000,81.000000,22.000000
2001,154811.000000,154720.000000,18057.000000,20041.000000,14628.000000,27300.000000,8989.000000,19352.000000,2550.000000,2942.000000,4337.000000,8250.000000,3516.000000,2771.000000,1721.000000,3822.000000,766.000000,1751.000000,232.000000,3044.000000,4819.000000,2167.000000,78.000000,13.000000
2002,179164.000000,179077.000000,23237.000000,21057.000000,18176.000000,30719.000000,10475.000000,23647.000000,2739.000000,3409.000000,4657.000000,8680.000000,3619.000000,3716.000000,1941.000000,5295.000000,1124.000000,1900.000000,219.000000,3648.000000,5904.000000,2416.000000,69.000000,18.000000
2003,178280.000000,178171.000000,25502.000000,20912.000000,18846.000000,28757.000000,10027.000000,23112.000000,2731.000000,3914.000000,4965.000000,8693.000000,3448.000000,3578.000000,2007.000000,4840.000000,1152.000000,1933.000000,208.000000,3779.000000,5380.000000,3053.000000,101.000000,8.000000
2004,179270.000000,179142.000000,28052.000000,22758.000000,20194.000000,27434.000000,8668.000000,21712.000000,2164.000000,4056.000000,4609.000000,9455.000000,3286.000000,3942.000000,1804.000000,4528.000000,981.000000,2583.000000,226.000000,3441.000000,4772.000000,3214.000000,116.000000,12.000000
2005,187938.000000,187801.000000,33420.000000,23458.000000,22669.000000,25883.000000,9611.000000,23014.000000,2538.000000,3703.000000,4437.000000,8416.000000,3289.000000,4379.000000,2029.000000,3457.000000,1125.000000,3064.000000,313.000000,3842.000000,4100.000000,2715.000000,125.000000,12.000000
2006,164557.000000,164437.000000,30174.000000,19706.000000,19243.000000,23699.000000,9651.000000,18984.000000,2116.000000,3484.000000,3921.000000,7176.000000,3200.000000,3475.000000,1794.000000,3439.000000,1183.000000,2757.000000,271.000000,2779.000000,3322.000000,2563.000000,117.000000,3.000000
2007,150108.000000,150004.000000,26709.000000,15419.000000,14692.000000,22137.000000,8629.000000,19121.000000,2130.000000,3746.000000,3439.000000,7930.000000,2961.000000,3869.000000,1806.000000,4118.000000,932.000000,2381.000000,312.000000,2441.000000,3595.000000,2449.000000,100.000000,4.000000
2008,133823.000000,133743.000000,25638.000000,14082.000000,13078.000000,18823.000000,7430.000000,17851.000000,1942.000000,3235.000000,2987.000000,7188.000000,2475.000000,2908.000000,1572.000000,3759.000000,616.000000,2176.000000,215.000000,1968.000000,2918.000000,1926.000000,78.000000,2.000000
2009,102224.000000,102162.000000,18752.000000,10899.000000,9596.000000,13762.000000,6695.000000,14991.000000,1459.000000,2612.000000,2810.000000,4063.000000,1754.000000,2184.000000,1104.000000,3187.000000,523.000000,1631.000000,101.000000,1434.000000,2354.000000,1322.000000,60.000000,2.000000
2010,92076.000000,91995.000000,14164.000000,8833.000000,9192.000000,11540.000000,6124.000000,15212.000000,1180.000000,2358.000000,2307.000000,5003.000000,1761.000000,1864.000000,1278.000000,3253.000000,508.000000,1721.000000,158.000000,1396.000000,2271.000000,1039.000000,70.000000,11.000000
2011,77627.000000,77545.000000,12925.000000,7559.000000,7962.000000,9373.000000,5299.000000,13440.000000,1004.000000,1921.000000,1883.000000,3241.000000,1474.000000,1391.000000,1070.000000,2489.000000,386.000000,1341.000000,151.000000,1128.000000,1752.000000,865.000000,74.000000,8.000000
2012,70369.000000,70273.000000,12504.000000,7746.000000,8079.000000,7488.000000,4868.000000,10392.000000,867.000000,1882.000000,1541.000000,2660.000000,1237.000000,1384.000000,1139.000000,2408.000000,382.000000,1061.000000,149.000000,1039.000000,1590.000000,996.000000,88.000000,8.000000
2013,60436.000000,60332.000000,11052.000000,6120.000000,6491.000000,6476.000000,4210.000000,8539.000000,942.000000,1824.000000,1424.000000,2437.000000,1293.000000,1270.000000,1004.000000,1766.000000,426.000000,1106.000000,106.000000,905.000000,1535.000000,793.000000,98.000000,6.000000
2014,59223.000000,59105.000000,10821.000000,5572.000000,6049.000000,6571.000000,4339.000000,7854.000000,1037.000000,1791.000000,1625.000000,2469.000000,1046.000000,1590.000000,1168.000000,1689.000000,448.000000,1013.000000,149.000000,1025.000000,1526.000000,808.000000,111.000000,7.000000
