年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,5.640000,5.640000,4.200000,4.720000,4.710000,4.780000,6.260000,5.410000,6.690000,6.300000,6.970000,6.190000,7.240000,7.780000,7.950000,7.600000,9.860000,8.930000,8.540000,5.970000,5.460000,5.740000,6.830000,3.320000
1999,5.730000,5.730000,4.190000,4.800000,4.670000,5.120000,6.290000,5.520000,6.800000,6.270000,6.710000,6.250000,8.680000,8.270000,7.660000,7.640000,9.330000,8.720000,8.510000,6.070000,5.480000,5.750000,7.100000,6.660000
2000,5.680000,5.680000,4.260000,4.910000,4.810000,4.710000,6.230000,5.510000,6.840000,6.220000,7.140000,6.370000,7.250000,8.110000,8.100000,7.380000,9.020000,8.450000,8.370000,6.050000,5.700000,5.730000,6.650000,5.570000
2001,5.710000,5.710000,4.200000,5.050000,4.740000,4.650000,6.310000,5.680000,6.790000,6.520000,6.950000,6.300000,7.340000,8.130000,8.180000,7.640000,9.460000,9.050000,8.340000,6.120000,5.370000,5.690000,5.900000,6.030000
2002,5.730000,5.730000,4.230000,5.130000,4.770000,4.680000,6.370000,5.780000,7.060000,6.100000,7.050000,6.140000,7.400000,8.050000,8.020000,7.660000,9.630000,8.720000,8.130000,6.330000,5.140000,5.490000,6.350000,5.220000
2003,5.800000,5.800000,4.400000,5.230000,4.800000,4.830000,6.490000,5.830000,6.690000,5.970000,6.950000,6.310000,7.380000,7.940000,7.980000,7.890000,9.440000,8.820000,8.110000,6.280000,5.160000,5.690000,5.740000,4.780000
2004,5.970000,5.970000,4.440000,5.340000,4.940000,4.960000,6.600000,6.000000,6.830000,6.310000,7.440000,6.350000,7.620000,8.600000,8.610000,8.150000,9.860000,8.890000,9.160000,6.520000,5.330000,6.130000,5.930000,5.510000
2005,6.130000,6.130000,4.560000,5.540000,5.050000,5.080000,6.960000,6.170000,6.970000,6.570000,7.600000,6.640000,7.640000,8.680000,8.730000,8.410000,10.140000,9.330000,8.160000,6.730000,5.540000,5.930000,6.240000,5.480000
2006,5.950000,5.950000,4.390000,5.340000,4.860000,5.010000,6.740000,6.110000,6.980000,6.080000,7.460000,6.520000,7.630000,8.660000,8.300000,8.020000,9.550000,8.850000,8.490000,6.360000,5.210000,5.690000,6.020000,4.470000
2007,6.160000,6.160000,4.650000,5.650000,4.940000,5.190000,6.860000,6.250000,7.180000,6.060000,7.770000,6.670000,8.070000,8.940000,8.540000,8.280000,10.090000,9.340000,8.570000,6.660000,5.550000,5.950000,5.210000,4.160000
2008,6.250000,6.250000,4.690000,5.940000,4.970000,5.290000,6.970000,6.330000,7.470000,6.560000,7.590000,6.660000,8.050000,8.940000,9.020000,8.480000,9.450000,9.260000,8.240000,6.790000,5.470000,6.070000,4.940000,4.260000
2009,6.220000,6.230000,4.660000,5.840000,4.970000,5.250000,6.930000,6.570000,7.160000,6.260000,7.630000,6.700000,8.000000,8.910000,8.680000,8.360000,9.960000,9.080000,7.980000,6.630000,5.420000,6.280000,5.280000,4.680000
2010,6.300000,6.310000,4.740000,5.890000,5.120000,5.430000,7.040000,6.490000,7.300000,6.610000,7.660000,6.820000,8.050000,8.720000,9.110000,8.440000,9.830000,9.120000,8.780000,6.900000,5.270000,6.380000,5.030000,4.830000
2011,6.590000,6.600000,5.060000,6.070000,5.420000,5.610000,7.430000,6.790000,7.590000,6.710000,8.060000,7.160000,8.730000,9.050000,9.330000,9.060000,10.150000,9.290000,9.380000,7.130000,5.600000,6.390000,5.470000,4.890000
2012,6.630000,6.640000,5.160000,6.230000,5.430000,5.610000,7.380000,6.820000,7.580000,6.510000,8.050000,7.200000,8.710000,9.380000,9.490000,8.970000,10.670000,9.430000,8.450000,7.080000,5.600000,6.260000,5.260000,3.640000
2013,6.680000,6.690000,5.260000,6.110000,5.390000,5.620000,7.450000,6.940000,7.700000,6.670000,8.270000,7.160000,8.900000,9.620000,9.650000,8.890000,10.450000,9.640000,7.890000,7.530000,5.940000,6.830000,4.650000,5.370000
2014,7.000000,7.020000,5.540000,6.380000,5.780000,5.890000,7.640000,7.300000,8.230000,6.810000,8.540000,7.550000,9.200000,10.070000,10.610000,9.530000,11.130000,9.960000,9.010000,7.670000,5.910000,7.090000,5.110000,5.110000
