年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,452572.996000,448420.828000,46562.429000,104509.019000,23736.088000,37902.973000,31843.664000,61916.080000,9159.094000,7841.219000,11251.142000,19018.036000,11515.433000,13212.047000,12137.028000,18196.990000,7021.593000,8573.284000,4301.133000,8587.561000,6265.482000,4870.522000,3340.103000,812.064000
1999,476232.088000,471785.912000,46773.313000,112612.090000,24912.114000,38842.830000,33178.634000,68206.898000,9434.142000,8264.872000,11293.840000,19764.207000,11453.584000,14164.248000,13536.432000,17166.798000,6990.939000,8876.105000,4648.123000,9238.247000,7399.916000,5028.569000,3610.739000,835.436000
2000,707003.725000,700313.552000,76302.425000,174832.167000,37600.039000,59008.932000,46948.490000,98445.675000,13516.194000,11700.475000,15418.798000,27847.252000,17151.691000,19749.573000,16694.802000,23162.332000,10185.367000,12324.407000,6345.712000,13989.474000,10580.531000,8509.207000,5444.723000,1245.449000
2001,543487.227000,538256.945000,53877.379000,112538.413000,27382.119000,59186.302000,34866.794000,70317.837000,10853.966000,9030.286000,11152.745000,22688.030000,31231.217000,15551.243000,13248.883000,18321.316000,7888.859000,10133.598000,4749.105000,10651.868000,8058.222000,6528.754000,4243.333000,986.947000
2002,527440.038000,521646.785000,53247.003000,113444.794000,28452.098000,46409.252000,35585.765000,74204.019000,10822.184000,9590.972000,11370.063000,22084.848000,14283.646000,15516.396000,13817.322000,21135.218000,9228.194000,10310.080000,4986.177000,10734.120000,9709.142000,6715.483000,4550.930000,1242.322000
2003,531561.470000,525355.053000,57724.585000,113037.006000,28409.145000,47515.534000,35891.232000,72581.592000,10680.083000,9817.406000,11590.184000,23406.424000,13409.304000,15506.989000,13672.128000,19917.544000,8731.769000,10398.245000,4964.673000,10991.370000,10226.404000,6883.427000,4965.295000,1241.121000
2004,545839.160000,539304.335000,59281.744000,108698.317000,30769.133000,49643.547000,39092.726000,72618.082000,12112.484000,10629.919000,11806.427000,24501.024000,14714.402000,16627.234000,14302.592000,21088.128000,8629.964000,10998.548000,5038.365000,11302.724000,10438.737000,7010.230000,5079.638000,1455.186000
2005,569088.192000,562259.740000,60856.937000,113020.819000,32811.407000,51304.906000,41059.499000,79856.567000,12101.743000,11056.785000,12030.526000,24895.433000,14408.219000,16869.974000,14827.815000,21254.411000,8859.487000,11557.985000,5244.576000,11869.872000,11050.044000,7322.727000,5464.272000,1364.180000
2006,573518.264000,566591.776000,60321.270000,112998.045000,33980.723000,52850.294000,41039.057000,77662.072000,12136.831000,11319.948000,12499.454000,25265.495000,14981.287000,16784.766000,14888.226000,21946.098000,9090.305000,11911.783000,5327.112000,12169.538000,11842.529000,7576.936000,5521.348000,1405.138000
2007,590685.078000,583730.047000,63749.800000,115473.163000,36104.442000,54110.111000,42028.724000,81673.566000,12551.236000,11433.452000,13039.253000,25215.751000,15026.166000,17030.652000,15305.952000,22146.439000,9328.862000,11800.115000,5539.727000,12356.027000,12079.634000,7736.964000,5385.141000,1569.889000
2008,609622.460000,602332.166000,69721.779000,116215.593000,36904.847000,56886.775000,42544.172000,84886.335000,12951.661000,11853.556000,13389.966000,26176.559000,15723.269000,17698.614000,15275.181000,22648.257000,9263.438000,11710.478000,5684.135000,12656.360000,12260.259000,7880.923000,5790.606000,1499.688000
2009,629199.473000,620123.482000,75634.926000,120568.512000,38061.841000,58656.292000,44463.278000,85796.187000,13554.780000,11991.380000,6312.436000,28886.147000,16431.410000,18550.809000,15948.639000,23872.398000,9908.621000,12092.217000,6066.933000,12759.881000,12318.161000,8248.624000,7562.108000,1513.883000
2010,656942.846000,648742.484000,80835.586000,130806.552000,39836.002000,60781.510000,46947.462000,88389.929000,14083.986000,13199.781000,6522.470000,29642.913000,16714.758000,18742.749000,15226.573000,23981.689000,10365.042000,12565.315000,6183.937000,13078.831000,12368.170000,8469.220000,6641.603000,1558.758000
2011,779149.721000,770892.009000,116403.604000,142375.084000,47552.666000,79675.172000,64237.746000,102319.758000,14528.380000,14901.075000,17583.660000,30802.571000,16690.090000,19820.517000,15609.985000,24789.728000,10571.822000,12823.625000,6150.424000,12739.243000,12708.366000,8608.482000,6535.498000,1722.213000
2012,808149.737000,799402.560000,120429.991000,148999.329000,49758.482000,81584.545000,65190.958000,105432.138000,14750.234000,15778.740000,18987.319000,31841.218000,18114.593000,20033.693000,17079.313000,25649.986000,11057.900000,13145.268000,6219.829000,13006.490000,13368.346000,8974.177000,6919.143000,1828.033000
2013,786740.081000,777639.163000,112909.787000,146971.801000,46897.036000,78235.158000,60580.031000,104498.593000,14938.277000,15507.994000,18863.827000,31625.523000,17076.909000,20429.580000,16970.692000,25501.767000,11345.239000,13207.672000,6296.711000,13145.363000,13543.004000,9094.186000,7282.713000,1818.203000
2014,803500.591000,793541.647000,115257.961000,146734.353000,49635.961000,82594.034000,59103.897000,106509.782000,15384.234000,16785.876000,18324.842000,33351.348000,17460.226000,20752.757000,17837.374000,25378.049000,11942.095000,13571.275000,6445.129000,13339.738000,13792.179000,9340.529000,8099.382000,1859.561000
