年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,3321.000000,3307.000000,286.000000,686.000000,-,70.000000,71.000000,46.000000,79.000000,43.000000,25.000000,52.000000,51.000000,55.000000,-,-,35.000000,16.000000,-,72.000000,-,-,8.000000,6.000000
1999,4468.000000,2722.000000,344.000000,1310.000000,-,90.000000,138.000000,302.000000,103.000000,44.000000,36.000000,65.000000,72.000000,59.000000,-,-,36.000000,59.000000,-,64.000000,-,-,11.000000,5.000000
2000,6605.000000,4811.000000,696.000000,1580.000000,169.000000,232.000000,216.000000,654.000000,209.000000,72.000000,82.000000,128.000000,143.000000,67.000000,39.000000,53.000000,97.000000,93.000000,-,130.000000,39.000000,112.000000,11.000000,5.000000
2001,8075.000000,6438.000000,1067.000000,1999.000000,314.000000,435.000000,374.000000,787.000000,250.000000,76.000000,82.000000,144.000000,153.000000,82.000000,53.000000,116.000000,79.000000,107.000000,-,174.000000,56.000000,90.000000,13.000000,5.000000
2002,10380.000000,8786.000000,1244.000000,2316.000000,478.000000,642.000000,699.000000,1034.000000,259.000000,131.000000,94.000000,316.000000,194.000000,166.000000,196.000000,339.000000,100.000000,122.000000,-,249.000000,61.000000,146.000000,13.000000,5.000000
2003,11355.000000,9703.000000,1449.000000,2448.000000,529.000000,668.000000,780.000000,1109.000000,282.000000,143.000000,100.000000,428.000000,198.000000,185.000000,224.000000,459.000000,104.000000,132.000000,-,283.000000,83.000000,99.000000,13.000000,5.000000
2004,12689.000000,11150.000000,1738.000000,2643.000000,687.000000,794.000000,951.000000,1238.000000,325.000000,169.000000,114.000000,486.000000,225.000000,221.000000,298.000000,468.000000,120.000000,164.000000,-,299.000000,100.000000,110.000000,31.000000,5.000000
2005,13538.000000,11950.000000,1899.000000,2670.000000,645.000000,899.000000,1049.000000,1288.000000,325.000000,177.000000,172.000000,578.000000,225.000000,264.000000,330.000000,511.000000,153.000000,173.000000,-,311.000000,118.000000,163.000000,32.000000,6.000000
2006,14919.000000,13275.000000,2277.000000,2718.000000,768.000000,1021.000000,1175.000000,1376.000000,395.000000,225.000000,172.000000,647.000000,247.000000,298.000000,365.000000,559.000000,166.000000,196.000000,8.000000,362.000000,130.000000,170.000000,30.000000,6.000000
2007,16909.000000,14612.000000,2629.000000,2736.000000,794.000000,1120.000000,1324.000000,1678.000000,504.000000,233.000000,179.000000,733.000000,225.000000,317.000000,370.000000,609.000000,217.000000,213.000000,10.000000,393.000000,128.000000,200.000000,47.000000,6.000000
2008,17633.000000,15970.000000,2855.000000,2785.000000,795.000000,1182.000000,1656.000000,1885.000000,535.000000,290.000000,251.000000,811.000000,233.000000,368.000000,406.000000,703.000000,218.000000,241.000000,11.000000,428.000000,139.000000,178.000000,45.000000,8.000000
2009,18904.000000,17193.000000,3350.000000,2808.000000,952.000000,1184.000000,1714.000000,2014.000000,650.000000,286.000000,307.000000,836.000000,218.000000,419.000000,417.000000,717.000000,239.000000,263.000000,11.000000,455.000000,154.000000,199.000000,43.000000,10.000000
2010,19664.000000,17886.000000,3361.000000,2869.000000,914.000000,1348.000000,1672.000000,2185.000000,710.000000,324.000000,307.000000,877.000000,278.000000,450.000000,384.000000,780.000000,265.000000,259.000000,14.000000,487.000000,160.000000,242.000000,56.000000,10.000000
2011,20936.000000,19161.000000,3417.000000,3012.000000,959.000000,1309.000000,1790.000000,2498.000000,780.000000,371.000000,317.000000,1034.000000,310.000000,575.000000,402.000000,769.000000,291.000000,274.000000,15.000000,561.000000,160.000000,317.000000,61.000000,13.000000
2012,21506.000000,19655.000000,3488.000000,2814.000000,991.000000,1320.000000,1899.000000,2576.000000,830.000000,390.000000,325.000000,1042.000000,317.000000,618.000000,442.000000,907.000000,299.000000,253.000000,18.000000,612.000000,165.000000,349.000000,80.000000,11.000000
2013,21996.000000,20184.000000,3588.000000,2778.000000,1032.000000,1384.000000,1882.000000,2703.000000,890.000000,409.000000,318.000000,1042.000000,329.000000,712.000000,456.000000,884.000000,308.000000,262.000000,27.000000,619.000000,176.000000,385.000000,86.000000,12.000000
2014,23572.000000,21636.000000,4001.000000,2842.000000,1100.000000,1459.000000,1899.000000,2995.000000,959.000000,434.000000,298.000000,1164.000000,392.000000,788.000000,495.000000,965.000000,315.000000,282.000000,25.000000,642.000000,189.000000,392.000000,85.000000,17.000000
