年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,2.940000,2.940000,4.040000,3.480000,-,4.370000,2.140000,10.980000,2.340000,1.930000,2.320000,3.310000,3.550000,2.890000,-,-,1.740000,1.690000,-,7.780000,-,-,6.250000,1.670000
1999,2.710000,3.110000,3.600000,2.990000,-,3.490000,2.030000,3.480000,2.150000,2.480000,2.750000,1.150000,3.000000,2.750000,-,-,1.690000,2.510000,-,8.890000,-,-,5.270000,2.000000
2000,2.690000,2.920000,3.070000,2.890000,2.400000,2.760000,3.140000,3.020000,2.030000,2.430000,2.620000,2.380000,2.820000,2.610000,3.150000,3.040000,2.800000,2.470000,-,5.710000,2.210000,3.120000,5.000000,2.000000
2001,2.550000,2.610000,2.540000,2.430000,2.180000,2.430000,2.710000,3.160000,2.040000,2.290000,2.070000,2.690000,2.900000,2.540000,3.360000,2.700000,1.510000,2.610000,-,4.740000,2.230000,3.200000,4.310000,1.800000
2002,2.380000,2.390000,2.480000,2.160000,2.150000,2.090000,2.370000,2.720000,1.990000,2.150000,2.110000,2.000000,2.700000,2.280000,2.230000,3.510000,1.950000,2.280000,-,3.750000,2.380000,2.140000,4.380000,1.600000
2003,2.410000,2.430000,2.460000,2.120000,2.120000,2.510000,2.660000,2.830000,1.940000,2.620000,2.160000,1.760000,2.940000,2.690000,2.650000,2.750000,2.310000,2.560000,-,3.390000,1.930000,2.630000,4.150000,1.400000
2004,2.380000,2.340000,2.320000,2.070000,1.860000,2.470000,2.490000,2.690000,1.860000,2.410000,2.190000,1.950000,2.580000,2.480000,2.320000,3.250000,2.060000,2.450000,-,3.280000,1.890000,2.120000,2.260000,1.400000
2005,2.390000,2.340000,2.310000,2.060000,2.130000,2.380000,2.520000,2.740000,1.950000,2.180000,2.020000,1.950000,2.590000,2.390000,2.310000,3.100000,1.940000,2.570000,-,3.440000,1.770000,2.020000,2.530000,1.170000
2006,2.310000,2.280000,2.160000,2.020000,2.090000,2.310000,2.510000,2.760000,1.920000,2.140000,2.330000,1.840000,2.510000,2.150000,2.220000,2.950000,1.750000,2.620000,1.000000,3.170000,1.860000,2.040000,3.070000,1.330000
2007,2.170000,2.210000,2.060000,2.020000,2.000000,2.250000,2.430000,2.480000,1.860000,2.480000,2.370000,1.920000,2.510000,2.200000,2.230000,2.890000,1.540000,2.450000,2.100000,2.970000,2.090000,1.980000,2.000000,1.670000
2008,2.170000,2.120000,2.030000,1.940000,2.250000,2.160000,1.970000,2.340000,2.040000,2.200000,2.130000,1.910000,2.450000,2.390000,2.050000,2.500000,1.790000,2.310000,1.910000,2.700000,1.970000,2.100000,2.110000,1.380000
2009,2.130000,2.070000,1.800000,1.950000,2.010000,2.220000,2.010000,2.370000,2.050000,2.390000,1.970000,1.970000,2.930000,2.120000,2.050000,2.480000,1.900000,2.190000,2.000000,2.700000,1.850000,1.880000,2.280000,1.000000
2010,2.110000,2.070000,1.900000,1.890000,2.120000,2.060000,2.180000,2.270000,1.970000,2.210000,2.110000,2.040000,2.400000,2.110000,2.070000,2.370000,1.890000,2.130000,2.290000,2.630000,1.810000,1.660000,2.110000,0.900000
2011,2.050000,2.000000,1.950000,1.800000,2.030000,2.140000,2.150000,2.040000,1.930000,2.000000,2.300000,1.810000,2.230000,1.840000,2.090000,2.370000,1.890000,2.180000,2.870000,2.330000,1.860000,1.740000,1.970000,0.690000
2012,1.990000,1.950000,1.890000,1.790000,1.940000,2.150000,2.040000,1.990000,1.890000,2.030000,2.210000,1.810000,2.300000,1.830000,1.950000,2.150000,1.890000,2.150000,2.330000,2.110000,1.990000,1.670000,1.990000,1.550000
2013,1.980000,1.940000,1.900000,1.770000,1.890000,2.100000,2.010000,1.940000,1.810000,2.010000,2.100000,1.830000,2.600000,1.770000,2.050000,2.210000,2.060000,2.060000,2.370000,2.090000,1.760000,1.640000,2.220000,1.250000
2014,1.960000,1.900000,1.880000,1.760000,1.880000,2.110000,2.050000,1.800000,1.750000,1.970000,2.360000,1.710000,2.220000,1.780000,1.950000,2.110000,1.990000,2.040000,2.760000,2.110000,1.650000,1.640000,2.290000,0.940000
