年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,4.394939,4.386546,4.887721,-,9.641434,5.465560,6.812940,10.457420,3.162229,5.830324,5.154768,5.402213,1.914431,3.894164,-,2.300330,7.837571,6.321804,1.185987,1.693862,4.234840,7.248225,4.123333,10.154186
1999,6.722420,6.636552,9.014582,4.078234,10.229776,4.394266,8.763694,15.188419,5.701027,2.530506,2.788282,2.077633,2.721002,2.516380,3.690534,3.885301,2.869523,4.946006,0.932952,5.790062,8.827195,4.364127,16.232327,9.051941
2000,12.024183,12.136624,9.152091,15.392821,13.136911,12.884932,11.186551,15.923423,8.670830,6.022603,10.334276,4.178084,4.942591,2.054371,1.975707,18.055036,5.827856,12.219742,7.432541,14.586106,17.232100,6.942029,-,-
2001,9.184775,9.295589,-,15.807820,14.809323,8.382285,-,12.787972,6.485739,16.344367,11.445118,12.494577,3.292388,4.655276,7.109816,2.273814,5.722211,1.576755,5.587829,15.915502,17.045303,4.190728,-,3.759555
2002,11.051610,11.184856,-,11.154797,16.397767,4.523947,22.169095,15.605064,20.872818,11.417760,8.167954,3.802604,8.493709,15.741656,15.993964,13.031198,-,11.563351,-,12.287663,17.095295,10.392427,0.317432,0.338394
2003,14.516235,14.730730,14.945154,13.208420,12.576630,10.499726,13.267816,15.719490,32.187715,24.825995,21.668378,11.716946,16.605287,21.769165,20.345969,16.059936,13.148195,22.661201,-,13.423702,9.589838,-,-,-
2004,16.143099,16.400578,17.576020,11.130925,18.083245,14.250282,19.315346,14.517191,39.326918,22.826554,19.397169,15.054944,23.211901,24.224275,26.819869,13.578254,8.073987,24.280049,-,9.114062,20.972030,6.081710,-,-
2005,13.033709,13.243789,-,-,13.684541,17.147374,20.862612,15.581966,25.452675,27.361801,30.684186,6.332580,27.695948,27.100631,29.916633,19.680776,11.249243,34.102239,-,12.430943,18.472785,7.364786,0.324372,-
2006,14.601666,14.805610,2.853072,-,25.676686,21.178368,16.651107,16.528304,19.324068,25.032913,32.294541,13.781261,24.314265,28.088933,25.838512,13.439845,16.126146,33.356967,14.403374,11.822491,32.576189,11.466166,-,-
2007,16.850344,17.076176,28.571641,-,17.419840,22.140110,15.460445,17.741706,41.704965,30.776397,25.848665,8.822457,17.706033,24.461991,19.591246,21.035617,27.080648,34.812511,2.858820,12.443994,20.165325,14.134041,-,5.127616
2008,17.030997,17.284731,35.862291,2.228772,13.708148,17.963591,14.725644,19.561548,30.120246,21.264565,25.227954,3.331062,18.417152,27.775109,29.881996,9.077968,23.393366,33.400346,-,13.514159,19.174623,8.731258,-,0.396792
2009,20.252165,20.355908,41.715512,10.526879,14.768259,20.179323,26.516193,18.548619,13.894496,27.630847,29.714084,7.225901,18.101319,28.086870,26.075000,14.935264,34.225138,16.190673,-,10.522543,21.215693,10.353975,17.237970,1.123037
2010,20.703597,21.002580,45.481941,-,18.527038,18.049060,19.245558,20.029960,35.930380,18.523830,32.762453,17.797450,16.480765,32.848486,27.070575,24.118674,20.087404,37.167367,18.331285,20.033854,19.365184,7.498626,-,3.116705
2011,19.472229,19.778783,19.888963,9.034859,17.490193,19.175431,32.152111,17.769593,63.688776,24.737861,42.205447,10.935923,18.282927,30.518469,37.140576,13.843992,33.437820,17.778117,2.024414,10.845847,16.823761,5.550080,-,1.320282
2012,21.292040,21.585915,18.764698,12.269933,16.352913,32.693086,23.410006,20.096556,51.849313,31.853210,31.322505,15.199618,24.532575,31.227995,40.264214,16.451242,31.248122,32.993912,16.006027,13.540645,18.338597,4.661299,-,0.100942
2013,24.754454,25.111964,37.740283,9.508726,17.320075,35.208422,31.251237,17.360718,64.522632,53.297702,33.278716,9.770363,23.023961,33.943164,36.673524,23.241031,22.965418,19.223445,7.398255,13.997536,24.682274,-,-,-
2014,24.222872,24.578033,37.828844,-,12.746897,37.061446,35.506408,10.881067,74.180163,64.666241,35.803408,16.988256,20.284367,51.512436,41.789645,18.370106,23.921543,28.553589,16.714368,25.034460,23.741620,0.301248,-,-
