年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,42.215435,42.167422,34.797017,45.739280,33.543766,35.424775,42.487023,41.140613,46.862241,43.922603,45.977973,41.040579,42.510561,47.948164,47.779987,46.115310,55.939820,51.313729,67.583643,48.013782,39.249881,41.082910,48.646724,53.530752
1999,42.464330,42.410935,34.063350,48.025555,34.377788,35.231681,41.647722,41.585178,46.450548,42.691532,46.961406,41.306058,42.744063,47.033381,46.245007,45.425789,55.835901,53.850296,67.546755,49.120703,38.117002,44.934986,48.464164,67.266187
2000,42.015203,41.953628,33.380651,47.327297,34.777202,35.265927,42.051536,41.238344,45.466608,41.313798,45.984101,40.441507,43.595562,46.588235,46.458033,45.413261,54.766031,50.640809,66.738817,47.692308,37.734584,45.992929,51.167445,51.867220
2001,42.399453,42.324900,34.521398,47.053589,33.438855,36.012840,43.547682,41.948290,44.928155,41.409147,44.501245,42.183808,45.234421,47.428631,48.317733,45.706705,55.160616,50.579337,66.370107,46.159541,39.645580,48.075325,53.815789,53.383459
2002,42.765304,42.694185,34.599960,47.883106,33.053300,36.752330,44.068676,43.222850,45.922451,41.149527,44.094881,42.729662,45.035047,47.511680,49.124311,45.551713,54.866088,49.633700,66.501416,45.139491,40.852329,47.678762,52.853437,59.285714
2003,45.385341,45.321880,37.868269,46.564760,37.064642,40.627189,47.820966,44.921983,50.662983,46.129173,47.124142,46.283310,48.661127,51.258466,52.893773,48.612977,60.534800,53.806792,67.022033,49.542867,45.722599,50.995487,53.545869,63.549161
2004,42.127997,42.038870,34.231557,45.497568,32.680225,36.362193,43.795332,43.367258,45.035216,40.414878,44.140430,42.952979,45.011628,47.760582,49.020808,44.727215,54.193306,48.966813,64.250354,44.320522,39.562967,47.595137,55.357143,58.762887
2005,42.285006,42.198175,34.961044,45.461264,32.857077,36.321854,43.940064,43.239231,45.361259,40.742339,44.334475,43.092332,45.502018,48.309889,48.929549,44.618027,53.881020,49.324324,64.811490,44.784739,40.367505,47.933884,54.986523,57.513915
2006,42.611179,42.516972,36.397512,45.230279,34.497464,37.403342,44.095259,43.353928,45.586148,41.160261,44.061546,42.901951,45.612366,48.157170,49.226869,44.468278,53.344768,49.587694,64.577259,44.808646,40.375407,48.037383,55.915400,59.668508
2007,42.791572,42.698748,36.694512,45.645477,34.560919,38.086130,44.071269,43.525470,45.737986,41.453297,44.426063,42.733640,45.881650,47.521404,49.449142,44.622859,53.227046,49.681529,63.956443,44.955595,39.988580,47.882823,55.482600,60.477941
2008,43.307705,43.218350,38.118824,46.094837,35.046276,38.634063,44.527175,43.747794,46.465932,42.235495,44.911925,43.287895,46.151096,47.022204,49.404158,45.262048,53.298910,50.597991,64.369501,45.475847,40.406703,47.877485,55.534229,59.147425
2009,43.952393,43.866441,39.935842,46.758327,35.321081,39.022228,45.253785,44.212072,46.905537,42.374070,45.476432,43.641039,47.104385,47.133627,49.315580,46.132753,53.730491,51.229311,64.485294,46.142806,40.836804,48.701473,55.351488,60.178571
2010,44.372300,44.286108,41.582463,46.746425,35.389019,39.412646,45.770366,44.568479,47.291341,42.367688,46.146083,44.016125,47.475355,47.646029,49.470405,46.341463,54.271642,51.475093,63.872621,46.650935,40.895353,48.663968,55.716993,60.971223
2011,44.908126,44.828195,42.138578,48.282712,35.796458,40.647406,46.743329,44.943646,47.215844,42.506659,45.683046,43.574028,47.374847,47.409326,49.098929,46.824419,54.585070,51.982956,64.076577,47.308048,40.532377,48.937908,55.047619,60.670194
2012,44.997067,44.918257,42.772918,48.044195,36.240958,41.261321,46.331077,44.968456,46.834171,42.291989,45.729716,43.702241,47.365173,47.641015,49.650971,47.174488,53.775918,51.708840,64.584920,47.591961,39.873418,48.545010,54.974490,60.854093
2013,44.887982,44.809493,41.964811,48.107160,36.769902,41.279035,46.537147,44.888187,47.145329,41.322314,45.135705,43.823736,47.039106,47.653773,49.506347,47.575000,53.768939,52.541528,64.952015,48.379004,39.081503,48.064953,54.273238,62.075134
2014,44.719229,44.633069,41.995386,47.707009,37.158715,41.441495,46.741523,44.905601,46.300399,40.357880,44.489796,43.454791,46.965099,47.224022,49.341935,47.456908,53.104762,52.474911,64.696673,47.274491,37.915030,48.525034,55.384615,61.702128
