年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,61282.000000,61235.000000,8563.000000,1974.000000,3822.000000,5471.000000,5429.000000,5296.000000,1363.000000,768.000000,1493.000000,7625.000000,1805.000000,6270.000000,2538.000000,3081.000000,496.000000,868.000000,103.000000,893.000000,780.000000,2597.000000,42.000000,5.000000
1999,73513.000000,73452.000000,11079.000000,1973.000000,4346.000000,5791.000000,6356.000000,5529.000000,1767.000000,812.000000,1692.000000,10149.000000,1623.000000,7443.000000,3846.000000,3237.000000,634.000000,1138.000000,116.000000,894.000000,948.000000,4079.000000,59.000000,2.000000
2000,72544.000000,72492.000000,10998.000000,2128.000000,4384.000000,5884.000000,5311.000000,5162.000000,1321.000000,702.000000,1478.000000,10202.000000,1856.000000,7859.000000,4013.000000,3204.000000,525.000000,985.000000,108.000000,652.000000,846.000000,4874.000000,50.000000,2.000000
2001,67308.000000,67257.000000,10153.000000,2003.000000,4087.000000,5417.000000,5570.000000,5332.000000,1191.000000,800.000000,1075.000000,8577.000000,1960.000000,7302.000000,3754.000000,2691.000000,527.000000,887.000000,91.000000,643.000000,721.000000,4476.000000,50.000000,1.000000
2002,64212.000000,64167.000000,9756.000000,2173.000000,3530.000000,5592.000000,5421.000000,5496.000000,1011.000000,747.000000,1341.000000,8038.000000,1852.000000,6339.000000,3849.000000,2614.000000,430.000000,770.000000,82.000000,492.000000,789.000000,3845.000000,41.000000,4.000000
2003,75512.000000,75464.000000,16824.000000,2379.000000,3589.000000,6083.000000,6878.000000,6030.000000,997.000000,753.000000,1498.000000,9068.000000,1806.000000,6013.000000,4358.000000,2755.000000,525.000000,729.000000,110.000000,415.000000,777.000000,3877.000000,47.000000,1.000000
2004,80604.000000,80556.000000,19251.000000,2354.000000,3651.000000,7371.000000,7823.000000,5967.000000,1004.000000,700.000000,1457.000000,10138.000000,1858.000000,5993.000000,4305.000000,2735.000000,532.000000,618.000000,70.000000,542.000000,843.000000,3344.000000,47.000000,1.000000
2005,84108.000000,84038.000000,18534.000000,2612.000000,3353.000000,8742.000000,8275.000000,6082.000000,1072.000000,838.000000,1524.000000,11866.000000,1801.000000,5908.000000,4350.000000,2741.000000,501.000000,668.000000,103.000000,540.000000,978.000000,3550.000000,68.000000,2.000000
2006,85799.000000,85736.000000,17903.000000,2850.000000,3921.000000,9622.000000,8250.000000,6209.000000,1172.000000,724.000000,1542.000000,12250.000000,1688.000000,6183.000000,4238.000000,2934.000000,510.000000,756.000000,103.000000,523.000000,937.000000,3421.000000,59.000000,4.000000
2007,86148.000000,86083.000000,18644.000000,3175.000000,4298.000000,11127.000000,7609.000000,6131.000000,1060.000000,728.000000,1025.000000,12088.000000,1663.000000,5482.000000,4051.000000,3029.000000,504.000000,667.000000,62.000000,574.000000,822.000000,3344.000000,60.000000,5.000000
2008,91895.000000,91832.000000,21199.000000,3318.000000,4978.000000,13014.000000,8101.000000,6719.000000,1096.000000,722.000000,967.000000,12291.000000,1688.000000,5602.000000,3769.000000,3343.000000,536.000000,706.000000,67.000000,540.000000,815.000000,2361.000000,60.000000,3.000000
2009,95605.000000,95558.000000,23360.000000,3722.000000,5101.000000,15433.000000,7487.000000,7225.000000,982.000000,764.000000,944.000000,12474.000000,1729.000000,4887.000000,3763.000000,3260.000000,538.000000,692.000000,91.000000,463.000000,852.000000,1791.000000,44.000000,3.000000
2010,103222.000000,103142.000000,25506.000000,4260.000000,6068.000000,16958.000000,8013.000000,7683.000000,1139.000000,859.000000,1003.000000,12923.000000,1799.000000,5340.000000,3414.000000,3605.000000,503.000000,781.000000,131.000000,529.000000,1141.000000,1487.000000,79.000000,1.000000
2011,107414.000000,107329.000000,24054.000000,4591.000000,6765.000000,18758.000000,8281.000000,7587.000000,1088.000000,961.000000,1081.000000,14062.000000,1964.000000,6058.000000,3336.000000,4005.000000,503.000000,1046.000000,124.000000,544.000000,1133.000000,1388.000000,85.000000,-
2012,108884.000000,108801.000000,23275.000000,4832.000000,6771.000000,19557.000000,8650.000000,8171.000000,1129.000000,1000.000000,1100.000000,13458.000000,2104.000000,6226.000000,3179.000000,4518.000000,554.000000,1112.000000,110.000000,543.000000,1072.000000,1440.000000,79.000000,4.000000
2013,108060.000000,107964.000000,21669.000000,4869.000000,7157.000000,19589.000000,8317.000000,8035.000000,1274.000000,1025.000000,1146.000000,13329.000000,2051.000000,6613.000000,3120.000000,4534.000000,561.000000,1237.000000,87.000000,569.000000,1021.000000,1761.000000,93.000000,3.000000
2014,108199.000000,108112.000000,18571.000000,5146.000000,7517.000000,20543.000000,8326.000000,8689.000000,1228.000000,1017.000000,1122.000000,13642.000000,2126.000000,6822.000000,3001.000000,4964.000000,554.000000,1308.000000,99.000000,593.000000,990.000000,1854.000000,80.000000,7.000000
