年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,6538596.000000,161513.000000,8761.000000,203055.000000,217275.000000,841891.000000,714602.000000,87226.000000,96681.000000,128585.000000,741072.000000,127084.000000,1206682.000000,381720.000000,1407388.000000,74357.000000,104757.000000,15610.000000,3785.000000,13496.000000,3056.000000,-,-
1999,-,7243194.000000,167131.000000,6978.000000,209893.000000,221467.000000,966980.000000,762274.000000,85768.000000,102437.000000,118165.000000,829387.000000,132701.000000,1376336.000000,416530.000000,1635212.000000,71288.000000,106937.000000,15716.000000,3247.000000,11461.000000,3286.000000,-,-
2000,-,7494954.000000,160969.000000,6072.000000,207785.000000,215325.000000,1011015.000000,776169.000000,88355.000000,105281.000000,119089.000000,867984.000000,133955.000000,1418284.000000,424414.000000,1742889.000000,74525.000000,108496.000000,16067.000000,2900.000000,11120.000000,4260.000000,-,-
2001,-,7164605.000000,142274.000000,5004.000000,196874.000000,204691.000000,942599.000000,573212.000000,92552.000000,90398.000000,123077.000000,885728.000000,140993.000000,1475053.000000,413265.000000,1658102.000000,79498.000000,108002.000000,17709.000000,1030.000000,8992.000000,5552.000000,-,-
2002,-,6793941.000000,134897.000000,4742.000000,189416.000000,189550.000000,858560.000000,517572.000000,83268.000000,84967.000000,110541.000000,856476.000000,131173.000000,1425306.000000,387412.000000,1609596.000000,75681.000000,103183.000000,15461.000000,979.000000,9395.000000,5766.000000,-,-
2003,-,6778799.000000,135792.000000,5138.000000,194156.000000,183343.000000,840464.000000,483874.000000,84236.000000,89955.000000,106030.000000,847233.000000,134593.000000,1419658.000000,396337.000000,1648118.000000,75700.000000,102158.000000,14823.000000,557.000000,10573.000000,6061.000000,-,-
2004,-,6818970.000000,130203.000000,4578.000000,191121.000000,206858.000000,835913.000000,467399.000000,83896.000000,92800.000000,101581.000000,878616.000000,134595.000000,1436867.000000,405255.000000,1640838.000000,74268.000000,100717.000000,14138.000000,697.000000,12981.000000,5649.000000,21360.000000,390.000000
2005,7194768.000000,7171536.000000,135468.000000,4005.000000,208311.000000,205630.000000,857714.000000,481158.000000,83390.000000,104078.000000,108232.000000,929454.000000,132516.000000,1519346.000000,411303.000000,1783066.000000,72900.000000,100035.000000,14308.000000,673.000000,14821.000000,5128.000000,22795.000000,437.000000
2006,7091822.000000,7068621.000000,127851.000000,4297.000000,208732.000000,202065.000000,820311.000000,464593.000000,82091.000000,101580.000000,98398.000000,939476.000000,134060.000000,1536397.000000,427459.000000,1720749.000000,68680.000000,98823.000000,13483.000000,623.000000,15105.000000,3848.000000,22833.000000,368.000000
2007,6640047.000000,6620790.000000,125425.000000,4027.000000,193521.000000,192552.000000,781416.000000,421023.000000,76625.000000,96379.000000,85980.000000,875118.000000,109814.000000,1467407.000000,405616.000000,1602012.000000,63199.000000,91833.000000,11635.000000,755.000000,11949.000000,4504.000000,18858.000000,399.000000
2008,6443311.000000,6427597.000000,121108.000000,3900.000000,187017.000000,180648.000000,711940.000000,414615.000000,73844.000000,90961.000000,77884.000000,874869.000000,100133.000000,1450344.000000,400512.000000,1568194.000000,61062.000000,86656.000000,8516.000000,742.000000,9957.000000,4695.000000,15266.000000,448.000000
2009,6145950.000000,6130003.000000,118809.000000,3092.000000,181038.000000,176200.000000,668252.000000,392337.000000,65249.000000,86166.000000,75332.000000,849911.000000,101825.000000,1438827.000000,399024.000000,1408826.000000,60229.000000,85137.000000,4241.000000,805.000000,9622.000000,5081.000000,15658.000000,289.000000
2010,6185952.000000,6169832.000000,113323.000000,2141.000000,173955.000000,175544.000000,676121.000000,387130.000000,62143.000000,82619.000000,70920.000000,847765.000000,102804.000000,1452346.000000,406717.000000,1455623.000000,60030.000000,82963.000000,4535.000000,692.000000,7908.000000,4553.000000,15698.000000,422.000000
2011,6265546.000000,6247946.000000,108201.000000,2033.000000,170385.000000,177141.000000,667276.000000,382359.000000,58351.000000,84200.000000,77118.000000,838822.000000,110861.000000,1488795.000000,424307.000000,1500948.000000,59962.000000,79892.000000,3251.000000,691.000000,9520.000000,3833.000000,17174.000000,426.000000
2012,6004717.000000,5987583.000000,98741.000000,2083.000000,175749.000000,163992.000000,639599.000000,361608.000000,60598.000000,78524.000000,71951.000000,818149.000000,93369.000000,1398101.000000,406088.000000,1458778.000000,58694.000000,81012.000000,3248.000000,679.000000,13467.000000,3153.000000,16724.000000,410.000000
2013,5806237.000000,5792308.000000,91598.000000,1941.000000,169273.000000,157575.000000,603650.000000,334719.000000,58251.000000,73475.000000,66324.000000,785488.000000,82911.000000,1411043.000000,408896.000000,1399380.000000,55035.000000,72939.000000,2508.000000,741.000000,14106.000000,2455.000000,13575.000000,354.000000
2014,5545010.000000,5532782.000000,86513.000000,1570.000000,156135.000000,133796.000000,572347.000000,321895.000000,55157.000000,70401.000000,64552.000000,775727.000000,71753.000000,1412500.000000,388566.000000,1278361.000000,53920.000000,72185.000000,2109.000000,647.000000,12019.000000,2629.000000,11855.000000,373.000000
