年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,163.411687,163.883750,137.611113,187.049260,408.885078,130.536886,162.369701,91.033416,107.893242,555.066079,148.133419,159.607425,68.801663,-,44.026243,108.097917,160.764719,208.048447,77.519380,11.627907,235.207644,66.627008,-,-
2000,148.664537,112.216390,129.167986,159.004966,139.343496,106.680213,126.377025,69.425227,120.464010,244.565217,196.269345,113.543224,46.160112,-,36.606536,95.920999,18.381053,231.326788,95.799558,64.713284,233.804189,35.185635,-,-
2001,154.134022,116.991992,132.808657,168.133131,134.671550,113.842102,140.854068,87.985506,155.995343,217.079664,174.022944,100.278802,45.724172,-,35.266167,103.092784,27.927642,203.542030,116.306670,133.768080,179.818436,81.165221,-,-
2002,151.708358,116.039744,152.939241,155.589363,129.466926,88.251993,174.875038,89.980984,132.904250,181.676616,189.469046,100.599644,51.655580,-,29.248864,71.671255,48.045162,201.982420,108.648414,102.093660,251.560945,76.969212,-,-
2003,168.867519,127.895407,163.845006,162.833280,163.533577,111.058657,199.062709,103.725701,166.216792,176.406988,189.114581,90.748119,47.701648,2.999850,55.143680,83.866312,68.368528,178.401316,132.235529,140.553948,287.160760,92.501637,-,-
2004,171.472149,130.708766,153.035198,177.657224,152.815350,108.393831,207.114537,101.473738,163.132862,167.111949,193.583218,105.890139,41.206920,6.383066,58.137819,67.930153,49.270990,164.808134,101.067887,113.085622,457.915058,125.088715,-,-
2005,169.573024,129.557857,136.584415,186.841088,144.845592,128.809197,207.522353,92.810040,140.343699,161.923924,218.560986,114.100283,53.057524,8.191685,69.116461,61.723048,55.344547,168.432160,133.138793,128.126155,264.198703,118.282335,-,-
2006,166.867989,128.090710,138.334686,184.621681,151.451865,138.020272,186.704736,91.233495,138.694724,192.456160,176.096585,111.863164,56.794346,8.869933,74.808822,86.229197,57.570524,154.961451,125.967249,108.906811,202.243761,122.132365,37.886761,-
2007,166.562169,129.338909,138.024442,183.202246,155.343495,125.387433,196.298577,97.342805,128.798972,195.659323,168.306847,114.214447,59.884014,8.044908,75.497226,89.691764,51.686332,161.717820,109.584276,133.629023,241.154095,131.220995,49.362402,-
2008,167.761403,131.726647,138.387485,189.033857,156.662013,120.120415,207.221899,95.567750,136.637603,184.282424,164.045553,119.683182,78.745040,23.401473,75.320513,94.884574,45.713724,174.237237,103.882834,132.272228,223.544782,139.429818,67.326733,-
2009,167.290185,132.037727,126.993927,193.176673,161.423253,120.775013,208.118874,91.754303,150.044898,187.091213,163.084745,117.864287,93.404441,20.858961,76.999895,92.570184,55.975646,171.560292,48.268975,122.683235,254.907499,160.275614,149.767254,-
2010,172.796813,137.666175,124.184925,193.260308,173.940414,120.564423,211.234480,95.348599,181.552452,189.929766,159.987175,131.073192,100.472987,33.969779,82.994174,100.362929,71.676081,178.852201,49.083770,124.564281,268.401789,161.975960,163.681879,-
2011,172.867845,139.119964,133.314142,182.730511,176.547916,121.219243,211.194038,98.248088,188.391039,192.979054,159.487115,132.345818,106.555949,35.945219,80.870999,100.764280,88.811661,169.819349,48.223758,117.000000,260.990835,172.585227,172.727273,-
2012,170.842886,137.838784,125.268835,181.930756,168.339348,118.570059,203.539159,98.057818,212.197565,198.557692,162.926334,132.319557,112.103029,39.056938,86.808686,105.726177,96.466760,161.488372,61.660079,93.759302,245.483464,163.293789,179.849514,-
2013,173.022621,137.267783,126.057270,178.280102,183.656055,114.912464,202.762331,100.401606,195.570440,178.003268,158.661696,128.355974,116.155660,42.774520,90.386196,110.521399,94.213402,166.392533,54.962312,113.586291,198.958721,163.775156,171.174255,-
2014,166.132803,131.299778,108.834423,181.973085,171.874609,113.073177,201.252663,87.199291,184.817233,202.620559,151.340181,118.255728,112.733645,44.289465,94.603974,111.813802,89.245872,162.483790,36.243303,96.149200,179.128202,167.616954,172.087420,-
