年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,48.389420,29.820317,79.201223,51.951699,76.418790,44.683322,25.875264,42.315891,61.269273,65.923638,46.036938,79.523222,52.278669,51.067357,36.864955,74.536515,73.125446,2.857737,1.304219,12.180858,81.430739,-,-
1999,-,48.439515,27.011499,68.628995,49.698703,73.977063,46.261684,29.331770,34.926423,60.196709,65.596875,48.628298,79.178885,51.472180,53.601201,32.516627,74.466328,75.756974,2.624650,1.179818,12.604128,80.616200,-,-
2000,-,50.749440,27.779725,81.476102,49.608607,77.737217,48.822025,30.786136,39.653649,59.853607,71.042853,50.764946,83.078199,53.421699,54.656576,37.111972,73.568019,75.436914,2.421545,1.398437,9.719557,80.602865,-,-
2001,-,51.163776,30.775032,75.992008,53.762354,78.888026,50.011268,33.938096,39.970554,61.290739,69.629883,50.805370,83.756398,48.756098,54.406349,38.305793,73.254217,77.321372,1.543667,1.352753,8.860693,81.476751,-,-
2002,-,48.630550,23.931104,60.696867,44.857730,78.358488,47.007323,33.136547,37.327460,53.246040,66.733897,48.019312,81.010613,48.913046,51.221924,35.812443,75.063436,75.110571,1.723744,1.657870,7.537859,80.885094,-,-
2003,-,46.071699,23.506943,82.180182,38.835078,79.335968,44.438071,31.512044,33.845834,46.402321,64.049590,43.808342,81.663004,47.533857,50.026767,31.902709,70.958357,71.837029,1.490130,1.435244,6.694541,81.216700,-,-
2004,-,46.782086,21.533015,82.122051,39.683773,78.808916,45.016788,34.438523,37.470819,49.469331,64.814862,44.283811,82.119392,48.338331,47.617638,31.606655,75.036802,72.352575,2.141044,1.540593,5.589143,78.814166,-,-
2005,-,46.961734,30.793082,84.416357,43.237216,79.406059,43.314167,36.841215,39.387928,49.883943,61.844632,43.508402,81.335949,48.123556,47.086951,32.399479,73.632879,69.266953,2.474168,2.404111,8.044224,78.636172,-,-
2006,-,50.004999,41.261974,90.092517,47.732689,83.015903,48.619233,37.535434,41.920709,53.060765,69.768082,46.931322,83.759478,50.118568,49.077780,34.082391,74.871156,71.063181,2.560041,1.919421,13.343223,84.144921,-,-
2007,-,47.729912,44.314623,86.789776,43.957375,81.318837,47.237385,33.237135,40.809076,52.027956,67.203583,42.929188,82.506689,46.235227,46.522569,33.031558,75.574809,63.979307,2.977329,2.305224,17.398587,82.462152,-,-
2008,-,46.375174,45.857930,86.420892,40.390822,79.429188,45.772464,32.326524,36.032124,50.373085,69.938401,40.924780,82.115120,43.908723,48.615008,30.225210,74.308939,67.547791,5.030252,1.590740,16.566262,80.757368,-,-
2009,-,47.467004,45.279107,85.097377,43.801694,80.159772,45.752620,35.259767,33.940899,52.008012,71.045614,40.772669,83.560618,45.285940,50.509830,29.126065,78.403432,65.811153,4.011967,1.314616,21.953042,81.693857,-,-
2010,48.034910,48.059348,46.607492,81.280363,43.515438,81.273302,42.866457,35.551215,39.444396,52.273393,74.163794,41.911065,83.726227,43.734968,48.585498,33.227448,78.936553,66.513954,4.383390,0.475959,21.421287,80.084813,43.286548,-
2011,47.705719,47.737695,41.334165,79.681480,45.266861,82.145070,45.125116,33.827545,41.320405,53.071876,74.939746,42.067319,82.229616,44.198480,50.551162,31.736864,78.563890,67.129178,5.767874,0.320641,20.460407,81.586218,36.379639,-
2012,50.742985,50.767401,40.504660,87.985111,47.686021,84.199170,47.457871,35.317067,44.433439,56.657675,75.252144,46.197452,83.463168,52.320217,52.546888,32.346290,79.667462,67.793501,8.141403,0.351859,18.389280,83.974723,43.686252,-
2013,51.169602,51.202579,39.172625,87.718448,48.137216,83.890522,49.086925,37.810673,48.724559,53.834393,74.242752,45.792758,85.066427,50.705310,50.862054,36.336720,79.760146,70.634993,6.495327,0.319959,18.463076,87.541657,35.610829,-
2014,50.325605,50.357277,39.756993,87.173211,48.676757,84.000159,46.889455,36.837145,47.381039,54.529711,76.045137,43.670802,84.546366,49.623908,50.260124,34.537868,78.306263,72.549379,7.404127,0.278762,16.252067,87.902044,38.395562,-
