年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,25.213488,74.191693,-,1.363132,80.349063,5.962427,5.407434,90.803769,-,-,-,-,0.494586,3.320214,30.283245,43.916973,19.078388,75.903475,39.479217,79.623760,-,-,-
1999,-,23.667216,72.926261,-,0.903854,74.019608,5.582886,3.706124,91.593162,-,0.156986,-,-,0.297022,4.000652,24.711822,48.380657,28.196248,75.755902,35.625195,76.541988,-,-,-
2000,-,20.582250,53.021433,-,1.451015,81.575871,5.874330,5.923571,86.394421,-,-,-,-,0.334973,3.996211,21.499884,44.677935,41.387097,72.567536,31.117251,80.193726,-,-,-
2001,20.026558,19.960473,66.093348,-,1.055087,78.155749,5.149715,4.366501,81.838787,0.526662,0.269542,-,-,0.228183,2.579463,11.256367,47.040464,50.199645,66.005946,32.685409,78.805538,-,37.403740,59.762675
2002,21.811651,21.747087,70.498460,-,0.938223,73.503675,4.096832,4.399886,85.653320,-,-,-,-,0.220148,2.919944,10.071556,57.199659,31.048825,60.445877,36.607972,75.591679,-,34.846266,69.461698
2003,20.438016,20.384625,54.037982,-,0.622517,75.163807,3.306551,3.835437,82.632756,-,-,-,-,0.231788,3.021625,9.051606,72.615053,17.367647,54.682036,36.458280,67.725049,-,39.719626,67.870486
2004,23.919908,23.853442,59.496936,-,1.522698,78.884733,3.356282,5.741790,87.065531,-,0.161551,-,-,0.294844,2.387947,9.741257,67.045967,24.041689,61.867368,36.523569,70.066890,-,51.041667,69.576060
2005,24.489587,24.416269,72.063385,-,1.260676,79.279571,3.850889,4.401629,85.411795,-,0.411506,-,-,0.185695,2.453324,10.744110,55.201531,17.166398,62.997459,37.236278,66.021673,-,59.032717,78.208955
2006,18.764984,18.690659,66.894462,-,1.250608,88.225691,3.319884,3.103952,84.622813,-,0.915497,-,-,0.139300,2.036030,11.341905,51.123878,5.021627,56.225522,37.618869,41.630995,-,59.663270,74.500771
2007,13.885181,13.819800,57.681563,-,-,99.263943,2.687839,2.151654,76.577028,-,1.357437,-,-,0.262180,1.915727,10.275880,56.636148,1.108424,55.366250,37.569435,28.569053,-,46.253602,79.113924
2008,14.684782,14.622831,50.796462,-,3.836674,99.400160,1.606070,2.374183,79.983470,-,0.768473,-,-,0.224485,1.711200,10.497611,44.671907,2.747811,59.665767,38.171248,28.013673,-,43.880188,76.034315
2009,20.746776,20.681125,50.186225,-,11.863265,99.463886,1.650919,3.338302,84.790994,-,0.962084,-,-,0.092508,2.065746,11.252084,51.681004,1.881227,58.730923,43.514595,31.951990,-,34.099605,75.478133
2010,0.216186,0.215659,48.383946,-,-,96.706294,1.409447,3.001103,85.224939,-,1.090706,-,-,0.416919,1.443235,11.823889,47.663493,-,52.825931,25.310032,40.876728,-,38.977002,75.371909
2011,20.208347,20.143184,83.966956,-,10.768744,97.978354,2.149883,4.929881,82.953952,-,1.264570,-,-,0.450519,1.452797,11.490780,46.017478,-,54.348439,54.605962,42.356216,-,42.557971,76.805030
2012,17.856102,17.802630,80.659069,-,6.712833,98.975108,5.502625,4.197882,76.377153,-,0.817890,-,-,0.455347,1.399920,10.817880,47.771993,-,57.929130,56.379216,39.060813,-,37.013555,72.968913
2013,15.138658,15.099847,84.267053,-,16.979116,96.449814,0.733604,4.910237,74.869751,-,1.150501,-,-,0.471231,1.311519,10.990319,54.543460,1.995216,43.229725,52.723246,40.332120,-,29.934628,64.106812
2014,15.361459,15.365275,97.315406,-,20.673749,98.325946,0.739162,3.574750,70.271005,-,1.483709,-,-,0.480802,1.767716,10.835350,59.874257,1.789345,49.510971,58.947248,40.524063,-,35.076965,-
