年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,5742.000000,-,-,-,6.000000,26.000000,3307.000000,437.000000,-,-,4.000000,-,-,2.000000,549.000000,289.000000,-,196.000000,926.000000,-,-,-,-
1999,-,6043.000000,63.000000,-,-,-,18.000000,3769.000000,415.000000,-,-,6.000000,-,-,-,391.000000,276.000000,2.000000,193.000000,910.000000,-,-,-,-
2000,-,7689.000000,-,-,-,3.000000,16.000000,5652.000000,385.000000,-,-,1.000000,-,-,-,281.000000,246.000000,3.000000,185.000000,917.000000,-,-,-,-
2001,7291.000000,7291.000000,-,-,-,3.000000,13.000000,5499.000000,385.000000,-,-,1.000000,-,-,-,216.000000,93.000000,3.000000,178.000000,900.000000,-,-,-,-
2002,7141.000000,7141.000000,-,-,-,3.000000,13.000000,5541.000000,416.000000,-,-,1.000000,-,-,-,231.000000,-,-,154.000000,782.000000,-,-,-,-
2003,5477.000000,5477.000000,-,-,-,3.000000,14.000000,4169.000000,430.000000,-,-,1.000000,-,-,-,238.000000,-,-,135.000000,487.000000,-,-,-,-
2004,5568.000000,5568.000000,-,-,-,3.000000,13.000000,4209.000000,438.000000,-,-,1.000000,-,-,-,260.000000,68.000000,-,137.000000,439.000000,-,-,-,-
2005,5767.000000,5767.000000,-,-,-,-,12.000000,3991.000000,414.000000,-,-,1.000000,-,-,-,746.000000,49.000000,-,137.000000,417.000000,-,-,-,-
2006,5898.000000,5898.000000,-,-,-,-,48.000000,3997.000000,388.000000,-,-,-,-,-,-,837.000000,54.000000,-,156.000000,418.000000,-,-,-,-
2007,5896.000000,5896.000000,-,-,-,10.000000,46.000000,4007.000000,441.000000,-,-,-,-,-,-,811.000000,43.000000,-,168.000000,370.000000,-,-,-,-
2008,5498.000000,5498.000000,1.000000,-,-,10.000000,7.000000,3913.000000,315.000000,-,-,-,-,-,-,806.000000,58.000000,-,164.000000,224.000000,-,-,-,-
2009,5367.000000,5367.000000,1.000000,-,-,10.000000,7.000000,3866.000000,132.000000,-,-,-,-,-,-,825.000000,133.000000,-,164.000000,229.000000,-,-,-,-
2010,5255.000000,5255.000000,-,-,-,10.000000,8.000000,3875.000000,114.000000,-,-,-,-,-,-,819.000000,143.000000,-,42.000000,244.000000,-,-,-,-
2011,5134.000000,5134.000000,1.000000,-,-,10.000000,6.000000,3837.000000,85.000000,-,-,-,-,-,-,762.000000,148.000000,-,27.000000,258.000000,-,-,-,-
2012,6037.000000,6037.000000,1.000000,-,-,-,6.000000,4758.000000,77.000000,-,-,-,-,-,-,757.000000,142.000000,-,21.000000,275.000000,-,-,-,-
2013,5850.000000,5850.000000,-,-,-,-,6.000000,4663.000000,75.000000,-,-,-,-,-,-,782.000000,8.000000,-,16.000000,300.000000,-,-,-,-
2014,5998.000000,5924.000000,1.000000,-,-,-,4.000000,4623.000000,75.000000,-,-,-,-,-,-,782.000000,114.000000,-,15.000000,310.000000,-,-,74.000000,-
