年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,71532.000000,71532.000000,7088.000000,10838.000000,5395.000000,8278.000000,6309.000000,9978.000000,368.000000,702.000000,1569.000000,-,4239.000000,1872.000000,-,3746.000000,996.000000,2163.000000,-,3384.000000,1738.000000,2869.000000,-,-
1999,78680.000000,78665.000000,7021.000000,12485.000000,5892.000000,9772.000000,7222.000000,10454.000000,1461.000000,788.000000,1552.000000,-,4213.000000,1872.000000,-,3746.000000,996.000000,2204.000000,150.000000,4022.000000,1900.000000,2915.000000,15.000000,-
2000,83901.000000,83829.000000,7000.000000,13246.000000,6699.000000,9589.000000,7510.000000,12319.000000,1775.000000,788.000000,1552.000000,-,4920.000000,2776.000000,-,3887.000000,1008.000000,2019.000000,327.000000,3737.000000,1900.000000,2777.000000,72.000000,-
2001,90597.000000,90574.000000,8097.000000,13817.000000,6867.000000,10247.000000,8408.000000,12453.000000,1890.000000,878.000000,1633.000000,-,5235.000000,2965.000000,-,4417.000000,1110.000000,2382.000000,432.000000,3700.000000,2268.000000,3775.000000,23.000000,-
2002,95521.000000,95474.000000,8904.000000,14191.000000,7247.000000,10878.000000,9260.000000,13530.000000,2055.000000,996.000000,1732.000000,-,5531.000000,3178.000000,-,4624.000000,1149.000000,2388.000000,478.000000,3231.000000,2500.000000,3602.000000,47.000000,-
2003,101294.000000,101242.000000,9644.000000,15335.000000,7529.000000,11864.000000,9886.000000,13856.000000,2129.000000,1136.000000,1627.000000,-,5952.000000,3258.000000,-,5067.000000,1215.000000,2348.000000,672.000000,3292.000000,2604.000000,3828.000000,52.000000,-
2004,106530.000000,106484.000000,9478.000000,16636.000000,7697.000000,12659.000000,10495.000000,14388.000000,2205.000000,1403.000000,1586.000000,-,6149.000000,3834.000000,-,5645.000000,1330.000000,2638.000000,541.000000,3442.000000,2612.000000,3746.000000,46.000000,-
2005,114142.000000,114085.000000,10682.000000,16921.000000,8095.000000,13709.000000,11628.000000,15005.000000,2281.000000,1501.000000,1594.000000,-,6853.000000,4223.000000,-,6018.000000,1428.000000,2754.000000,464.000000,3821.000000,3143.000000,3965.000000,57.000000,-
2006,117044.000000,116983.000000,10792.000000,18140.000000,8098.000000,14074.000000,11919.000000,14928.000000,2558.000000,1446.000000,1330.000000,-,7311.000000,4499.000000,-,6566.000000,1424.000000,2704.000000,477.000000,3598.000000,3172.000000,3947.000000,61.000000,-
2007,123217.000000,123162.000000,11757.000000,18699.000000,8415.000000,14901.000000,12193.000000,15642.000000,2900.000000,1531.000000,1325.000000,-,7852.000000,4548.000000,-,6834.000000,1505.000000,2819.000000,606.000000,3645.000000,3761.000000,4229.000000,55.000000,-
2008,126442.000000,126399.000000,11825.000000,19330.000000,8855.000000,15192.000000,12787.000000,15863.000000,2986.000000,1706.000000,1259.000000,-,8255.000000,4879.000000,-,6962.000000,1430.000000,2786.000000,472.000000,3671.000000,3735.000000,4406.000000,43.000000,-
2009,129363.000000,129298.000000,12501.000000,18723.000000,9012.000000,16436.000000,13203.000000,16895.000000,2566.000000,1773.000000,1254.000000,-,8290.000000,4813.000000,-,6962.000000,1574.000000,2833.000000,472.000000,3629.000000,4061.000000,4301.000000,65.000000,-
2010,130886.000000,130807.000000,12815.000000,18882.000000,9553.000000,15848.000000,13909.000000,16310.000000,2653.000000,1781.000000,1293.000000,-,8450.000000,4854.000000,-,7039.000000,1632.000000,2886.000000,635.000000,3566.000000,4326.000000,4375.000000,79.000000,-
2011,139125.000000,139042.000000,13368.000000,20611.000000,10215.000000,17023.000000,14855.000000,17396.000000,2758.000000,2336.000000,2074.000000,-,8983.000000,5148.000000,-,7036.000000,1754.000000,2983.000000,591.000000,3559.000000,4117.000000,4235.000000,83.000000,-
2012,142030.000000,141924.000000,14049.000000,21113.000000,10582.000000,17592.000000,14487.000000,17789.000000,2807.000000,2148.000000,1608.000000,-,8960.000000,5174.000000,-,7238.000000,1677.000000,3085.000000,525.000000,3544.000000,4505.000000,5041.000000,106.000000,-
2013,145820.000000,145713.000000,14002.000000,21269.000000,10610.000000,17963.000000,14462.000000,18367.000000,2950.000000,2388.000000,1697.000000,-,8979.000000,5461.000000,-,7199.000000,1787.000000,3164.000000,479.000000,3761.000000,5693.000000,5482.000000,107.000000,-
2014,152963.000000,152848.000000,14921.000000,21457.000000,11679.000000,19107.000000,14852.000000,19351.000000,3240.000000,2315.000000,2161.000000,-,9598.000000,5734.000000,-,7642.000000,1971.000000,3248.000000,590.000000,3729.000000,5126.000000,6127.000000,111.000000,4.000000
