年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,154.840000,154.780000,11.010000,1.400000,10.650000,12.470000,16.430000,30.980000,0.200000,4.760000,1.220000,13.130000,1.850000,3.050000,22.630000,2.210000,3.590000,16.000000,0.650000,-,2.110000,0.440000,0.060000,-
2002,144.810000,144.810000,6.380000,-,11.860000,26.630000,16.430000,31.600000,2.460000,4.760000,1.220000,12.590000,1.850000,2.570000,14.730000,2.360000,3.570000,2.000000,0.650000,0.150000,2.560000,0.440000,-,-
2003,180.340000,180.340000,8.980000,1.500000,14.920000,34.800000,18.060000,31.910000,2.730000,16.970000,1.220000,20.160000,1.720000,2.300000,13.210000,1.520000,3.570000,2.000000,1.620000,0.150000,2.560000,0.440000,-,-
2004,181.670000,181.670000,7.500000,1.500000,15.220000,36.830000,17.620000,32.320000,2.730000,17.150000,1.020000,21.160000,1.870000,2.300000,13.210000,1.550000,3.570000,2.000000,1.620000,0.150000,1.910000,0.440000,-,-
2005,200.190000,199.830000,14.240000,15.240000,15.690000,37.380000,17.620000,33.140000,2.730000,12.550000,1.020000,21.160000,1.930000,2.300000,13.210000,1.550000,3.570000,2.000000,1.620000,0.150000,1.910000,0.820000,0.360000,-
2006,211.291300,210.931300,15.380000,1.510000,16.300000,33.150000,35.421300,38.590000,2.730000,12.550000,1.020000,21.160000,2.130000,3.040000,13.810000,1.550000,3.570000,2.000000,1.620000,2.490000,1.910000,1.000000,0.360000,-
2007,227.120200,226.760200,15.300000,1.508000,16.690000,38.080000,41.681300,41.691900,2.930000,12.550000,1.835000,21.230000,2.130000,3.040000,13.954000,1.550000,3.570000,2.000000,1.620000,2.490000,1.910000,1.000000,0.360000,-
2008,225.879100,225.519100,18.306000,1.508000,16.690000,38.080000,42.320000,43.280000,2.930000,8.644100,2.110000,19.877000,2.130000,1.540000,13.954000,1.240000,3.570000,2.000000,1.940000,2.490000,1.910000,1.000000,0.360000,-
2009,230.699900,230.339900,21.390000,1.508000,21.590000,43.340000,42.320000,25.770000,2.930000,8.644100,3.780000,20.890000,2.128800,2.640000,8.270000,2.050000,3.570000,9.389000,1.940000,2.490000,4.700000,1.000000,0.360000,-
2010,244.933200,244.573200,21.780000,1.508000,22.398200,47.010000,42.720000,27.100000,3.050000,9.869600,3.120000,20.640000,2.128800,2.640000,8.270000,2.050000,3.570000,16.588600,1.940000,2.490000,4.700000,1.000000,0.360000,-
2011,294.776300,294.416300,23.265700,1.508000,22.398200,47.010000,42.680000,28.340000,3.050000,10.092900,5.370000,20.750000,2.128800,2.960000,9.200000,2.370000,3.570000,58.895900,1.940000,3.186800,4.700000,1.000000,0.360000,-
2012,286.868400,286.508400,19.791300,1.508000,22.565000,47.010000,42.680000,28.600000,3.050000,11.358700,5.370000,21.450000,2.058800,1.860000,3.476600,2.530000,4.900000,58.170000,1.940000,2.490000,4.700000,1.000000,0.360000,-
2013,312.044100,311.684100,22.101300,1.508000,23.355000,65.080000,43.420000,29.780000,3.050000,13.058700,5.374500,21.450000,2.060000,1.860000,3.476600,2.730000,5.080000,58.170000,1.940000,2.490000,4.700000,1.000000,0.360000,-
2014,298.598800,298.238800,22.101300,1.508000,23.915000,65.079200,41.160000,26.930000,3.050000,13.058700,5.370000,21.130000,2.060000,1.860000,3.496600,2.730000,4.170000,50.490000,1.940000,2.490000,4.700000,1.000000,0.360000,-
