年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,148.940000,144.320000,26.280000,14.680000,5.030000,10.190000,7.510000,14.860000,1.780000,5.270000,3.910000,5.930000,2.670000,2.160000,12.140000,3.640000,9.930000,9.000000,7.540000,-,-,1.800000,2.300000,2.320000
2002,131.080000,130.470000,13.740000,15.600000,4.990000,1.970000,8.170000,14.860000,1.780000,5.180000,3.860000,5.860000,2.670000,2.100000,10.060000,19.360000,9.930000,1.000000,7.540000,-,-,1.800000,0.610000,-
2003,155.150000,154.180000,12.490000,15.720000,3.680000,9.870000,8.380000,14.860000,1.780000,4.910000,2.450000,6.580000,3.320000,2.100000,11.160000,42.770000,9.930000,1.000000,1.380000,-,-,1.800000,0.750000,0.220000
2004,146.750000,145.780000,11.510000,17.500000,3.680000,9.800000,8.380000,15.610000,1.800000,5.000000,3.460000,12.320000,3.320000,2.100000,11.400000,19.680000,9.930000,5.000000,1.380000,-,2.110000,1.800000,0.750000,0.220000
2005,137.140000,133.800000,11.790000,1.510000,3.710000,9.800000,8.380000,16.770000,1.800000,5.010000,3.460000,12.320000,3.570000,2.100000,11.960000,19.930000,9.930000,5.000000,2.850000,-,2.110000,1.800000,1.160000,2.180000
2006,159.103800,155.763800,16.370000,15.230000,3.710000,9.450000,9.383800,19.060000,1.920000,5.010000,3.460000,12.320000,3.490000,2.710000,11.960000,20.000000,9.930000,5.000000,2.850000,-,2.110000,1.800000,1.160000,2.180000
2007,174.720400,171.380400,16.380000,17.364100,8.210000,16.100000,10.483800,19.782500,1.920000,5.010000,4.290000,12.320000,3.490000,2.710000,11.960000,19.670000,9.930000,5.000000,2.850000,-,2.110000,1.800000,1.160000,2.180000
2008,177.699600,174.359600,16.380000,18.820600,8.210000,18.650000,11.880000,19.780000,1.920000,3.167400,5.930000,12.691600,3.490000,2.680000,11.960000,19.850000,9.930000,5.000000,0.110000,-,2.110000,1.800000,1.160000,2.180000
2009,210.639200,207.299200,16.380000,19.079600,9.130000,18.070000,17.086000,19.060000,1.920000,3.167400,6.690000,14.910000,3.506200,2.770000,34.740000,20.190000,9.930000,6.650000,0.110000,-,2.110000,1.800000,1.160000,2.180000
2010,199.440500,196.100500,17.250000,19.170700,7.050000,18.460000,19.591500,20.170000,1.920000,4.180900,8.840000,14.912600,3.504800,2.770000,11.960000,20.190000,9.930000,12.180000,0.110000,-,2.110000,1.800000,1.160000,2.180000
2011,201.757200,198.417200,17.800000,19.700700,8.140000,18.460000,19.890000,22.260000,1.920000,4.320900,8.830000,11.223900,3.504800,3.090000,11.980000,20.190000,9.930000,13.150000,0.110000,-,2.116900,1.800000,1.160000,2.180000
2012,206.656500,203.316500,19.284600,19.477500,8.149000,18.460000,20.610000,23.440000,2.410000,4.320900,8.790000,10.240000,3.504800,3.090000,14.372800,20.190000,11.100000,11.850000,0.110000,-,2.116900,1.800000,1.160000,2.180000
2013,216.090400,210.570400,17.414600,19.477500,8.249000,22.570000,22.792000,23.710000,2.410000,4.320900,10.165500,12.292600,2.118600,3.090000,14.372800,20.190000,11.520000,11.850000,0.110000,-,2.116900,1.800000,1.160000,4.360000
2014,206.275900,200.755900,18.394600,19.636300,8.249000,22.363400,22.160000,23.540000,2.410000,4.320900,10.170000,9.749500,2.118600,3.090000,11.826700,20.190000,6.660000,11.850000,0.110000,-,2.116900,1.800000,1.160000,4.360000
