年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,6.059997,6.255826,1.603680,1.000000,2.829596,3.591401,3.533309,6.359623,13.378409,16.465642,13.635786,4.312263,16.685842,4.537613,4.426164,8.281261,21.162259,36.558621,5.294070,1.845819,1.766322,1.118394,1.026526,1.103419
1999,6.072742,6.440252,1.616980,1.000000,2.791224,3.598929,3.507286,6.338057,13.950952,15.707212,13.581451,4.324222,16.742152,4.713415,4.550864,8.296486,21.287683,36.827272,5.266629,1.857203,1.785890,1.111184,1.026526,1.118957
2000,6.136411,6.334197,1.586056,1.000000,2.783218,3.800183,3.625785,6.473986,17.779355,14.943377,13.847311,4.152858,16.497314,4.737314,4.643038,8.313423,21.507588,37.686887,5.256489,1.845329,1.736473,1.111184,1.026526,1.119886
2001,6.090872,6.296927,1.593108,1.000000,2.787098,3.793784,3.552875,6.400876,17.130922,16.928739,13.985852,4.364230,16.488758,5.261265,4.634302,8.301602,21.569136,26.699969,4.366382,1.844949,1.770541,1.111360,1.026526,0.982090
2002,6.056680,6.259749,1.571384,1.000000,2.742943,3.750883,3.427708,6.384620,17.452285,16.690185,13.162013,4.511323,16.504781,5.266516,4.932810,8.330789,21.399816,28.631043,4.357974,1.857607,1.774224,1.141028,1.019912,0.982090
2003,6.028419,6.233740,1.581378,1.000000,2.697092,3.628977,3.383510,6.340122,17.637133,15.783085,14.827894,4.512190,16.906754,5.282753,4.653930,8.421223,21.582026,28.713231,4.443706,1.857607,1.793279,1.141028,1.026473,0.902952
2004,6.027273,6.231717,1.583219,1.000000,2.664274,3.691901,3.337110,6.346651,17.817695,16.090999,14.724330,4.558874,16.686139,5.097371,4.493185,8.556446,21.556144,27.567863,4.633394,1.790233,1.952708,1.099835,1.026489,0.902952
2005,6.069538,6.279546,1.610225,0.999577,2.673754,3.696923,3.361379,6.511996,17.604526,15.360575,14.899969,4.646187,17.147274,5.027642,4.524725,8.534965,21.638289,27.285277,4.226968,1.776341,1.866718,1.099835,1.003832,0.902952
2006,6.045379,6.258231,1.612363,1.000000,2.670576,3.645963,3.423190,6.091971,18.057726,15.398209,15.014214,4.459934,17.411276,5.029237,4.786452,9.780265,22.153968,28.202662,3.898566,1.776141,1.863812,1.099835,0.979003,0.902952
2007,6.130650,6.346185,1.615067,1.000000,2.671138,3.908891,3.440241,6.278492,17.912490,14.498944,16.175858,4.457741,17.472294,5.047612,4.738328,9.453128,22.420325,28.405096,4.400904,1.776433,1.904061,1.099626,0.970900,0.902952
2008,6.108366,6.322501,1.579568,1.000000,2.703836,3.883942,3.571283,6.385831,18.156219,14.494478,16.258311,3.902222,17.451347,5.280018,4.699447,8.879767,22.225112,28.543985,4.680469,1.776433,1.906858,1.099835,0.976071,0.907765
2009,6.127677,6.339711,1.532180,1.000000,2.771395,4.061279,3.571273,6.393961,17.176053,14.592037,13.323631,4.600029,17.370802,5.292248,4.731192,8.823363,26.742067,28.578403,4.596449,1.776433,1.892326,1.099835,0.980254,0.902952
2010,6.052564,6.261475,1.532418,1.000000,2.755709,3.871806,3.507817,6.415655,17.143071,14.666821,13.021743,4.032728,17.435306,5.289977,4.670150,8.825848,26.372754,28.754091,4.477436,1.776433,1.893362,1.099835,0.976071,0.909308
2011,6.132921,6.344084,1.594009,1.000000,2.775212,3.895013,3.537443,6.418047,18.306456,14.772369,12.736592,4.007321,17.452001,5.378062,4.728343,9.469154,26.648045,27.950158,4.383838,1.776433,1.899786,1.099835,0.982226,0.894732
2012,6.123999,6.334733,1.536985,1.000000,2.811475,3.894726,3.531045,6.265255,18.703550,14.907360,15.161221,4.523557,17.718146,5.351890,4.764857,9.488571,23.710240,27.522005,4.291105,1.776431,1.880394,1.099835,0.976071,0.799483
2013,6.102622,6.311875,1.559482,1.000000,2.807842,3.769199,3.548003,6.283935,18.391681,14.633848,15.167627,4.529412,17.777071,5.358438,4.858552,8.446364,24.549624,27.693173,4.202593,1.792646,1.796953,1.099835,0.970630,0.814219
2014,5.999638,6.204462,1.544407,1.000000,2.804065,3.441903,3.547247,6.367120,18.143656,13.929555,15.445088,4.042594,17.837955,5.794601,4.347831,8.579346,25.778525,25.940208,4.162371,1.792646,1.829639,1.099835,0.917357,0.792018
