年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,4585.982100,4416.992800,1181.430400,271.799700,317.711300,491.463600,483.164600,408.208600,101.387900,48.318600,69.883500,127.840500,130.112600,103.989600,163.421300,167.293500,87.867500,83.621700,9.071300,71.440000,46.360000,52.606600,149.101000,19.888300
1999,4599.762400,4430.773100,1181.430400,271.799700,322.611300,492.183700,486.153900,408.939700,101.387900,51.410800,69.883500,127.840500,130.112600,103.989600,164.768900,167.293500,87.867500,83.621700,9.071300,71.440000,46.360000,52.606600,149.101000,19.888300
2000,4598.229600,4429.240300,1206.464900,271.799700,322.600900,492.276700,486.443700,408.830900,76.297200,51.410800,69.883500,127.420500,128.782300,103.989500,164.768900,167.293900,87.867500,83.621700,9.071300,71.449800,46.360000,52.606600,149.101000,19.888300
2001,4649.971900,4471.545700,1206.464900,271.799700,322.600900,492.180300,497.578100,408.830900,76.353200,51.410800,69.883500,127.672700,128.782300,93.581400,164.768900,167.293900,87.867500,123.457200,10.585200,71.467700,46.360000,52.606600,149.101000,29.325200
2002,4685.587900,4507.157400,1209.240200,271.799700,322.374100,498.571900,519.074000,413.648700,76.353200,51.410800,70.314900,127.620000,128.782300,93.581400,164.830000,167.293900,87.785600,123.457200,10.585200,71.467700,46.360000,52.606600,149.105300,29.325200
2003,4684.957300,4503.953200,1209.475000,271.799700,322.551400,492.968800,519.074000,413.648700,76.447300,53.631000,69.851900,127.569900,128.763800,93.581400,165.145500,167.129400,87.946000,123.457200,10.477900,71.467700,46.360000,52.606600,149.108700,31.895400
2004,4696.210900,4515.209200,1209.871000,271.799700,322.896200,495.015900,522.601300,413.631000,76.380300,53.631000,69.851900,127.886000,130.947000,97.800800,165.046300,165.163000,87.916000,123.309100,10.477900,71.706400,44.701500,54.576900,149.106300,31.895400
2005,4701.236300,4516.869200,1209.871000,271.799700,322.904800,495.009100,522.584500,414.480800,76.380400,53.631000,69.851900,127.886300,129.281200,97.800800,164.616300,165.150000,87.964300,123.309100,10.477900,74.737300,44.555900,54.576900,152.471700,31.895400
2006,4701.129200,4513.859900,1209.871000,271.799700,322.904800,501.005800,515.819500,415.341100,76.380300,53.604800,69.851900,127.886500,126.428900,97.692500,164.616300,165.160200,87.964300,123.309100,10.478000,74.745700,44.422700,54.576900,155.373900,31.895400
2007,4703.545800,4516.276500,1209.871000,271.799700,323.262000,501.104600,515.940100,416.436500,76.402800,54.219700,69.851900,127.920800,126.428900,97.773700,164.616300,165.164200,87.964300,123.309100,10.478000,74.733400,44.422700,54.576900,155.373900,31.895400
2008,4706.665200,4519.395900,1209.871000,271.799700,323.313700,501.071500,516.204500,416.428300,76.402900,54.193600,69.880000,130.762500,126.426000,97.916500,164.616300,165.164200,87.823500,123.309100,10.479700,74.733400,44.422700,54.576900,155.373900,31.895400
2009,4751.118600,4563.849300,1248.975400,271.799700,324.423200,499.713200,516.221800,417.246300,76.402900,54.193600,74.181200,130.743500,126.512600,97.834000,164.616300,165.163800,87.823500,123.309100,10.480200,74.733400,44.898700,54.576900,155.373900,31.895400
2010,4750.255900,4562.986600,1248.941400,271.799700,324.426300,497.045000,516.323700,417.258900,76.453300,54.302300,75.702200,130.714300,126.506600,97.834000,164.689500,165.163800,87.823500,123.309100,10.484300,74.733400,44.898400,54.576900,155.373900,31.895400
2011,4759.136400,4571.867100,1246.244700,271.799700,324.450600,497.045000,525.707500,417.263600,76.453200,54.293300,75.728500,132.819300,126.511500,97.788200,164.688400,165.188800,87.823500,123.309100,10.543300,74.733400,44.898400,54.576900,155.373900,31.895400
2012,4759.874500,4572.605200,1246.267400,271.799700,324.372500,497.045000,524.282000,418.577200,76.610000,54.293300,77.297600,132.963400,126.465400,97.799300,163.385800,165.178200,87.823500,123.189900,10.527000,74.733500,45.417400,54.576900,155.373900,31.895400
2013,4766.473800,4579.163500,1246.267400,271.799700,323.684800,502.870500,524.427600,418.582800,76.565700,54.293300,77.368100,132.745400,126.524000,97.799300,163.385800,165.170300,89.910000,123.189900,10.527000,74.057500,45.417400,54.576900,155.370000,31.940300
2014,4815.433900,4628.123400,1247.044500,271.799700,323.713500,537.102200,525.135000,417.189600,76.565800,54.293300,77.338100,132.746600,126.524200,97.799300,181.211400,165.170300,85.470400,123.421500,10.599200,74.057500,46.364500,54.576900,155.370100,31.940300
