年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,17731.000000,17710.000000,2405.000000,2610.000000,1146.000000,2671.000000,1545.000000,2328.000000,293.000000,252.000000,364.000000,899.000000,419.000000,473.000000,228.000000,584.000000,141.000000,274.000000,68.000000,300.000000,336.000000,374.000000,14.000000,7.000000
1999,17770.000000,17751.000000,2441.000000,2620.000000,1133.000000,2681.000000,1541.000000,2329.000000,296.000000,248.000000,346.000000,896.000000,391.000000,466.000000,229.000000,610.000000,139.000000,283.000000,70.000000,300.000000,367.000000,365.000000,13.000000,6.000000
2000,18082.000000,18060.000000,2515.000000,2615.000000,1194.000000,2730.000000,1534.000000,2396.000000,311.000000,256.000000,350.000000,912.000000,378.000000,467.000000,246.000000,621.000000,145.000000,288.000000,70.000000,298.000000,369.000000,365.000000,16.000000,6.000000
2001,18265.000000,18240.000000,2562.000000,2633.000000,1227.000000,2771.000000,1537.000000,2412.000000,301.000000,259.000000,341.000000,919.000000,386.000000,476.000000,241.000000,634.000000,149.000000,270.000000,73.000000,301.000000,383.000000,365.000000,18.000000,7.000000
2002,18228.000000,18200.000000,2560.000000,2645.000000,1245.000000,2780.000000,1537.000000,2413.000000,297.000000,262.000000,337.000000,905.000000,389.000000,480.000000,236.000000,604.000000,150.000000,258.000000,76.000000,292.000000,368.000000,366.000000,21.000000,7.000000
2003,18777.000000,18744.000000,2637.000000,2748.000000,1276.000000,2871.000000,1581.000000,2475.000000,303.000000,268.000000,338.000000,950.000000,404.000000,496.000000,249.000000,614.000000,152.000000,266.000000,80.000000,297.000000,371.000000,368.000000,26.000000,7.000000
2004,19240.000000,19204.000000,2702.000000,2814.000000,1341.000000,2927.000000,1618.000000,2545.000000,302.000000,286.000000,349.000000,975.000000,411.000000,507.000000,251.000000,624.000000,156.000000,274.000000,84.000000,293.000000,369.000000,376.000000,29.000000,7.000000
2005,19433.000000,19397.000000,2716.000000,2835.000000,1322.000000,2988.000000,1629.000000,2592.000000,303.000000,303.000000,361.000000,988.000000,412.000000,505.000000,254.000000,630.000000,153.000000,276.000000,83.000000,286.000000,379.000000,382.000000,30.000000,6.000000
2006,19682.000000,19646.000000,2750.000000,2892.000000,1314.000000,3005.000000,1674.000000,2617.000000,314.000000,310.000000,357.000000,1006.000000,408.000000,515.000000,262.000000,648.000000,157.000000,279.000000,85.000000,289.000000,377.000000,387.000000,30.000000,6.000000
2007,19900.000000,19863.000000,2788.000000,2946.000000,1337.000000,3038.000000,1697.000000,2629.000000,318.000000,317.000000,363.000000,1013.000000,417.000000,514.000000,269.000000,652.000000,157.000000,279.000000,83.000000,281.000000,382.000000,383.000000,30.000000,7.000000
2008,20174.000000,20134.000000,2816.000000,3010.000000,1358.000000,3089.000000,1720.000000,2663.000000,314.000000,324.000000,370.000000,1028.000000,422.000000,517.000000,265.000000,654.000000,159.000000,283.000000,85.000000,282.000000,388.000000,387.000000,33.000000,7.000000
2009,20306.000000,20261.000000,2868.000000,3045.000000,1398.000000,3078.000000,1733.000000,2679.000000,318.000000,327.000000,368.000000,1019.000000,418.000000,508.000000,266.000000,650.000000,152.000000,278.000000,86.000000,277.000000,399.000000,394.000000,38.000000,7.000000
2010,20691.000000,20645.000000,2912.000000,3147.000000,1429.000000,3150.000000,1772.000000,2754.000000,322.000000,323.000000,370.000000,1026.000000,416.000000,504.000000,267.000000,652.000000,153.000000,275.000000,89.000000,281.000000,408.000000,395.000000,39.000000,7.000000
2011,21135.000000,21090.000000,3011.000000,3253.000000,1448.000000,3213.000000,1815.000000,2805.000000,327.000000,335.000000,376.000000,1041.000000,424.000000,498.000000,267.000000,651.000000,158.000000,275.000000,90.000000,281.000000,426.000000,396.000000,40.000000,5.000000
2012,21437.000000,21388.000000,3076.000000,3321.000000,1467.000000,3264.000000,1834.000000,2837.000000,333.000000,336.000000,385.000000,1042.000000,429.000000,498.000000,269.000000,648.000000,159.000000,282.000000,89.000000,293.000000,424.000000,402.000000,44.000000,5.000000
2013,21713.000000,21662.000000,3126.000000,3381.000000,1500.000000,3294.000000,1851.000000,2869.000000,338.000000,349.000000,385.000000,1059.000000,429.000000,503.000000,270.000000,647.000000,162.000000,274.000000,89.000000,297.000000,431.000000,408.000000,46.000000,5.000000
2014,22041.000000,21986.000000,3200.000000,3450.000000,1523.000000,3342.000000,1875.000000,2906.000000,337.000000,360.000000,391.000000,1062.000000,434.000000,508.000000,271.000000,655.000000,161.000000,278.000000,89.000000,297.000000,438.000000,409.000000,50.000000,5.000000
