年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,167583664.000000,167375107.000000,24048966.000000,63899956.000000,1888799.000000,8327868.000000,18861316.000000,3220833.000000,706307.000000,624919.000000,281163.000000,19551639.000000,3144068.000000,6563310.000000,1794679.000000,-,3590180.000000,2193300.000000,508402.000000,6782663.000000,1195052.000000,191687.000000,208557.000000,-
1999,102525465.000000,102435465.000000,14820953.000000,32606124.000000,1557687.000000,5974759.000000,13561029.000000,2474736.000000,639994.000000,1097771.000000,76563.000000,9184263.000000,2283147.000000,5771320.000000,1457967.000000,736576.000000,2745447.000000,1401358.000000,18925.000000,5340647.000000,225067.000000,461132.000000,90000.000000,-
2000,96947380.000000,96659283.000000,17744926.000000,22898073.000000,1045435.000000,7531719.000000,4850746.000000,3632728.000000,505659.000000,380743.000000,169332.000000,14754067.000000,3259675.000000,12741307.000000,2237379.000000,772977.000000,1975692.000000,1351126.000000,75405.000000,616511.000000,-,115783.000000,288097.000000,-
2001,101727598.000000,101727598.000000,16208251.000000,31910176.000000,931601.000000,6592560.000000,3481816.000000,1754575.000000,462376.000000,149900.000000,166269.000000,15174820.000000,2496424.000000,15341304.000000,2129932.000000,752955.000000,1443366.000000,1251186.000000,373435.000000,453414.000000,440437.000000,212801.000000,-,-
2002,104851072.000000,104703656.000000,3921198.000000,57866819.000000,789341.000000,3132640.000000,3429606.000000,2214434.000000,106504.000000,115500.000000,79118.000000,11587504.000000,2961526.000000,10980992.000000,1867304.000000,298167.000000,1601232.000000,2117359.000000,562422.000000,349831.000000,-,722159.000000,147416.000000,-
2003,89630957.000000,89501997.000000,4906959.000000,53684088.000000,564676.000000,785622.000000,2300734.000000,2245863.000000,327311.000000,349519.000000,-,13076948.000000,2317342.000000,2278769.000000,1449251.000000,302135.000000,2018831.000000,1597179.000000,589503.000000,340802.000000,87287.000000,279178.000000,128960.000000,-
2004,105216697.000000,105182197.000000,5299098.000000,62018054.000000,630190.000000,3297102.000000,2861363.000000,2476957.000000,317635.000000,259478.000000,216718.000000,13526981.000000,2913197.000000,1901102.000000,1957359.000000,339728.000000,2855247.000000,2515490.000000,533820.000000,342149.000000,191584.000000,728945.000000,34500.000000,-
2005,93763626.000000,93248948.000000,5989287.000000,54111658.000000,342076.000000,3362328.000000,3952693.000000,2302732.000000,459553.000000,575934.000000,596996.000000,5870197.000000,2387844.000000,1857365.000000,1716358.000000,1064698.000000,3331997.000000,3044220.000000,964561.000000,254033.000000,153531.000000,910887.000000,514678.000000,-
2006,56811607.000000,56508640.000000,7265392.000000,19573200.000000,1629896.000000,2495741.000000,2999006.000000,1949438.000000,849528.000000,285311.000000,430611.000000,2167806.000000,3289705.000000,2783597.000000,2236392.000000,599323.000000,2549421.000000,2750882.000000,1347003.000000,581140.000000,56344.000000,668904.000000,302967.000000,-
2007,61541149.000000,61436317.000000,4802498.000000,21720505.000000,1434274.000000,1976367.000000,5966300.000000,2099092.000000,1225953.000000,540185.000000,333213.000000,1723618.000000,2933707.000000,3033050.000000,1888434.000000,600000.000000,4932419.000000,3132350.000000,1012323.000000,391272.000000,546672.000000,1144085.000000,104832.000000,-
