年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,43603.000000,43574.000000,7722.000000,5788.000000,3791.000000,4839.000000,3377.000000,5707.000000,808.000000,815.000000,968.000000,1507.000000,959.000000,950.000000,823.000000,1574.000000,537.000000,950.000000,132.000000,1035.000000,812.000000,480.000000,24.000000,5.000000
1999,49003.000000,48975.000000,8504.000000,6327.000000,4285.000000,5423.000000,3768.000000,6550.000000,917.000000,920.000000,1042.000000,1786.000000,1005.000000,1125.000000,889.000000,1996.000000,621.000000,1121.000000,147.000000,1197.000000,835.000000,517.000000,22.000000,6.000000
2000,52670.000000,52638.000000,9515.000000,6588.000000,4584.000000,6082.000000,3977.000000,6920.000000,937.000000,1004.000000,1159.000000,1916.000000,1083.000000,1253.000000,992.000000,2144.000000,681.000000,1106.000000,127.000000,1128.000000,874.000000,568.000000,26.000000,6.000000
2001,56538.000000,56484.000000,10043.000000,6853.000000,5207.000000,6501.000000,4046.000000,7676.000000,1054.000000,1173.000000,1239.000000,2150.000000,1210.000000,1314.000000,1083.000000,2179.000000,655.000000,1075.000000,145.000000,1288.000000,988.000000,605.000000,48.000000,6.000000
2002,61213.000000,61140.000000,11023.000000,7390.000000,5556.000000,6825.000000,4378.000000,8291.000000,1146.000000,1251.000000,1405.000000,2288.000000,1255.000000,1542.000000,1206.000000,2393.000000,714.000000,1180.000000,185.000000,1363.000000,1024.000000,725.000000,64.000000,9.000000
2003,64866.000000,64802.000000,11825.000000,7137.000000,5774.000000,7334.000000,4801.000000,8849.000000,1147.000000,1247.000000,1442.000000,2527.000000,1391.000000,1688.000000,1283.000000,2656.000000,765.000000,1451.000000,187.000000,1421.000000,1126.000000,751.000000,57.000000,7.000000
2004,62796.000000,62721.000000,11342.000000,6843.000000,5770.000000,7002.000000,4674.000000,8567.000000,1135.000000,1327.000000,1425.000000,2362.000000,1351.000000,1548.000000,1315.000000,2626.000000,728.000000,1426.000000,190.000000,1288.000000,1084.000000,718.000000,58.000000,17.000000
2005,62571.000000,62489.000000,11339.000000,6589.000000,6016.000000,7032.000000,4668.000000,8366.000000,1149.000000,1280.000000,1434.000000,2416.000000,1282.000000,1669.000000,1329.000000,2522.000000,689.000000,1307.000000,187.000000,1373.000000,1030.000000,812.000000,70.000000,12.000000
2006,64540.000000,64424.000000,11810.000000,6930.000000,6376.000000,7235.000000,4716.000000,8569.000000,1224.000000,1441.000000,1441.000000,2546.000000,1361.000000,1607.000000,1436.000000,2454.000000,686.000000,1215.000000,217.000000,1290.000000,1093.000000,777.000000,99.000000,17.000000
2007,58518.000000,58391.000000,10716.000000,6259.000000,5981.000000,6613.000000,4292.000000,7383.000000,1101.000000,1268.000000,1326.000000,2430.000000,1292.000000,1593.000000,1184.000000,2274.000000,648.000000,1051.000000,210.000000,1120.000000,1020.000000,630.000000,112.000000,15.000000
2008,55995.000000,55866.000000,10449.000000,5845.000000,5609.000000,6315.000000,4204.000000,7285.000000,1029.000000,1240.000000,1302.000000,2314.000000,1144.000000,1447.000000,1134.000000,2034.000000,596.000000,1011.000000,174.000000,1105.000000,998.000000,631.000000,119.000000,10.000000
2009,57223.000000,57097.000000,10638.000000,6007.000000,5704.000000,6410.000000,4200.000000,7436.000000,1039.000000,1242.000000,1328.000000,2341.000000,1255.000000,1456.000000,1233.000000,2243.000000,605.000000,977.000000,199.000000,1065.000000,1053.000000,666.000000,118.000000,8.000000
2010,58115.000000,57986.000000,10934.000000,6092.000000,6126.000000,6583.000000,4140.000000,7308.000000,1091.000000,1299.000000,1290.000000,2356.000000,1195.000000,1492.000000,1279.000000,2086.000000,597.000000,1036.000000,198.000000,1178.000000,1016.000000,690.000000,117.000000,12.000000
2011,57008.000000,56900.000000,10879.000000,5841.000000,5927.000000,6420.000000,4299.000000,7226.000000,1096.000000,1263.000000,1303.000000,2315.000000,1218.000000,1433.000000,1198.000000,2127.000000,562.000000,893.000000,190.000000,1068.000000,957.000000,685.000000,96.000000,12.000000
2012,55980.000000,55857.000000,10613.000000,5818.000000,5832.000000,6390.000000,4245.000000,7093.000000,966.000000,1362.000000,1263.000000,2268.000000,1105.000000,1431.000000,1147.000000,1946.000000,555.000000,854.000000,200.000000,1060.000000,1045.000000,664.000000,113.000000,10.000000
2013,53604.000000,53458.000000,10146.000000,5442.000000,5644.000000,6172.000000,3983.000000,6656.000000,925.000000,1262.000000,1257.000000,2238.000000,1038.000000,1386.000000,1104.000000,1880.000000,604.000000,891.000000,210.000000,1012.000000,971.000000,637.000000,134.000000,12.000000
2014,53190.000000,52961.000000,9851.000000,5528.000000,5438.000000,6295.000000,3924.000000,6392.000000,970.000000,1312.000000,1307.000000,2240.000000,1136.000000,1397.000000,1061.000000,1865.000000,569.000000,974.000000,193.000000,970.000000,923.000000,616.000000,212.000000,17.000000
