年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,6476.000000,6476.000000,605.000000,540.000000,415.000000,826.000000,930.000000,854.000000,330.000000,93.000000,136.000000,327.000000,114.000000,185.000000,160.000000,292.000000,115.000000,254.000000,16.000000,102.000000,82.000000,101.000000,-,-
2000,6513.000000,6513.000000,613.000000,540.000000,415.000000,820.000000,930.000000,854.000000,330.000000,93.000000,136.000000,327.000000,114.000000,185.000000,196.000000,292.000000,115.000000,254.000000,16.000000,102.000000,82.000000,101.000000,-,-
2001,6494.000000,6494.000000,615.000000,540.000000,403.000000,820.000000,930.000000,854.000000,335.000000,93.000000,136.000000,313.000000,114.000000,185.000000,196.000000,292.000000,115.000000,256.000000,16.000000,100.000000,82.000000,101.000000,-,-
2002,6535.000000,6535.000000,615.000000,540.000000,433.000000,820.000000,930.000000,854.000000,335.000000,95.000000,136.000000,313.000000,114.000000,190.000000,200.000000,292.000000,115.000000,256.000000,16.000000,100.000000,82.000000,101.000000,-,-
2003,6630.000000,6630.000000,678.000000,540.000000,429.000000,820.000000,930.000000,865.000000,371.000000,97.000000,136.000000,313.000000,114.000000,184.000000,200.000000,292.000000,115.000000,256.000000,16.000000,100.000000,72.000000,101.000000,-,-
2004,6715.000000,6715.000000,712.000000,540.000000,429.000000,820.000000,930.000000,868.000000,371.000000,102.000000,136.000000,335.000000,114.000000,184.000000,200.000000,292.000000,115.000000,256.000000,17.000000,100.000000,72.000000,122.000000,-,-
2005,6717.000000,6717.000000,712.000000,540.000000,429.000000,820.000000,930.000000,870.000000,371.000000,102.000000,136.000000,335.000000,114.000000,184.000000,200.000000,292.000000,115.000000,256.000000,17.000000,100.000000,72.000000,122.000000,-,-
2006,6856.000000,6856.000000,714.000000,540.000000,443.000000,947.000000,930.000000,870.000000,371.000000,102.000000,136.000000,335.000000,108.000000,184.000000,201.000000,292.000000,115.000000,256.000000,17.000000,100.000000,72.000000,122.000000,-,-
2007,6849.000000,6849.000000,714.000000,540.000000,443.000000,941.000000,930.000000,870.000000,371.000000,102.000000,136.000000,335.000000,106.000000,184.000000,201.000000,292.000000,116.000000,256.000000,17.000000,100.000000,72.000000,122.000000,-,-
2008,6858.000000,6858.000000,714.000000,540.000000,443.000000,941.000000,930.000000,872.000000,371.000000,102.000000,138.000000,335.000000,110.000000,184.000000,203.000000,292.000000,116.000000,256.000000,17.000000,100.000000,72.000000,122.000000,-,-
2009,6709.000000,6709.000000,714.000000,540.000000,444.000000,941.000000,944.000000,873.000000,203.000000,102.000000,140.000000,335.000000,109.000000,184.000000,211.000000,292.000000,116.000000,256.000000,17.000000,100.000000,72.000000,116.000000,-,-
2010,6819.000000,6819.000000,768.000000,540.000000,445.000000,941.000000,944.000000,874.000000,203.000000,102.000000,141.000000,335.000000,110.000000,194.000000,211.000000,292.000000,116.000000,298.000000,18.000000,100.000000,72.000000,116.000000,-,-
2011,6848.000000,6838.000000,769.000000,540.000000,495.000000,942.000000,944.000000,875.000000,202.000000,102.000000,141.000000,338.000000,110.000000,158.000000,211.000000,292.000000,117.000000,298.000000,18.000000,100.000000,72.000000,116.000000,10.000000,-
2012,6829.000000,6815.000000,767.000000,540.000000,504.000000,890.000000,960.000000,875.000000,216.000000,117.000000,145.000000,338.000000,114.000000,155.000000,179.000000,292.000000,117.000000,298.000000,18.000000,100.000000,72.000000,116.000000,10.000000,3.000000
2013,6785.000000,6772.000000,764.000000,540.000000,488.000000,889.000000,960.000000,875.000000,191.000000,117.000000,145.000000,338.000000,115.000000,155.000000,179.000000,292.000000,118.000000,298.000000,18.000000,100.000000,72.000000,116.000000,10.000000,3.000000
2014,6804.000000,6791.000000,790.000000,540.000000,488.000000,889.000000,960.000000,875.000000,189.000000,119.000000,143.000000,338.000000,111.000000,154.000000,180.000000,292.000000,118.000000,298.000000,18.000000,100.000000,72.000000,116.000000,10.000000,3.000000
