年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,69.790000,69.800000,71.440000,70.480000,67.870000,69.080000,69.870000,71.750000,68.500000,66.490000,67.580000,68.500000,68.480000,69.150000,68.730000,69.750000,68.990000,68.790000,67.110000,70.450000,68.250000,69.390000,65.420000,69.650000
1999,70.130000,70.140000,72.080000,70.630000,68.330000,69.490000,70.190000,72.100000,68.680000,66.630000,67.780000,68.800000,68.850000,69.250000,68.820000,69.970000,69.110000,69.050000,67.140000,70.680000,68.640000,69.430000,65.940000,68.700000
2000,70.260000,70.270000,72.450000,70.690000,68.560000,69.690000,70.300000,72.220000,68.700000,66.540000,67.820000,68.950000,68.930000,69.080000,68.660000,69.960000,69.140000,69.200000,67.040000,70.710000,68.770000,69.380000,66.640000,69.180000
2001,70.390000,70.390000,72.760000,70.790000,68.740000,69.910000,70.420000,72.320000,68.710000,66.490000,67.870000,69.000000,68.900000,68.920000,68.460000,70.010000,69.170000,69.290000,67.490000,70.750000,68.810000,69.420000,67.430000,74.270000
2002,70.560000,70.570000,73.110000,70.970000,69.070000,70.170000,70.620000,72.490000,68.760000,66.460000,67.850000,69.110000,68.860000,68.770000,68.340000,70.020000,69.120000,69.340000,67.490000,70.910000,68.840000,69.330000,67.770000,73.530000
2003,70.940000,70.940000,73.730000,71.230000,69.610000,70.670000,71.060000,72.840000,68.980000,66.730000,68.110000,69.400000,69.080000,68.650000,68.300000,70.270000,69.300000,69.590000,67.780000,71.390000,69.200000,69.510000,68.330000,73.060000
2004,71.190000,71.190000,74.120000,71.370000,70.070000,71.020000,71.330000,73.050000,69.150000,67.000000,68.280000,69.530000,69.170000,68.530000,68.310000,70.420000,69.410000,69.770000,67.930000,71.690000,69.410000,69.580000,69.380000,74.190000
2005,71.560000,71.560000,74.620000,71.600000,70.630000,71.520000,71.720000,73.340000,69.420000,67.420000,68.610000,69.830000,69.410000,68.570000,68.480000,70.730000,69.660000,70.090000,68.510000,72.110000,69.790000,69.850000,70.940000,76.220000
2006,71.880000,71.880000,75.020000,71.860000,71.150000,71.970000,72.040000,73.600000,69.670000,67.830000,68.890000,70.060000,69.640000,68.530000,68.610000,70.920000,69.840000,70.420000,68.660000,72.490000,70.020000,69.990000,72.170000,75.520000
2007,72.240000,72.230000,75.460000,71.970000,71.710000,72.420000,72.410000,73.870000,70.010000,68.210000,69.280000,70.390000,69.970000,68.680000,68.920000,71.250000,70.230000,70.870000,69.320000,72.930000,70.270000,70.170000,73.110000,75.600000
2008,72.620000,72.620000,75.840000,72.130000,72.240000,72.920000,72.810000,74.170000,70.550000,68.680000,69.740000,70.710000,70.460000,68.890000,69.250000,71.640000,70.570000,71.350000,70.120000,73.470000,70.620000,70.530000,73.190000,75.370000
2009,73.030000,73.020000,76.160000,72.310000,72.840000,73.410000,73.220000,74.470000,71.040000,69.200000,70.250000,71.090000,71.050000,69.280000,69.710000,72.170000,71.040000,71.870000,71.070000,74.030000,70.950000,70.980000,74.210000,75.790000
2010,73.610000,73.610000,76.690000,72.670000,73.610000,74.090000,73.870000,74.960000,71.640000,69.940000,70.870000,71.640000,71.630000,69.780000,70.340000,72.840000,71.600000,72.440000,71.940000,74.820000,71.480000,71.590000,74.810000,76.090000
2011,74.040000,74.030000,76.990000,72.800000,74.210000,74.610000,74.260000,75.320000,72.210000,70.580000,71.400000,72.110000,72.150000,70.140000,70.980000,73.520000,72.140000,72.930000,72.420000,75.530000,71.830000,72.130000,75.670000,76.010000
2012,74.220000,74.200000,76.970000,72.630000,74.620000,74.880000,74.450000,75.400000,72.720000,71.060000,71.620000,72.350000,72.530000,70.430000,71.400000,73.860000,72.380000,73.220000,73.160000,75.830000,71.930000,72.470000,76.870000,77.220000
2013,74.150000,74.140000,76.750000,72.220000,74.780000,74.890000,74.360000,75.220000,72.910000,71.290000,71.630000,72.410000,72.650000,70.590000,71.600000,73.900000,72.580000,73.290000,73.460000,75.880000,71.920000,72.460000,77.500000,77.500000
2014,74.030000,74.010000,76.410000,71.750000,74.840000,74.860000,74.240000,74.990000,72.990000,71.410000,71.610000,72.450000,72.740000,70.740000,71.750000,73.950000,72.740000,73.280000,73.590000,75.840000,71.810000,72.470000,77.900000,77.790000
