年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,3.420000,3.430000,3.750000,3.440000,3.750000,3.210000,3.590000,3.410000,3.570000,2.730000,2.610000,1.920000,3.300000,2.260000,2.000000,3.710000,8.540000,8.170000,2.330000,4.300000,2.810000,3.900000,1.170000,2.820000
1999,3.200000,3.210000,3.520000,2.790000,3.470000,3.120000,3.320000,3.200000,3.190000,2.800000,2.790000,1.680000,3.100000,2.040000,2.160000,3.450000,8.760000,8.750000,2.310000,4.910000,2.480000,3.010000,1.410000,1.160000
2000,3.260000,3.270000,3.340000,2.950000,3.410000,3.500000,3.500000,3.200000,3.350000,2.640000,2.950000,1.860000,3.250000,1.950000,2.050000,3.660000,8.700000,8.770000,1.130000,4.470000,2.770000,3.870000,1.270000,-
2001,3.620000,3.630000,3.830000,3.030000,4.010000,3.450000,3.800000,3.550000,4.190000,2.820000,3.210000,2.200000,3.630000,2.640000,2.620000,4.620000,9.590000,10.050000,1.740000,4.140000,2.510000,4.310000,0.670000,-
2002,3.610000,3.620000,3.820000,3.000000,3.790000,3.700000,3.940000,3.410000,3.950000,2.650000,3.260000,2.190000,4.080000,2.880000,2.250000,4.490000,9.650000,9.770000,2.140000,4.120000,2.340000,4.530000,1.080000,-
2003,3.540000,3.550000,3.510000,2.690000,4.050000,3.680000,3.470000,3.530000,3.830000,2.940000,3.210000,2.250000,3.790000,2.370000,2.490000,4.620000,10.070000,10.110000,1.660000,5.140000,2.150000,4.070000,0.840000,-
2004,3.640000,3.650000,3.680000,2.950000,3.990000,3.720000,3.770000,3.660000,4.520000,2.700000,3.190000,2.200000,3.940000,2.840000,3.020000,4.430000,9.950000,9.580000,2.440000,4.680000,2.280000,3.860000,1.080000,-
2005,4.010000,4.020000,4.150000,2.910000,4.300000,4.220000,3.850000,3.970000,4.710000,3.120000,3.520000,2.530000,5.060000,3.050000,3.290000,5.350000,10.370000,10.750000,2.000000,5.700000,2.370000,4.080000,0.810000,2.800000
2006,4.190000,4.200000,4.190000,3.230000,4.680000,4.350000,4.000000,4.210000,5.160000,2.930000,3.820000,2.530000,4.660000,3.490000,3.450000,5.820000,11.910000,9.930000,2.320000,5.390000,2.410000,5.650000,1.720000,2.130000
2007,4.390000,4.410000,4.530000,3.420000,4.590000,4.710000,4.240000,4.460000,5.430000,3.280000,3.480000,2.810000,4.950000,3.570000,4.080000,5.800000,11.780000,11.660000,2.300000,5.840000,2.030000,5.270000,1.280000,-
2008,4.120000,4.140000,4.030000,3.200000,4.440000,4.290000,3.730000,4.260000,5.210000,2.940000,3.420000,2.720000,5.420000,3.490000,3.940000,5.850000,11.280000,11.690000,3.310000,5.190000,2.190000,4.580000,0.930000,2.880000
2009,3.910000,3.920000,3.800000,3.190000,4.170000,4.010000,3.500000,3.960000,5.200000,2.600000,3.820000,2.800000,5.290000,3.290000,3.430000,5.160000,11.750000,11.030000,2.360000,5.500000,1.710000,5.080000,0.670000,2.800000
2010,4.510000,4.530000,4.440000,3.510000,4.820000,4.600000,3.970000,4.860000,5.190000,3.300000,4.240000,2.890000,6.200000,4.470000,4.050000,6.840000,11.030000,11.960000,3.020000,6.070000,2.000000,6.600000,1.710000,5.050000
2011,3.790000,3.800000,3.850000,2.770000,4.230000,3.680000,3.390000,4.150000,4.490000,3.590000,3.230000,2.180000,5.550000,3.550000,3.330000,6.160000,10.600000,10.410000,1.980000,6.180000,1.790000,4.730000,1.820000,2.270000
2012,3.600000,3.610000,3.540000,2.600000,4.220000,3.500000,3.310000,3.950000,4.610000,2.920000,2.670000,2.560000,4.930000,3.630000,3.160000,5.890000,11.410000,8.700000,1.530000,5.540000,2.170000,4.440000,0.770000,1.950000
2013,4.000000,4.020000,3.960000,2.550000,4.710000,3.890000,3.500000,4.550000,4.320000,3.550000,3.240000,2.680000,6.090000,4.020000,4.440000,6.650000,10.620000,11.220000,2.190000,7.070000,2.300000,4.850000,1.590000,3.270000
2014,3.730000,3.740000,3.610000,2.610000,4.910000,3.490000,2.950000,4.170000,4.560000,3.230000,3.160000,2.560000,5.650000,4.100000,4.350000,5.510000,10.580000,10.230000,1.700000,5.630000,2.340000,4.320000,1.870000,2.890000
