年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,12254252.000000,12213107.000000,1869882.000000,1124529.000000,963954.000000,1448186.000000,1127801.000000,1574685.000000,282321.000000,250497.000000,296853.000000,765720.000000,295273.000000,410966.000000,329100.000000,504539.000000,129994.000000,202732.000000,54780.000000,189548.000000,220480.000000,171267.000000,37144.000000,4001.000000
2008,12548860.000000,12505060.000000,1921545.000000,1141608.000000,1001620.000000,1494474.000000,1151168.000000,1610030.000000,287442.000000,259943.000000,303619.000000,779592.000000,300463.000000,417028.000000,334164.000000,513019.000000,132198.000000,205694.000000,55709.000000,194731.000000,226900.000000,174113.000000,39589.000000,4211.000000
2009,12827895.000000,12781054.000000,1978919.000000,1159928.000000,1039117.000000,1538966.000000,1162352.000000,1643750.000000,292225.000000,268652.000000,310354.000000,792954.000000,305506.000000,420768.000000,337545.000000,519659.000000,134104.000000,208868.000000,56596.000000,199336.000000,234940.000000,176515.000000,42399.000000,4442.000000
2010,13102056.000000,13051854.000000,2033874.000000,1178791.000000,1074509.000000,1582228.000000,1179524.000000,1677520.000000,296743.000000,277647.000000,315633.000000,806411.000000,310689.000000,421369.000000,338314.000000,526756.000000,136791.000000,211826.000000,58005.000000,203564.000000,242604.000000,179056.000000,45593.000000,4609.000000
2011,13350987.000000,13297460.000000,2071766.000000,1196875.000000,1105601.000000,1625268.000000,1198735.000000,1706183.000000,301378.000000,286072.000000,321552.000000,818674.000000,315385.000000,425881.000000,341874.000000,533776.000000,138540.000000,214154.000000,59245.000000,205772.000000,249326.000000,181403.000000,48787.000000,4740.000000
2012,13597474.000000,13539810.000000,2113954.000000,1213295.000000,1136211.000000,1667751.000000,1217490.000000,1737299.000000,306048.000000,293801.000000,326812.000000,829378.000000,319383.000000,430685.000000,343827.000000,538648.000000,140100.000000,216760.000000,60679.000000,208969.000000,255278.000000,183442.000000,52681.000000,4983.000000
2013,13833129.000000,13772505.000000,2159724.000000,1224248.000000,1165300.000000,1711507.000000,1237028.000000,1767391.000000,310881.000000,301547.000000,332944.000000,839790.000000,323760.000000,436090.000000,345907.000000,547090.000000,141769.000000,218792.000000,61744.000000,201199.000000,259998.000000,185796.000000,55455.000000,5169.000000
2014,14155640.000000,14091974.000000,2221478.000000,1243508.000000,1200651.000000,1764222.000000,1260640.000000,1806848.000000,316373.000000,310275.000000,339830.000000,854383.000000,329341.000000,443844.000000,351048.000000,558702.000000,143831.000000,222233.000000,62863.000000,206381.000000,265944.000000,189579.000000,58237.000000,5429.000000
