年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,67171.000000,67171.000000,29521.000000,6137.000000,2271.000000,2652.000000,2868.000000,6752.000000,4296.000000,1396.000000,655.000000,461.000000,335.000000,979.000000,1608.000000,4304.000000,394.000000,645.000000,330.000000,839.000000,329.000000,399.000000,-,-
2001,34908.000000,34908.000000,5828.000000,4813.000000,2512.000000,2446.000000,2245.000000,5062.000000,902.000000,615.000000,1023.000000,201.000000,678.000000,756.000000,751.000000,3814.000000,462.000000,791.000000,311.000000,704.000000,455.000000,539.000000,-,-
2002,33897.000000,33897.000000,3273.000000,3764.000000,2337.000000,3013.000000,2133.000000,2770.000000,4474.000000,595.000000,1012.000000,307.000000,1049.000000,724.000000,950.000000,4303.000000,514.000000,693.000000,291.000000,672.000000,505.000000,518.000000,-,-
2003,36220.000000,36220.000000,2720.000000,3382.000000,2584.000000,2830.000000,3324.000000,5414.000000,3014.000000,566.000000,1077.000000,371.000000,882.000000,764.000000,1541.000000,3952.000000,404.000000,892.000000,442.000000,838.000000,407.000000,816.000000,-,-
2004,37116.000000,36284.000000,3210.000000,3655.000000,2715.000000,2626.000000,1724.000000,6879.000000,1133.000000,784.000000,1284.000000,433.000000,751.000000,1001.000000,1960.000000,4180.000000,758.000000,626.000000,640.000000,674.000000,782.000000,469.000000,310.000000,522.000000
2005,39395.000000,38377.000000,2758.000000,3630.000000,2253.000000,3783.000000,2011.000000,7585.000000,798.000000,676.000000,1167.000000,1068.000000,1112.000000,680.000000,2483.000000,3998.000000,757.000000,1109.000000,521.000000,782.000000,528.000000,678.000000,215.000000,803.000000
2006,707783.000000,676082.000000,18941.000000,90714.000000,24054.000000,46223.000000,28451.000000,49682.000000,82295.000000,25272.000000,18690.000000,56820.000000,20127.000000,24358.000000,30457.000000,8614.000000,39622.000000,2112.000000,40718.000000,14051.000000,46385.000000,8496.000000,30506.000000,1195.000000
2007,706339.000000,692645.000000,21906.000000,105398.000000,21675.000000,40686.000000,42317.000000,49103.000000,51928.000000,46525.000000,21926.000000,36213.000000,18573.000000,22378.000000,24037.000000,8593.000000,45466.000000,3487.000000,42865.000000,12416.000000,61260.000000,15893.000000,12828.000000,866.000000
2008,838664.000000,825015.000000,39834.000000,111744.000000,22511.000000,49469.000000,27604.000000,77014.000000,57042.000000,93410.000000,20927.000000,53276.000000,24296.000000,24129.000000,18976.000000,10945.000000,61576.000000,4158.000000,37507.000000,15289.000000,43633.000000,31675.000000,11372.000000,2277.000000
2009,913729.000000,898590.000000,27575.000000,84075.000000,22806.000000,52587.000000,30008.000000,114393.000000,15151.000000,93120.000000,10414.000000,170991.000000,17231.000000,24542.000000,17282.000000,9396.000000,56448.000000,4323.000000,41665.000000,16481.000000,45775.000000,44327.000000,14194.000000,945.000000
2010,834814.000000,820763.000000,31117.000000,114245.000000,23481.000000,51019.000000,42362.000000,91656.000000,16658.000000,64267.000000,10006.000000,43200.000000,17194.000000,25723.000000,19579.000000,8997.000000,55225.000000,3741.000000,41802.000000,12295.000000,54473.000000,93723.000000,12702.000000,1349.000000
2011,848696.000000,749837.000000,47864.000000,108757.000000,36239.000000,46027.000000,30169.000000,58971.000000,12496.000000,16230.000000,20321.000000,19422.000000,33599.000000,15727.000000,26465.000000,83696.000000,50783.000000,11181.000000,35340.000000,13288.000000,48378.000000,34884.000000,97529.000000,1330.000000
2012,725912.000000,710511.000000,41750.000000,108200.000000,41808.000000,48025.000000,20550.000000,62730.000000,18400.000000,12824.000000,13762.000000,31511.000000,12157.000000,13924.000000,24545.000000,106787.000000,42950.000000,9415.000000,29546.000000,13628.000000,42958.000000,15041.000000,14230.000000,1171.000000
2013,676019.000000,665003.000000,46657.000000,104322.000000,15597.000000,24988.000000,16250.000000,52978.000000,18985.000000,21722.000000,30913.000000,29371.000000,18654.000000,28505.000000,27560.000000,59700.000000,42431.000000,18838.000000,38379.000000,19622.000000,36757.000000,12774.000000,9993.000000,1023.000000
2014,564130.000000,557938.000000,67369.000000,88432.000000,21873.000000,21817.000000,10261.000000,43636.000000,15731.000000,13617.000000,25892.000000,33967.000000,16127.000000,20980.000000,21447.000000,44009.000000,12690.000000,16346.000000,26162.000000,16497.000000,25912.000000,15173.000000,4952.000000,1240.000000
