年度, 總計, 臺灣地區, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,2961.000000,2961.000000,372.000000,615.000000,90.000000,471.000000,396.000000,250.000000,127.000000,98.000000,43.000000,13.000000,35.000000,14.000000,37.000000,175.000000,-,30.000000,22.000000,99.000000,44.000000,30.000000,-,-
2001,2988.000000,2988.000000,234.000000,571.000000,150.000000,424.000000,347.000000,394.000000,91.000000,82.000000,92.000000,9.000000,64.000000,12.000000,64.000000,209.000000,1.000000,34.000000,32.000000,45.000000,90.000000,43.000000,-,-
2002,2908.000000,2908.000000,179.000000,672.000000,89.000000,448.000000,262.000000,90.000000,104.000000,69.000000,159.000000,18.000000,320.000000,11.000000,79.000000,121.000000,84.000000,40.000000,27.000000,32.000000,71.000000,33.000000,-,-
2003,3646.000000,3646.000000,106.000000,476.000000,224.000000,684.000000,618.000000,106.000000,321.000000,39.000000,169.000000,49.000000,239.000000,19.000000,19.000000,126.000000,43.000000,38.000000,34.000000,112.000000,165.000000,59.000000,-,-
2004,2563.000000,2495.000000,235.000000,486.000000,306.000000,261.000000,125.000000,318.000000,65.000000,18.000000,132.000000,47.000000,7.000000,55.000000,27.000000,91.000000,17.000000,73.000000,19.000000,65.000000,113.000000,35.000000,34.000000,34.000000
2005,2504.000000,2471.000000,170.000000,320.000000,217.000000,342.000000,132.000000,479.000000,57.000000,8.000000,139.000000,111.000000,16.000000,58.000000,29.000000,97.000000,-,77.000000,6.000000,49.000000,106.000000,58.000000,15.000000,18.000000
2006,14928.000000,14885.000000,1180.000000,1218.000000,803.000000,3795.000000,1218.000000,1507.000000,449.000000,487.000000,792.000000,258.000000,438.000000,828.000000,395.000000,123.000000,263.000000,112.000000,129.000000,364.000000,331.000000,195.000000,26.000000,17.000000
2007,17503.000000,17472.000000,1251.000000,1082.000000,1386.000000,3633.000000,989.000000,2905.000000,633.000000,312.000000,721.000000,400.000000,598.000000,1196.000000,450.000000,140.000000,102.000000,51.000000,409.000000,504.000000,280.000000,430.000000,8.000000,23.000000
2008,18817.000000,18330.000000,754.000000,1086.000000,1311.000000,4405.000000,521.000000,3390.000000,511.000000,470.000000,616.000000,314.000000,733.000000,1042.000000,432.000000,146.000000,385.000000,20.000000,372.000000,1270.000000,344.000000,208.000000,3.000000,484.000000
2009,20216.000000,20204.000000,2000.000000,1067.000000,1365.000000,2941.000000,1331.000000,2929.000000,587.000000,63.000000,2251.000000,596.000000,940.000000,786.000000,1031.000000,88.000000,333.000000,1.000000,313.000000,657.000000,357.000000,568.000000,-,12.000000
2010,17775.000000,17760.000000,1679.000000,1139.000000,1205.000000,2279.000000,923.000000,3179.000000,1010.000000,104.000000,336.000000,306.000000,1162.000000,698.000000,700.000000,70.000000,735.000000,-,898.000000,231.000000,408.000000,698.000000,1.000000,14.000000
2011,11769.000000,11756.000000,214.000000,1180.000000,297.000000,2098.000000,826.000000,2640.000000,461.000000,158.000000,246.000000,488.000000,168.000000,169.000000,758.000000,89.000000,264.000000,87.000000,885.000000,183.000000,209.000000,336.000000,1.000000,12.000000
2012,8984.000000,8918.000000,58.000000,1013.000000,359.000000,1068.000000,341.000000,2703.000000,361.000000,125.000000,157.000000,480.000000,19.000000,190.000000,336.000000,43.000000,144.000000,54.000000,513.000000,218.000000,302.000000,434.000000,44.000000,22.000000
2013,9145.000000,9095.000000,1207.000000,765.000000,273.000000,382.000000,1087.000000,1471.000000,445.000000,153.000000,452.000000,586.000000,189.000000,98.000000,420.000000,156.000000,160.000000,64.000000,239.000000,179.000000,286.000000,483.000000,18.000000,32.000000
2014,7873.000000,7834.000000,263.000000,638.000000,476.000000,324.000000,412.000000,1912.000000,279.000000,242.000000,106.000000,571.000000,239.000000,356.000000,419.000000,82.000000,1.000000,195.000000,526.000000,226.000000,325.000000,242.000000,26.000000,13.000000
