年度,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,7105.000000,7070.000000,820.000000,1534.000000,403.000000,657.000000,688.000000,982.000000,142.000000,124.000000,148.000000,249.000000,77.000000,207.000000,54.000000,206.000000,103.000000,96.000000,29.000000,155.000000,177.000000,219.000000,29.000000,6.000000
1999,7653.000000,7617.000000,906.000000,1605.000000,477.000000,733.000000,725.000000,1055.000000,152.000000,140.000000,163.000000,275.000000,87.000000,217.000000,62.000000,202.000000,114.000000,99.000000,30.000000,163.000000,187.000000,225.000000,30.000000,6.000000
2000,8252.000000,8213.000000,964.000000,1662.000000,572.000000,858.000000,746.000000,1116.000000,168.000000,139.000000,166.000000,327.000000,114.000000,228.000000,63.000000,206.000000,127.000000,114.000000,32.000000,176.000000,206.000000,229.000000,31.000000,8.000000
2001,8749.000000,8708.000000,1016.000000,1708.000000,652.000000,974.000000,768.000000,1143.000000,176.000000,141.000000,180.000000,347.000000,143.000000,230.000000,61.000000,225.000000,138.000000,135.000000,34.000000,193.000000,218.000000,226.000000,31.000000,10.000000
2002,9241.000000,9199.000000,1041.000000,1761.000000,712.000000,1081.000000,823.000000,1171.000000,182.000000,147.000000,199.000000,361.000000,168.000000,234.000000,58.000000,256.000000,148.000000,158.000000,37.000000,202.000000,236.000000,224.000000,30.000000,12.000000
2003,9569.000000,9527.000000,1082.000000,1800.000000,740.000000,1120.000000,873.000000,1191.000000,187.000000,158.000000,215.000000,364.000000,178.000000,248.000000,56.000000,277.000000,146.000000,169.000000,38.000000,205.000000,255.000000,225.000000,30.000000,12.000000
2004,9967.000000,9925.000000,1100.000000,1891.000000,770.000000,1154.000000,931.000000,1235.000000,198.000000,166.000000,224.000000,381.000000,183.000000,254.000000,57.000000,292.000000,148.000000,182.000000,39.000000,204.000000,280.000000,236.000000,30.000000,12.000000
2005,10280.000000,10238.000000,1117.000000,1941.000000,807.000000,1175.000000,956.000000,1270.000000,210.000000,180.000000,233.000000,403.000000,182.000000,256.000000,60.000000,307.000000,149.000000,195.000000,39.000000,208.000000,306.000000,244.000000,30.000000,12.000000
2006,10393.000000,10351.000000,1110.000000,1965.000000,839.000000,1167.000000,960.000000,1269.000000,208.000000,191.000000,241.000000,409.000000,184.000000,265.000000,68.000000,315.000000,147.000000,203.000000,39.000000,206.000000,324.000000,241.000000,30.000000,12.000000
2007,10372.000000,10330.000000,1104.000000,1958.000000,840.000000,1150.000000,953.000000,1252.000000,207.000000,199.000000,246.000000,407.000000,189.000000,274.000000,76.000000,313.000000,150.000000,207.000000,39.000000,205.000000,329.000000,232.000000,30.000000,12.000000
2008,10211.000000,10169.000000,1097.000000,1933.000000,828.000000,1105.000000,942.000000,1223.000000,203.000000,191.000000,243.000000,395.000000,196.000000,277.000000,81.000000,303.000000,152.000000,208.000000,39.000000,198.000000,330.000000,225.000000,30.000000,12.000000
2009,10112.000000,10070.000000,1103.000000,1910.000000,828.000000,1055.000000,931.000000,1217.000000,205.000000,185.000000,241.000000,391.000000,205.000000,269.000000,84.000000,299.000000,154.000000,206.000000,38.000000,192.000000,333.000000,224.000000,30.000000,12.000000
2010,10082.000000,10040.000000,1118.000000,1893.000000,835.000000,1025.000000,936.000000,1212.000000,206.000000,181.000000,237.000000,394.000000,202.000000,266.000000,87.000000,306.000000,153.000000,204.000000,37.000000,186.000000,330.000000,232.000000,30.000000,12.000000
2011,10119.000000,10077.000000,1129.000000,1892.000000,851.000000,1028.000000,924.000000,1207.000000,210.000000,191.000000,233.000000,410.000000,199.000000,268.000000,90.000000,316.000000,151.000000,209.000000,36.000000,183.000000,320.000000,230.000000,30.000000,12.000000
2012,10110.000000,10068.000000,1133.000000,1878.000000,847.000000,1045.000000,919.000000,1186.000000,212.000000,197.000000,226.000000,421.000000,193.000000,275.000000,93.000000,323.000000,146.000000,212.000000,36.000000,186.000000,313.000000,227.000000,30.000000,12.000000
2013,9975.000000,9933.000000,1147.000000,1831.000000,844.000000,1044.000000,882.000000,1157.000000,212.000000,196.000000,230.000000,433.000000,181.000000,275.000000,94.000000,317.000000,138.000000,211.000000,36.000000,182.000000,306.000000,217.000000,30.000000,12.000000
2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
